,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
15,18×2 Beyond Youthful Days,"18×2 Beyond Youthful Days is a 2024 romance film directed by Michihito Fujii and produced by Chang Chen. Starring Greg Hsu and Kaya Kiyohara, alongside an ensemble cast including Joseph Chang, Shunsuke Michieda, Haru Kuroki, Hitomi Kuroki, and Yutaka Matsushige, the film follows a recently fired Taiwanese video game developer (Hsu) on a solo trip to Japan, reminiscing about a past romantic entanglement with a Japanese backpacker (Kiyohara) that never blossomed into a relationship.",Michihito Fujii,"Michihito Fujii, Hirokawa Hayashida",Chang Chen,"Greg Hsu, Kaya Kiyohara",Keisuke Imamura,Tatsuma Furukawa,14 February 2024(Ambassador Theatres Taipei),"Taiwan, Japan","Mandarin, Japanese"
16,The 21,"Between December 2014 and January 2015, 21 men were kidnapped, held captive and tortured by ISIS terrorists in Libya. They were given a chance to obtain freedom by converting to Islam, but all of them refused to renounce Christianity. Eventually, they were beheaded on a Libyan beach, and their brutal execution was filmed and published by ISIS in a 5-minute video.[5]",Tod Polson,Tod Polson,Mandi Hart,,,,13 August 2024,"Egypt, United States, United Kingdom",
17,35 Chinna Katha Kaadu,"35 Chinna Katha Kaadu (transl. 35 Not a small story) is a 2024 Indian Telugu-language comedy drama film co-written and directed by Nanda Kishore Emani in his directorial debut.[2] The film features Nivetha Thomas, Arundev Pothula, Vishwadev Rachakonda and Priyadarshi Pulikonda in lead roles.[3] The film was released on 6 September 2024 to positive reviews from critics.[4]",Nanda Kishore Emani,"Prashanth Vignesh Amaravadhi, Nanda Kishore Emani","Srujan Yarabolu, Siddharth Rallapalli","Nivetha Thomas, Arundev Pothula, Vishwadev Rachakonda, Priyadarshi Pulikonda",Niketh Bommi,T. C. Prasanna,6 September 2024,India,Telugu
18,40 Acres,"40 Acres is a 2024 Canadian post-apocalyptic thriller film written and directed by R. T. Thorne. The film stars Danielle Deadwyler as a matriarch of descendants of African-American farmers who settled in 1875 in rural Canada after the first Civil War. Two hundred years later, they are trying to survive in a decimated future.",R. T. Thorne,"R. T. Thorne, Glenn Taylor",Jennifer Holness,"Danielle Deadwyler, Kataem O'Connor, Michael Greyeyes, Milcania Diaz-Rojas, Leenah Robinson",Jeremy Benning,"Dev Singh, Sandy Pereira","September 6, 2024(TIFF)",Canada,"English, Cree"
19,The 47,"The 47 (Catalan: El 47) is a 2024 Spanish historical drama film directed by Marcel Barrena and written by Barrena and Alberto Marini. It stars Eduard Fernández alongside Clara Segura and Zoe Bonafonte, exploring the true story of the hijacking of a bus in 1978 Barcelona as a form of civil disobedience[2].",Marcel Barrena,,"Laura Fdez. Espeso, Javier Méndez","Eduard Fernández, Clara Segura, Zoe Bonafonte, Salva Reina, Óscar de la Fuente, Betsy Túrnez, Vicente Romero, Carlos Cuevas, David Verdaguer",Isaac Vila,Nacho Ruiz Capillas,6 September 2024,Spain,"Catalan, Spanish"
20,Squid Game,"""50 YouTubers Fight for $1,000,000"" (stylized as ""50 YouTubers Fight For $1000000"") is a YouTube video by American YouTuber Jimmy Donaldson, known on the platform as MrBeast. The video, described by Donaldson as his ""biggest video ever,"" featured fifty YouTubers from around the world competing to stay inside a large glass cube for as long as possible while completing challenges.[1] It received over 70 million views in 24 hours, making it his most-viewed video in that time frame.",,,Jimmy Donaldson,,,,"July 13, 2024",United States,English
21,72 Hours,72 Hours is a 2024 American action thriller film directed by Christian Sesma and starring Cam Gigandet and Sam Trammell.,Christian Sesma,"Christian Sesma, Sean Crayne","Manoj Narender Madnani, Ojan Missaghi, David Wachs","Cam Gigandet, Sam Trammell, Pierson Fodé, Nicky Whelan, Jessica Serfaty, Max Amini",Tyler Eckels,Eric Potter,"November 1, 2024",United States,English
22,78 Days,"The cast also includes Goran Bogdan as the girls' father Stefan who is drafted into military service, Jelena Đokić as their mother Nada, and Maša Ćirović as Mladen's younger sister Lela who befriends Tijana despite their older siblings' conflicts,[1] as well as Danijel Cvetkovic, Biljana Konstantinovic, Mile Cvijovic, Ivana Simovic and Andrija Martinovic in supporting roles.",Emilija Gašić,,"Miloš Ivanović, Andrijana Sofranic Sucur","Milica Gicić, Tamara Gajović, Viktorija Vasiljević, Pavle Čemerikić, Goran Bogdan, Jelena Đokić",Inés Gowland,Jovana Filipovic,29 January 2024(IFFR),Serbia,Serbian
23,100 Litres of Gold,"It was selected as the Finnish entry for Best International Feature Film at the 98th Academy Awards, but it was not nominated.[2]",Teemu Nikki,Teemu Nikki,Jani Pösö,"Elina Knihtilä, Pirjo Lonka, Ville Tiihonen, Jari Pehkonen, Ria Kataja, Pertti Sveholm, Elmer Bäck, Jakob Öhrman",Jarmo Kiuru,Jussi Sandhu,24 October 2024(Rome Film Festival),"Finland, Italy",Finnish
24,105 Minuttess,"105 Minuttess is a 2024 Indian Telugu-language horror thriller film directed by Raju Dussa and produced by Bommak Shiva. The film stars Hansika Motwani, the only actor in the film. The film received negative reviews from critics.",Raju Dussa,Raju Dussa,Bommak Shiva,Hansika Motwani,Kishore Boyidapu,Syam Vadavali,26 January 2024,India,Telugu
25,200% Wolf,"Taking place one year after the event of the first film, Heroic poodle Freddy Lupin, thinks he has everything it takes to lead his werewolf pack, as during a secret mission of rescuing people from a burning airship, he was hanging on to a tether of the airship and got hit by many objects around Milford City but actually helped slow the airship down and making it stop and saving all the people.",Alexs Stadermann,,"Barbara Stephen, Alexia Gates-Foale, Carmen Perez-Marsa Roca, Tracy Lenon","Samara Weaving, Jennifer Saunders, Ilai Swindells, Akmal Saleh, Peter McAllum, Sarah Harper, Elizabeth Nabben",,Jonathan Tappin,4 July 2024(New Zealand)1,"Australia, Spain",English
26,840,"840, also known as Democracy Private Limited, is a political satire Bengali film directed by Mostofa Sarwar Faro",Mostofa Sarwar Farooki,Mostofa Sarwar Farooki,Nusrat Imrose Tisha,"Nasir Uddin Khan, Marzuk Russell, Bijori Barkatullah, Zakia Bari Mamo, Shahriar Nazim Joy, Ashutosh Sujan",Sheikh Rajibul Islam,Tahsin Mahin,13 December 2024(Bangladesh)1,,Bengali
27,1957,The movie tells a story about the struggle between two tribes thus the Ashanti people and the Northern people.[4][5],Kyekyeku,,Kyekyeku,"Kalsoume Sinare, Papa Kumasi, Dr. Likee, Vanessa Nicole, Bernice Asare, Empress Gifty",,,6 March 20241,Ghana,
28,1970 Love Story,"The film is based on the real events of an incident in 1970.[4] The film received positive reviews from critics, who praised the plot, locations and acting.[6]",Aruna Jayawardane,,Saman Edirisinghe,"Hemal Ranasinghe, Mahendra Perera, Gamya Wijayadasa","Channa Deshapriya, [, 2, ]",Tissa Surendra,9 February 20241,Sri Lanka,Sinhala
29,1978,"Set in 1978 in the final game between Holland and Argentine, a paramilitary squadron kidnapped the wrong people, a deadly cult.","Luciano Onetti, Nicolas Onetti","Luciano Onetti, Nicolas Onetti","Luciano Onetti, Carlos Goitia","Agustin Olcense, Mario Alarcon",Luciano Montes De Oca,"Luciano Onetti, Nicolas Onetti",9 December 2024(Buenos Aires Rojo Sangre),Argentina,Spanish
30,1992,"1992 is a 2024 American crime heist thriller film directed by Ariel Vromen and written by Sascha Penn and Vromen from a story by Penn.[4] The film stars Tyrese Gibson, Scott Eastwood, and Ray Liotta in his final film role.[5] Producer Dot da Genius makes a cameo appearance in the film as his film debut. The working title of the film, April 29, 1992, refers to the first night of the 1992 Los Angeles riots, which is when and where the film is set; the title was later simplified to 1992.[6]",Ariel Vromen,,"Ariel Vromen, Maurice Fadida, Adam Kolbrenner, Sascha Penn, Andreas Rommel","Tyrese Gibson, Scott Eastwood, Ray Liotta",Frank G. DeMarco,Danny Rafic,"August 30, 2024",United States,English
31,1995,"The cast also includes Sandrine Bisson, Francis-William Rhéaume, Rose Adam, Shadi Janho, Guillaume Gauthier, Claudio Colangelo, Olivier Aubin, Mickaël Gouin, Myriam Gaboury, Maude Bouchard, Marie-Josée Bastien and David Leblanc.",Ricardo Trogi,Ricardo Trogi,Marie-Claude Poulin,"Jean-Carl Boucher, Sandrine Bisson, Francis-William Rhéaume",Steve Asselin,Yvann Thibaudeau,"July 31, 2024",Canada,French
32,2073,"2073 is a 2024 British science fiction docudrama film directed by Asif Kapadia. Set in a dystopian future, the film is inspired by Chris Marker's 1962 featurette La Jetée.[4] The film takes on the big subjects of climate change, corporate fascism, the global erosion of democracy through the rise of fascism and fictionally depicts a future where these forces are allowed to continue unchecked.[5]",Asif Kapadia,,"George Chignell, Asif Kapadia","Samantha Morton, Naomi Ackie, Hector Hewer",Bradford Young,Chris King,3 September 2024(Venice),United Kingdom,English
33,Aa Okkati Adakku,"Aa Okkati Adakku (transl. Don't ask that one thing) is an Indian Telugu-language romantic comedy drama film directed by Malli Ankam. It is produced by Rajiv Chilaka and co-produced with Bharath Laxmipati  under Chilaka Productions. The film stars Allari Naresh, Faria Abdullah, Vennela Kishore, Jamie Lever, Harsha Chemudu and Hari Teja in lead roles.[2]",Malli Ankam,,Rajiv Chilaka,"Allari Naresh, Faria Abdullah",Suryaa,Chota K. Prasad,3 May 2024,India,Telugu
34,Aakhir Palaayan Kab Tak,"Aakhir Palaayan Kab Tak is a 2024 Hindi drama film that was released on 16 February 2024.[2] Directed and written by Mukul Vikram, the movie takes the audience on a journey through the life of a police officer who becomes the central figure in a tale of personal challenges and unraveling a complex web of lies in a seemingly peaceful town.[3][4] Suraj Singh Mas was the casting director of the movie and also acted in it.",Mukul Vikram,Mukul Vikram,"Sohani Kumari, Alka Choudhary","Rajesh Sharma, Bhushan Patiyal, Chittaranjan Giri, Gaurav Sharma, Dheerendra Dwivedi",M Ravichandran Thevar,Gurpreet Grewal,16 February 2024,India,Hindi
35,Aalakaalam,Aalakaalam (transl. Era) is 2024 Indian Tamil-language Social drama film written and directed by Jaya Krishnamoorthy. The film stars Easwari Rao and Jaya Krishnamoorthy. The film was produced by Jaya Krishnamoorthy under the banner of Shree Jai Productions.,Jaya Krishnamoorthy,Jaya Krishnamoorthy,Jaya Krishnamoorthy,"Easwari Rao, Jaya Krishnamoorthy",Ka. Sathyaraj,Mu. Kasiviswanathan,5 April 2024,India,Tamil
36,Aalan,,R.Siva,R.Siva,R.Siva,"Vetri, Mathura, Aruvi Madhankumar, Anu Sithara",Vindhan Stalin,Mu Kasi Viswanathan,18 October 2024,India,Tamil
37,Aanandhapuram Diaries,"Aanandhapuram Diaries is a 2024 Indian Malayalam-language drama film written and directed by Jaya Jose Raj. The film stars Meena alongside Srikanth, Roshan Abdul Rahoof, Maala Parvathi, and Manoj K. Jayan in pivotal roles.",Jaya Jose Raj,,Sasi Gopalan Nair,Meena,Sajith Purushan,"Appu Bhattathiri, Shaijas K. M.",1 March 2024,India,Malayalam
38,Aaraam Arvind Swamy,"Aaraam Arvind Swamy is a 2024 Indian Kannada-language romantic comedy film directed and written by Abhishek Shetty.[1][2] The film stars Aniish, Milana Nagaraj and Hrithika Srinivas.[3][4] Produced under Aiikya Studios and 786 Films, the film's music is composed by Arjun Janya.[5] It was released on 22 November 2024.[6]",Abhishek Shetty,Abhishek Shetty,"Shreekanth Prasanna, Prashant Reddy S","Aniissh Tejeshwar, Milana Nagaraj, Hrithika Srinivasan",Shiva Sagar YVB,Umesh R.B.,22 November 2024,India,Kannada
39,Aaragan,,Arun KR,Arun KR,Harikaran Panchalingam,"Michael Thangadurai, Kavipriya Manoharan",Surya Vaithi,Sasi Dhaksha,4 October 2024,India,Tamil
40,Aarambham,"Aarambham (transl. Beginning) is a 2024 Indian Telugu-language science fiction drama film written and directed by Ajay Nag V.[1] The film features Mohan Bhagat, Supritha Sathyanarayan, Bhooshan and Ravindra Vijay in important roles. Aarambham is an adaptation of the Kannada novel Neenu Ninnolage Khaidi, and was released on 10 May 2024.[2][3]",Ajay Nag V,Ajay Nag V,Abhishek V Thirumalesh,"Mohan Bhagat, Supritha Sathyanarayan, Bhooshan, Ravindra Vijay",Devdeep Gandhi Kundu,Preetham Gayathri and Aditya Tiwari,10 May 2024,India,Telugu
41,Aaryamala,"Aaryamala is a 2024 Indian Tamil-language period drama film written and directed by James Yuvan in his debut, starring R. S. Karthiik and Manisha Jith.[1] Aaryamala released in theatres on 18 October 2024.",James Yuvan,James Yuvan,Vadalur Sudha Rajalakshmi,"R. S. Karthiik, Manisha Jith, Durga, G. Marimuthu",Jaishankar Ramalingam,Hariharan,18 October 2024,India,Tamil
42,Aavesham,"Aavesham (transl. Excitement) is a 2024 Indian Malayalam-language action comedy film written and directed by Jithu Madhavan. It is produced by Fahadh Faasil, Nazriya Nazim, and Anwar Rasheed under their Fahadh Faasil and Friends and Anwar Rasheed Entertainments production banners. The film stars Fahadh Faasil, Hipzster, Mithun Jai Sankar, Roshan Shanavas, Sajin Gopu and Midhutty. In the film, three youngsters in Bengaluru befriend a local gangster to help them take revenge on their college bully.",Jithu Madhavan,Jithu Madhavan,"Nazriya Nazim, Anwar Rasheed, Fahadh Faasil, [, 1, ]","Fahadh Faasil, Hipzster, Mithun Jai Sankar, Roshan Shanavas, Sajin Gopu, Midhutty",Sameer Thahir,Vivek Harshan,11 April 2024,India,Malayalam
43,Aay,"Aay is a 2024 Indian Telugu-language romantic comedy film written and directed by Anji K. Maniputhra.[2] The film features Narne Nithin, Nayan Sarika, Rajkumar Kasireddy and Ankith Koyya in important roles. Aay was released on 16 August 2024.[3]",Anji K. Maniputhra,Anji K. Maniputhra,"Bunny Vas, Vidya Koppineedi, Riyaz Chowdary, Bhanu Pratapa","Narne Nithin, Nayan Sarika, Rajkumar Kasireddy, Ankith Koyya",Sameer Kalyani,Kodati Pavan Kalyan,16 August 2024,India,Telugu
44,Aayushmati Geeta Matric Pass,"Aayushmati Geeta Matric Pass[1] is an Indian family drama film starring Kashika Kapoor, Anuj Saini, Alka Amin and Atul Srivastav. Directed by Prradip Khairwar the film is set for a theatrical release on 18 October 2024.[2][3]",Prradip Khairwar,Navnitesh Singh,"Prradip Khairwar, Shanu Singh Rajput, 
                   co producer: JK Entertainment and Pentech International","Kashika Kapoor, Anuj Saini, Alka Amin, Atul Shrivastav","Shanu Singh Rajput, Pappu Singh Rajput","Som Chavan, Manoj Kale",18 October 2024,India,Hindi
45,Ababooned,"The film features a large ensemble cast, including Éric Bruneau, Rémi Brideau, Rémy Girard, Maïla Valentir, Gaston Lepage, Lilou Roy-Lanouette, Martin Dubreuil, Pascale Montpetit, Mylène Mackay, Miguel Bédard, Devi Julia Pelletier, Donald Pilon, Réal Bossé, Pierre-Luc Brillant, Luc Senay, Jean-Marie-Lapointe, Hugolin Chevrette, Jean Boileau, Simon Lefebvre, Laurent-Christophe de Ruelle, Renaud Pinet-Forcier, Stéphane L’Écuyer, Émile Schneider and Noémie O'Farrell.[2]",André Forcier,"Jean Boileau, André Forcier, Laurie Perron, François Pinet-Forcier, Renaud Pinet-Forcier","Roger Frappier, Louis Laverdière, Linda Pinet","Éric Bruneau, Rémy Girard, Martin Dubreuil",Nathalie Moliavko-Visotzky,,"August 4, 2024(Fantasia)",Canada,French
46,An Abandoned Team,"An Abandoned Team or Alone No More (Chinese: 得寵先生 or earlier 狗轉人生) is a 2024 Hong Kong drama film directed by Tomas Lee and Daniel Ho, and starring Lawrence Cheng, Amy Lo, Jay Fung and Bonnie Wong.[1][2] The film is produced by Media Asia Film and One Cool Film Production, along with Film Development Fund's 4 million dollar investment.[3]","Tomas Lee Chi-wai, Daniel Ho Ying-ngai",,,"Lawrence Cheng,, Amy Lo,, Jay Fung,, Bonnie Wong",Szeto Yat Lui Danny,,7 November 2024(Hong Kong Asian Film Festival),Hong Kong,Cantonese
47,Abbabba,"Abbabba (transl. Wow) is a 2024 Indian Kannada-language comedy horror film written and directed by K. M. Chaitanya and starring Likith Shetty and Amrutha Iyengar in lead roles.[1][2] Film was Produced by Malayalam actress Ann Augustine, Vijay Babu and Vivek Thomas under banner of Miramar Films and Friday Film House.[3] The film is a remake of the 2015 Malayalam film Adi Kapyare Kootamani.[4] The music was composed by	Deepak Alexander, while the cinematography and editing were handled by Manohar Joshi and Haridoss respectively.[5]",K. M. Chaitanya,"KL Rajashekar, (Dialogue)","Ann Augustine, Vijay Babu, Vivek Thomas","Likith Shetty, Amrutha Iyengar",Manohar Joshi,Haridoss,16 February 2024,India,Kannada
48,Abdo & Saneya,"Mohamed Hefzy, who produced the film and received the Variety International Vanguard Producer Award prior to its screening, stated that ""It’s completely different from anything you’ve seen in Arab cinema. It’s like a trip to a land unknown.""[5]",Omar Bakry,Omar Bakry,"Inji El Gammal, Mohamed Hefzy, Jaselle Martino","Omar Bakry, Inji El Gammal, Haythem Noor",Vic Roxas,Salah Anwar,2024,Egypt,
49,Aberdeen,"The cast also includes Billy Merasty, Jennifer Podemski, Liam Stewart-Kanigan and Ryan Rajendra Black.","Ryan Cooper, Eva Thomas",,"Ryan Cooper, Kathleen Easton, Kyle Bornais","Gail Maurice, Billy Merasty, Jennifer Podemski, Ryan Rajendra Black",Jesse Wicklund,"Sara Bulloch, Nathalie Massaroni","September 8, 2024(TIFF)",Canada,English
50,Abhi,"Abhi, (ابھی), is a 2024 Pakistani Urdu language film, directed by Asad Mumtaz Malik, features a storyline and music composed by Malik himself. Starring Kubra Khan and Goher Mumtaz in lead roles, it was released on 17 June 2024, coinciding with Eid-ul-Adha. Premier of film took place in Karachi on 23 June 2024.[2]",Asad Mumtaz Malik,,,"Kubra Khan, Goher Mumtaz",,,17 June 2024(Pakistan),Pakistan,Urdu
51,Abhirami,"Abhirami is a 2024 Indian Malayalam-language comedy drama film directed by Mushthaque Rahman Kariyaden.[1][2][3][4] The film was produced by Shalil Kallur, Madhu Karuvath, Santhosh Radhakrishnan and Shabeek Thayyil under the banner of MJS Media, Spectac Movies and Copernicus Productions.[5] The film features Gayathri Suresh, Roshan Basheer and Harikrishnan.[6][7][8][9][10]",Mushthaque Rahman Kariyaden,Vaheed Zaman,"Shalil Kallur, Madhu Karuvath, Santhosh Radhakrishnan, Shabeek Thayyil","Gayathri Suresh, Roshan Basheer, Harikrishnan",Shihab Ongallur,Naveen P. Vijayan,7 June 2024,India,Malayalam
52,Abi-e Roshan,"Abi-e Roshan is a social film set in the city of Tabriz. The film is a dramatic narrative of the problems of a man centered on Mehran Ahmadi as Younes, a mine owner, confidant, and city magnate who embarks on a new path with the discovery of a rare turquoise.[6][7]",Babak Khajehpasha,,Seyyed Mohammad Hossein Miri,,,,12 June 2024,Iran,Persian
53,Abigail,"Abigail is a 2024 American vampire horror comedy film directed by Matt Bettinelli-Olpin and Tyler Gillett, and written by Stephen Shields and Guy Busick, starring Melissa Barrera. Alisha Weir stars as the title character, with Dan Stevens, Kathryn Newton, Will Catlett, Kevin Durand, Angus Cloud (posthumously), and Giancarlo Esposito in supporting roles. The film follows a motley group of hired criminals who kidnap the ballerina daughter of a powerful underworld boss.","Matt Bettinelli-Olpin, Tyler Gillett","Stephen Shields, Guy Busick","William Sherak, James Vanderbilt, Paul Neinstein, Tripp Vinson, Chad Villella","Melissa Barrera, Dan Stevens, Kathryn Newton, Will Catlett, Kevin Durand, Angus Cloud, Alisha Weir, Giancarlo Esposito",Aaron Morton,"Michael P. Shawver, [, 1, ]","April 7, 2024(Overlook Film Festival)",United States,English
54,About Family,"About Family (Korean: 대가족) is a 2024 South Korean comedy-drama film written and directed by Yang Woo-suk, starring Kim Yoon-seok, Lee Seung-gi, Kim Sung-ryung, Kang Han-na, Park Soo-young, Kim Si-woo, and Yoon Chae-na. It was released theatrically on December 11, 2024.[3]",Yang Woo-suk,Yang Woo-suk,Yang Woo-suk,"Kim Yoon-seok, Lee Seung-gi, Kim Sung-ryung, Kang Han-na, Park Soo-young, Kim Si-woo, Yoon Chae-na",Son Won-ho,Kim Sun-min,"December 11, 2024",South Korea,Korean
