,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
10,14+: Continued,"The film follows 18-year-old Alexey Vasilyev as he navigates the challenges of adulthood. Rejected by his first love, Vika, who has become an actress, and disillusioned with his mother’s plans for him, he considers joining the army as a step toward maturity, despite her protests. Amidst this turmoil, he meets an unpredictable girl, ""Buddy"", whose impulsive nature leaves him torn about his feelings. Reflecting on his fatherless upbringing, Alexey wrestles with the uncertainties of growing up, realizing that his path forward is far from simple.[4]",Andrey Zaytsev,Andrey Zaytsev,"Arpine Khachyan, George Shabanov, Andrey Zaytsev, Yuliya Zholobnyuk","Gleb Kalyuzhny, Ulyana Vaskovich, Olga Ozollapinya, Sergey Pinchuk, Polina Gukhman, Daniil Pikula",Irina Uralskaya,,"May 11, 2023",Russia,Russian
11,20 Days in Mariupol,"20 Days in Mariupol (Ukrainian: «20 днів у Маріуполі», romanized: 20 dniv u Mariupoli) is a 2023 Ukrainian documentary film with footage from the first several weeks of the Russian invasion of Ukraine directed by Mstyslav Chernov.[2]",Mstyslav Chernov,Mstyslav Chernov,"Raney Aronson-Rath, Mstyslav Chernov, Derl McCrudden, Michelle Mizner",,"Mstyslav Chernov, Evgeniy Maloletka",Michelle Mizner,20 January 2023(Sundance)1,Ukraine,"Ukrainian, English, Russian"
12,24 Hour Sunset,"The film captures one full day in Los Angeles, from sunset to sunrise, blending studio visits, gallery openings, ambient cityscapes, and artist interviews. The non-linear narrative immerses the viewer in the creative rhythms of the city, offering a visual and sonic portrait of artistic life in motion.[2]","Édouard de Luze, Charles Derenne","Édouard de Luze, Charles Derenne","Édouard de Luze, Paul Samazeuilh, Douglas Gordon, Arthur de Kersauson","Kenneth Anger, Paul McCarthy, Raymond Pettibon, Louise Bonnet, Henry Taylor, Jill Mulleady, Ariana Papademetropoulos, Peter Shire, Jeffrey Deitch, Paz Lenchantin",,,September 2023(St. Moritz Art Film Festival)1,"France, United States",English
13,24 Hours with Gaspar,24 Hours with Gaspar had its world premiere at the 28th Busan International Film Festival on 6 October 2023.,Yosep Anggi Noen,M. Irfan Ramli,"Yulia Evina Bhara, Cristian Imanuell","Reza Rahadian, Shenina Cinnamon, Laura Basuki, Dewi Irawan, Kristo Immanuel, Sal Priadi, Iswadi Pratama",Teoh Gay Hian,Akhmad Fesdi Anggoro,6 October 2023(Busan),Indonesia,Indonesian
14,27,"Alice seeks refuge in her dreams, using them as an escape from her stifling everyday existence. Today, she is turning 27 years old, and she still lives with her parents. After taking psychedelics at a party on a factory roof, she falls off her bike on her way home. Injured and hungover, she is forced to face the realities of her life in the city.[3]",Flóra Anna Buda,Flóra Anna Buda,"Emmanuel-Alain Raynal, Pierre Baussaron, Péter Benjámin Lukács, Gábor Osváth","Natasa Stork, Ádám Fekete, Franciska Farkas, Simon Szabó",,,2023,"France, Hungary",
15,30-Year-Old Toddler,"Pablo Silva is an actor who was famous and successful when he was just 15 years old when he starred in the film ""The Pool Boy."" Today, Pablo finds himself jobless, penniless, and friendless, still living in his parents' house, with a nostalgic desire to return to being the star he once was in his past. His luck begins to change when he reunites with his niece Lourdes, with whom he will have to spend an entire summer and from whom he will learn to see life in a different way.[5]",Gonzalo Badilla,"Gonzalo Badilla, Sebastián Badilla","Gonzalo Badilla, Sebastián Badilla",Sebastián Badilla,Iñaki Fermandois,"Gonzalo Badilla, Iñaki Fernandois, Sebastián Badilla","February 9, 2023",Chile,Spanish
16,57 Seconds,"57 Seconds is a 2023 American science fiction thriller film directed by Rusty Cundieff, written by Cundieff and Macon Blair, and starring Josh Hutcherson and Morgan Freeman. It is based on the short story ""Fallen Angel"" by E.C. Tubb.[2]",Rusty Cundieff,,"Griff Furst, Thomas P. Vitale, Lori McCreary, Gary Lucchesi, Petr Jákl, Joshua Harris","Josh Hutcherson, Morgan Freeman",Andrew Strahorn,John Quinn,"September 29, 2023",United States,English
17,65,"65 is a 2023 American science fiction film written and directed by Scott Beck and Bryan Woods and starring Adam Driver as an ancient astronaut who crashes on an unknown planet with a challenging environment and attempts to help a young girl, played by Ariana Greenblatt, survive. Beck and Woods produced with Sam Raimi, Deborah Liebling, and Zainab Azizi.","Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Sam Raimi, Deborah Liebling, Zainab Azizi, Scott Beck, Bryan Woods","Adam Driver, Ariana Greenblatt",Salvatore Totino,"Jane Tones, Josh Schaeffer","March 10, 2023",United States,English
18,80 for Brady,"80 for Brady is a 2023 American sports comedy film directed by Kyle Marvin in his directorial debut from a screenplay by Sarah Haskins and Emily Halpern, and produced by former NFL quarterback Tom Brady. Inspired by a true story, it focuses on four lifelong friends (played by Lily Tomlin, Jane Fonda, Rita Moreno, and Sally Field) who travel to watch Brady and his New England Patriots play in Super Bowl LI in 2017. Billy Porter, Rob Corddry, Alex Moffat, and Guy Fieri also star.",Kyle Marvin,"Sarah Haskins, Emily Halpern","Tom Brady, Donna Gigliotti","Lily Tomlin, Jane Fonda, Rita Moreno, Sally Field, Tom Brady",John Toll,Colin Patton,"February 3, 2023",United States,English
19,80s Buildup,"80s Buildup, or more simply as Buildup, is a 2023 Indian Tamil-language period supernatural comedy film written and directed by Kalyaan. Produced by K. E. Gnanavel Raja under the production banner Studio Green, the film stars Santhanam and Radhika Preethi in the lead roles, and R. Sundarrajan and K. S. Ravikumar in supporting roles. The film was released theatrically on 24 November 2023.",Kalyaan,Kalyaan,K. E. Gnanavel Raja,"Santhanam, Radhika Preethi, R. Sundarrajan, K. S. Ravikumar",Jacob Rathinaraj,M. S. Bharathi,24 November 2023,India,Tamil
20,97 Minutes,"A hijacked Boeing 767 has 97 minutes of fuel remaining.
The NSA, under the direction of Hawkins, intends to intercept the plane to avoid further trouble. However, Toyin intervenes because the NSA has an informant among the terrorists. Nevertheless, she cannot stop Hawkins from allowing an F-22 to shoot at the plane.",Timo Vuorensola,,"Pavan Grover, Jamie R. Thompson, Jake Seal","Alec Baldwin, Jonathan Rhys Meyers, MyAnna Buring, Pavan Grover, Anjul Nigam",Konstantin Freyer,Eric Potter,"June 9, 2023",United Kingdom,English
21,100 Yards,"In August 2023, it was announced that Well Go USA Entertainment acquired North American distribution rights to the film, which had its world premiere at the Shanghai International Film Festival in June 2023.[2]  It was released in the United States on November 8, 2024.[3]","Xu Haofeng, Xu Junfeng",Xu Haofeng,Amanda Ho,"Jacky Heung, Andy On",Shao Dan,Kong Jinlei,June 2023(Shanghai),China,Mandarin
22,299 Queen Street West,"The film chronicles the early history of MuchMusic, a music television channel headquartered at 299 Queen Street West in Toronto, Ontario, Canada. The voices of VJs like Rick Campanelli, Sook-Yin Lee, Nam Kiwanuka, Mike Campbell, and George Stroumboulopoulos are featured in the film. Menard said, ""I wanted to recreate the experience both for viewers who grew up with it and for those who have no clue what MuchMusic was. I wanted them to be immersed in that channel and the best way to do that is to live in the space and the world of the archives and not cut back and forth to on-camera interviews.""[1]",Sean Menard,,"Sean Menard, Molly Ye",,,Sean Menard,"March 13, 2023(South by Southwest)",Canada,English
23,500 Days in the Wild,"The film premiered at the 2023 Whistler Film Festival, where it received an honorable mention from the Best Documentary Award jury[4] and was the winner of the Audience Award.[5]",Dianne Whelan,"Dianne Whelan, Tanya Maryniak",Betsy Carson,Dianne Whelan,Dianne Whelan,Tanya Maryniak,"December 1, 2023(Whistler)",Canada,English
24,800,"800 is a 2023 Indian Tamil-language biographical sports film based on the life and career of Sri Lankan international cricketer Muttiah Muralitharan, the highest wicket-taker in the history of cricket.[2] The film is directed by M. S. Sripathy, written by him and Shehan Karunatilaka, produced by Movie Train Motion Pictures and Vivek Rangachari, and presented by Sridevi Movies, Sivalenka Krishna Prasad.[3] It stars Madhur Mittal as Muralitharan.[4][5]",M. S. Sripathy,"M. S. Sripathy, Shehan Karunatilaka",Vivek Rangachari,Madhur Mittal,R. D. Rajasekhar,Praveen K. L.,6 October 2023,India,Tamil
25,1489,"The film chronicles Shoghakat Vardanyan's journey over a period of more than three years, as she documents the search for her brother, who was serving in the Armenian army when the war broke out between the self-proclaimed Republic of Artsakh, and Azerbaijan in September 2020. Soghomon, a 21-year-old music student, went missing on the seventh day of the conflict. Using her smartphone, Shoghakat captures intimate footage of her family's emotional turmoil during their search for answers.",Shoghakat Vardanyan,,,,,"Tigran Baghinyan, Armen Papyan, Hayk Israelyan",2023,Armenia,Armenian
26,1521,A woman experiences a dream depicting what is implied to be a flashback from her previous life.,Michael Barder,Mary Krell-Oishi,Francis B. Lara Ho,"Danny Trejo, Bea Alonzo, Costas Mandylor, Michael Copon, Hector David Jr., Maricel Laxa, Vic Romano, Floyd Tena, Larissa Buendia","Michael Barder, Patrick Ferrer","Michael Barder, Stephen Wollwerth, Rembrandt Floresca","June 12, 2023(Los Angeles)1","Philippines, United States","Filipino, English, Spanish"
27,1888,"1888 is a 2023 Indian thriller film shot using Guerrilla filmmaking technique.[1] It is an independent Kannada film [2] with demonetization as the backdrop.[3] More than 60% of the film is shot at night. Neethu Shetty plays a leading role alongside Prathap Kumar, Adhvithi Shetty, Manju Raj, Pradeep Doddaiah and Vikram Kumar. Former Mr. India - Raghu Ramappa appears in a guest role in the movie. The movie is directed by debutante Sourabh Shukla who has also written the story and screenplay.[4] Pradeep is the director of photography and Girish Hothur is the music composer.[5][6]",Sourabh Shukla,,,"Neethu, Manju Raj, Prathap Kumar, Vikram Kumar, Adhvithi Shetty, Valerian Menezes",M Pradeep,Puneeth M Degavi,April 2023,India,Kannada
28,1920: Horrors of the Heart,"1920: Horrors of the Heart is a 2023 Indian Hindi-language horror film directed by Krishna Bhatt, written by Mahesh Bhatt, and produced by Vikram Bhatt, Raj Kishor Khaware, Rakesh Juneja and Shwetambari Bhatt. It is the fifth film of 1920 film series. It stars Avika Gor and Rahul Dev in lead roles.[4][5] Barkha Bisht, Randheer Rai, Danish Pandor, Ketaki Kulkarni, Avtar Gill, and Amit Behl appear in supporting roles. The film follows a woman, seeking revenge for the murder-suicide of her father, unleashes his spirit onto her estranged mother, with unexpected consequences.",Krishna Bhatt,"Mahesh Bhatt, Suhrita Das","Vikram Bhatt, Raj Kishor Khaware, Rakesh Juneja, Shwetambari Bhatt","Avika Gor, Rahul Dev, Barkha Bisht, Randheer Rai",Prakash Kutty,Kuldeep Mehan,23 June 2023,India,Hindi
29,1971 Shei Shob Din,"The film revolves around a family's experiences during 1971, providing a poignant portrayal of the era. Ferdous, Litu Anam and Sajal play the roles of three brothers involved in The Liberation War.[4] Ferdous played the role of a teacher from Dhaka University.[5]",Hridi Haq,,"Lucky Enam, Kamruzzaman Ronnie","Hridi Haq, Ferdous Ahmed, Litu Anam",,Kamruzzaman Ronnie,18 August 2023,Bangladesh,Bengali
30,1982 Anbarasin Kaadhal,"1982 Anbarasin Kaadhal (transl. 1982 Anbarasu's love) is a 2023 Indian Tamil-language romantic drama film written and directed by Ullas Shankar in his directorial debut.[1][2] The film stars Ashik Merlin and Chandana Aravind with Amal Raveendran, Arunima Raj, Harish Sivaprakasam, Selva and Ullas Shankar in supporting roles.[3][4]",Ullas Shankar,Ullas Shankar,"Biju Karimbinkalayil, Shine Aliyas","Ashik Merlin, Chandana Aravind",Jisbin Sebastian,Greyson ACA,26 May 2023,India,Tamil
31,1984,"In a grim and stifling society dominated by the omnipresent figure of Big Brother, individual liberties are a distant memory, swallowed up by constant surveillance. Art is scorned and fantasy is deemed a perilous affliction. Amid this oppressive landscape, a brilliant mathematician[7] finds himself entangled in a forbidden affair with a fellow intellectual. In a world where freedom is slavery, and any opposition to the iron rule carries deadly consequences, he faces a difficult choice: whether to join the resistance against the all-powerful Big Brother or remain an obedient citizen of the United State.",Diana Ringo,Diana Ringo,Diana Ringo,"Aleksandr Obmanov, Vladimir Ivaniy, Aleksey Sharanin, Diana Ringo, Sergey Khrustalev",Diana Ringo,Diana Ringo,15 November 2023(Amazon Prime),"Finland, Russia, [, 1, ]",Russian
32,1993,"The film is set in 1993 and depicts the relationship of husband and wife, emergency workers and the process of growing up of their daughter against the backdrop of changes that are about to come.[5]",Alexander Veledinsky,"Alexander Veledinsky, Sergey Shargunov","Zhanna Tedeeva-Kalinina, Aleksandra Voronkova, Dmitry Litvinov","Ekaterina Vilkova, Yevgeny Tsyganov, Aleksandr Robak, Aleksandra Rebenok",Aleksandra Romm,"Oleg Kolodnik, Igor Veledinsky","September 28, 2023",Russia,Russian
33,2018,"2018 (subtitled onscreen as Everyone is a Hero) is a 2023 Indian Malayalam-language  epic disaster film based on the 2018 Kerala floods. Directed by Jude Anthany Joseph, who co-wrote the screenplay with Akhil P. Dharmajan, the film is produced by Venu Kunnappilly, C.K. Padmakumar, and Anto Joseph under the banners of Kavya Film Company and PK Prime Production. The film stars an ensemble cast consisting of Tovino Thomas, Kunchacko Boban, Asif Ali, Narain, Vineeth Sreenivasan, Tanvi Ram, Aparna Balamurali, and Lal.",Jude Anthany Joseph,"Jude Anthany Joseph, Akhil P. Dharmajan","Venu Kunnappilly, C. K. Padma Kumar, Anto Joseph","Tovino Thomas, Kunchacko Boban, Asif Ali, Narain, Vineeth Sreenivasan, Lal",Akhil George,Chaman Chakko,5 May 2023,India,Malayalam
34,"20,000 Species of Bees","20,000 Species of Bees  (Spanish: 20.000 especies de abejas) is a 2023 Spanish drama film written and directed by Estibaliz Urresola Solaguren in her debut feature. It stars Sofía Otero, Patricia López Arnaiz, Ane Gabarain, and Itziar Lazkano. The film narrates the story of Lucía, an eight-year-old transgender girl, who is on a quest for identity. During a summer in a village house linked to beekeeping, she explores her femininity alongside the women of her family, who at the same time reflect on their own.[3]",Estibaliz Urresola Solaguren,Estibaliz Urresola Solaguren,"Lara Izagirre Garizurieta, Valérie Delpierre","Sofía Otero, Patricia López Arnaiz, Ane Gabarain, Itziar Lazkano",Gina Ferrer García,Raúl Barreras,22 February 2023(Berlinale),Spain,"Spanish, Basque, French"
35,A Minha Casinha,"On his 18th birthday, in Autumn, Tomas is getting ready to leave his home in Caldas de Aregos, near Baião,[6] in the Porto region, in Northern Portugal, to go to Britain  study medicine. He helps his father making his wine with his sister Belinha while the mother his preparing his favourite dish.",,,,,,,14 December 2023(Portugal),"Portugal, France",Portuguese
36,A Ranjith Cinema,"A Ranjith Cinema is a 2023 Indian Malayalam-language psychological thriller film written and directed by Nishanth Sattu and co-produced by Nishad Peechi and Babu Joseph Ambatt.[1][2] It stars Asif Ali in the titular role with Saiju Kurup, Namitha Pramod and Jewel Mary in other pivotal roles.[3] The film was released on 8 December 2023.[4]",Nishanth Sattu,Nishanth Sattu,"Nishad Peechi, Babu Joseph Ambatt","Asif Ali, Saiju Kurup, Anson Paul, Namitha Pramod, Hannah Reji Koshy, Jewel Mary","Sunoj Velayudhan, Kunjunni S. Kumar",Manoj,8 December 2023,India,Malayalam
37,Aachar & Co,"Aachar & Co[a] is a 2023 Indian Kannada-language coming-of-age comedy-drama film written and directed by Sindhu Sreenivasa Murthy and starring herself, Vamsidhar Bhogaraju, Harshil Koushik, Anirudh Acharya and Jagadishwar Sukumar. The movie marked the directorial debut of Sindhu.[1] The movie had mostly women technicians, which is a rarity in Sandalwood.[2]",Sindhu Sreenivasa Murthy,"Sindhu Sreenivasa Murthy, Kanan Gill, Trilok (dialogues)","Ashwini Puneeth Rajkumar, Gurudath A Talwar","Sindhu Sreenivasa Murthy, Vamsidhar Bhogaraju, Harshil Koushik, Anirudh Acharya, Jagadishwar Sukumar",Abhimanyu Sadanandan,Ashik Kusugolli,28 July 2023,India,Kannada
38,Aadikeshava,"Aadikeshava[2] is a 2023 Indian Telugu-language action drama film directed by Srikanth N. Reddy in his directorial debut and produced by Naga Vamsi. The film stars Panja Vaisshnav Tej, Sreeleela and Joju George in the lead roles and marks the Telugu debut of Joju. The soundtrack and background score were composed by G.V. Prakash Kumar, while Dudley and Navin Nooli handled the cinematography and editing.[citation needed]",Srikanth N. Reddy,Srikanth N. Reddy,"Naga Vamsi, Sai Soujanya","Panja Vaisshnav Tej, Sreeleela, Joju George, Vinay Varma","Dudley, Additional:, Arthur A. Wilson, Prasad Murella",Naveen Nooli,24 November 2023,India,Hindi
39,Aador,"Aador is a 2023 Indian Bengali language drama film directed by Debdut Ghosh. The film is based on the Bengali language short story Adorini by Prabhat Kumar Mukhopadhyay. The film stars Rajatava Dutta in the lead role and Sabyasachi Chakrabarty, Manasi Sinha, Tulika Bose, Basabdatta Chatterjee, Pradeep Chakraborty and Biplab Banerjee in supporting roles.[1][2][3]",,,,,,,,,
40,Aagantuk,"Aagantuk is a 2023 Gujarati thriller film directed by Naitik Raval.[1] It stars Utsav Naik,[2] Hiten Kumar and Netri Trivedi in lead roles. It is produced by Naitik Raval, Utsav Naik, Rishi Vyas and Shyam Nair, and distributed by Rupam Entertainment Pvt. Ltd. The music is composed by Tapan Jyoti Dutta and Soham Naik. It was released on 17 February 2023.",Naitik Raval,Naitik Raval,"Naitik Raval, Utsav Naik, Rishi Vyas, Shyam Nair","Utsav Naik, Hiten Kumar, Netri Trivedi",Jignesh Pandya,,17 February 2023,India,Gujarati
41,Aalankam,"Aalankam is an Indian Malayalam-language film directed by Shani Khader starring Lukman Avaran, Jaffer Idukki, Sharanya R and Gokulan MS.[1][2] The film was released on 10 March 2023.[citation needed]",Shani Khader,Shani Khader,"Shaji Ambalath, Betty Sathish Raval","Lukman Avran, Jaffer Idukki, Sharanya R, Gokulan M S, Sudhi Koppa",Sameer Haq,Nishadh Yusuf,10 March 2023(Kerala),,
42,Aam Kathaler Chhuti,"This full-length feature film tells the story of how an outcast eight-year-old city boy discovers a new world, finds friendship and a taste for adventure when he visits the village on a summer vacation.[7]",Mohammad Nuruzzaman,Mohammad Nuruzzaman,Mohammad Nuruzzaman,"Leon Ahmed, Zubair, Arif, Halima, Tanzil, Fatima, Kamruzzaman Kamrul, Abdul Hamid","Mohammad Nuruzzaman, Maq Sabbir",Mohammad Nuruzzaman,18 August 2023,Bangladesh,Bengali
43,Aani Baani,"Aani Baani[a] is a 2023 Indian Marathi-language comedy drama film directed by Dinesh Jagtap in his directorial debut,[3] written by Arvind Jagtap and produced by Dinisha Films.[4] It is based on the Emergency of 1975 in India.[5] The film stars Upendra Limaye, Sayaji Shinde, Pravin Tarde, Sanjay Khapre, Veena Jamkar.[6]",Dinesh Jagtap,Arvind Jagtap,,"Upendra Limaye, Sayaji Shinde, Pravin Tarde, Sanjay Khapre",Mangesh Gadekar,Pramod Kahar,28 July 2023,India,Marathi
44,Aankh Micholi,"Aankh Micholi (transl. Eye Catching) is a 2023 Indian Hindi-language comedy film directed by Umesh Shukla and produced by Ashish Wagh and Umesh Shukla under the banner of Merry Go Round Studios and Culver Max Entertainment.[2] It revolves around a family of misfits and stars Paresh Rawal, Abhimanyu Dassani and Mrunal Thakur as leads.[3] The film was released on 3 November 2023 and received negative reviews from critics and was a box-office disaster.[4][5]",Umesh Shukla,Jitendra Parmar,"Ashish Wagh, Umesh Shukla","Paresh Rawal, Abhimanyu Dassani, Mrunal Thakur",Sameer Arya,Steven H. Bernard,3 November 2023,India,Hindi
45,Aaro Ek Prithibi,"Aaro Ek Prithibi is a 2023 Indian Bengali language drama film directed by Atanu Ghosh.[1] and produced by BS Films Ltd. Productions under the banner of Eskay Movies. The film stars an ensemble of Tasnia Farin, Kaushik Ganguly, Anindita Bose and Saheb Bhattacharya.[2]",Atanu Ghosh,,"Ashok Dhanuka, Himanshu Dhanuka","Tasnia Farin, Kaushik Ganguly, Anindita Bose, Saheb Bhattacharya",Appu Prabhakar,Sujay Datta Ray,3 February 2023,India,Bengali
46,Aata Vel Zaali,"Aata Vel Zaali (transl. Now it's time) is a 2023 Marathi-language psychological drama film written and directed by Ananth Mahadevan and produced by Dinesh Bansal, G. K. Agrawal, and Ananth Mahadevan under Imagine Entertainment and Media, and Ananth Mahadevan Films.[2][3] The film stars Dilip Prabhavalkar and Rohini Hattangadi in a story inspired by a true incident, which explores the controversial topic of euthanasia.[4][5][6][7]",Ananth Mahadevan,"Anant Mahadevan, Mahendra Patil","Dinesh Bansal, G K Agrawal, Ananth Mahadevan","Dilip Prabhavalkar, Rohini Hattangadi",Pradeep Khanvilkar,"Kush Tripathy, Ananth Mahadevan",February 2023(Pune),India,Marathi
47,Aathvani,"Aathvani (transl. Memories) is a 2023 Indian Marathi-language drama film co-produced and directed by Siddhant. A. Sawant, under the banner of Minash Productions. It stars Mohan Agashe, Suhas Joshi, Suhrud Wardekar and Vaishnavi Karmarkar. The film was theatrically released on 7 July 2023.[1][2][3]",Siddhant. A. Sawant,,"Siddhant. A. Sawant, Ashok Sawant, Deepak Pandey","Mohan Agashe, Suhas Joshi, Suhrud Wardekar, Vaishnavi Karmarkar",Dhruv Desai,Siddhant. A. Sawant,7 July 2023,India,Marathi
48,Aatmapamphlet,"Aatmapamphlet (transl. Autobio-Pamphlet) is an Indian Marathi-language coming of age film directed by Ashish Avinash Bende in his debut. Screenplay is by Paresh Mokashi and cinematography is by Satyajit Shobha Sriram. The film is jointly produced by T-Series, Colour Yellow Productions and Zee Studios.[1]",Ashish Avinash Bende,,"Bhushan Kumar, Krishan Kumar, Aanand L. Rai, Kanupriya A. Iyer, Madhugandha Kulkarni, Shariq Patel","Om Bendkhale, Pranjalii Shrikant, Chetan Wagh, Manas Tondwalkar, Khushi Hajare, Bhimrao Mude, Ketaki Saraf",Satyajeet Shobha Shriram,Faisal Mahadik,22 February 2023(Berlin),India,Marathi
