,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
10,10 Nahi 40,"10 Nahi 40 (transl. 10 not 40) is a 2022 Indian film starring Birbal, Manmauji, J.S. Randhawa, Ramesh Goyal, Rajendra Bhatia, and Manoj Bakshi.[2] The film is written and directed by J.S. Randhawa.[3][4]",J.S. Randhawa,J.S. Randhawa,J.S. Randhawa,"Manmauji, Birbal,, Manoj Bakshi, , J. S. Randhawa,, Rajendra Bhatia",Satyajeet,,11 March 20221,India,Hindi
11,10th Class Diaries,"10th Class Diaries is a 2022 Indian Telugu-language coming-of-age romantic comedy[1] film directed and filmed by Garudavega Anji (in his directorial debut) from a story written by Vennela Ramarao. The film stars Sriram, Avika Gor, Srinivasa Reddy, Ramarao, Himaja and Archana.",Anji,,"Achut Rama Rao P., Ravi Teja Manyam","Sriram, Avika Gor, Srinivasa Reddy, Vennela Ramarao, Himaja, Archana",Anji,Prawin Pudi,1 July 2022,India,Telugu
12,"11,103","11,103 is a 2022 Philippine documentary film written and directed by Jeannette Ifurung and Mike Alcazaren. Produced by journalist Kara Magsanoc-Alikpala, it features interviews with survivors of state-sponsored violence during the martial law era under Ferdinand Marcos. The film premiered in the Philippines on September 21, 2022, coinciding with the 50th anniversary of the proclamation of martial law.","Jeannette Ifurung, Mike Alcazaren","Jeannette Ifurung, Mike Alcazaren",Kara Magsanoc-Alikpala,,Lee Briones,Lawrence S. Ang,"September 21, 2022(Philippines)",Philippines,"Filipino, English"
13,11:11,It was the first film directed by Karim Abouzeid.[3],Karim Abouzeid,Yasser Abdel Basset,Ayman Naguib,"Eyad Nassar, Ghada Adel, Injy El Mokkaddem, Omar El-Shennawy, Mohamed El Sharnouby, Nour Ehab, Moataz Hisham",,,"February 2, 2022(EGY)",Egypt,Arabic
14,The 12 Days of Christmas Eve,The 12 Days of Christmas Eve is a 2022 American television film starring Kelsey Grammer and his daughter Spencer Grammer.,Dustin Rikert,Eirene Tran Donohue,"Molly M. Mayeux, Colin Theys, Andrew Gernhard","Kelsey Grammer, Spencer Grammer",Branden James Maxham,Bryan Capri,"November 26, 2022(US)",,
15,The 12 Tasks of Imelda,"The film expands on a series of short films Villeneuve previously made starring the character.[4] Three chapters in the series — Imelda (2014), Imelda 2: le notaire (2020) and Imelda 3: Simone (2020) — were released as standalone short films, constituting the ""Imelda Trilogy"";[5] several further short films featuring the character have been made and were integrated to the feature film.",Martin Villeneuve,Martin Villeneuve,"Benoit Beaulieu, Martin Villeneuve","Martin Villeneuve, Robert Lepage, Ginette Reno, Michel Barrette, Anne-Marie Cadieux, Antoine Bertrand, Yves Jacques, Lynda Beaulieu, Marc-François Blondin","Benoit Beaulieu, Richard Duquette, Marianne Ploska",Arthur Tarnowski,"September 9, 2022(FCVQ)",Canada,French
16,12th Man,"12th Man is a 2022 Indian Malayalam-language mystery thriller film directed by Jeethu Joseph and produced by Antony Perumbavoor under Aashirvad Cinemas, with a screenplay and story written by K. R. Krishna Kumar and Sunir Khetarpal. The film stars Mohanlal, with an ensemble cast consisting of Unni Mukundan,Saiju Kurup, Rahul Madhav, Anu Mohan, Chandhunadh, Anusree, Priyanka Nair, Anu Sithara, Sshivada, Aditi Ravi, and Leona Lishoy.",Jeethu Joseph,K. R. Krishna Kumar,Antony Perumbavoor,Mohanlal,Satheesh Kurup,V. S. Vinayak,20 May 2022,India,Malayalam
17,13 Exorcisms,"Following a naive séance, and upon the strange behaviour displayed afterwards by teenager Laura Villegas, the latter's deeply Catholic family calls a Vatican-sanctioned exorcist to intervene in the purported case of demonic possession.[1][2]",Jacobo Martínez,,"Ramón Campos, Mercedes Gamero, Teresa Fernández-Valdés","María Romanillos, Ruth Díaz, Urko Olazabal, Pablo Revuelta, José Sacristán, Cristina Castaño, Silma López, Daniel Arias, Alicia Falcó, Uri Guitart",,,4 November 2022,Spain,Spanish
18,13: The Musical,"13: The Musical is a 2022 American musical coming-of-age comedy-drama film directed by Tamra Davis from a screenplay written by Robert Horn, based on the 2007 stage musical of the same name by Horn, Jason Robert Brown, and Dan Elish. The film stars an ensemble cast that includes Eli Golden, Gabriella Uhl, Frankie McNellis, JD McCrary, Lindsey Blackwell, Jonathan Lengel, Ramon Reed, Nolen Dubuc, Luke Islam, Liam Wignall, Shechinah Mpumlwana, Khiyla Anne, Kayleigh Cerezo, and Willow Moss, with Debra Messing, Josh Peck, Peter Hermann, and Rhea Perlman.",Tamra Davis,,"Bob Boyett, Laurence Mark, Neil Meron","Eli Golden, Gabriella Uhl, Debra Messing, Rhea Perlman, Frankie McNellis, Josh Peck, Peter Hermann",Adam Santelli,Joe Galdo,"August 12, 2022",United States,English
19,18 Pages,"18 Pages is a 2022 Indian Telugu-language romantic comedy-thriller film written by Sukumar and directed by Palnati Surya Pratap. Produced by GA2 Pictures and Sukumar Writings, the film stars Nikhil Siddharth and Anupama Parameswaran.[3][4][5] It received mixed to positive reviews from critics and the general public. The film has been streaming on Aha since January 2023[6][7] and is available on Netflix. It was loosely inspired by The Lake House (2006), starring Keanu Reeves and Sandra Bullock.",Palnati Surya Pratap,Sukumar,Bunny Vas,"Nikhil Siddhartha, Anupama Parameswaran",A. Vasanth,Naveen Nooli,23 December 2022,India,Telugu
20,19(1)(a),"19(1)(a) is a 2022 Indian Malayalam-language drama film written and directed by debutant Indhu V. S. The film stars Nithya Menen, Vijay Sethupathi, and Indrajith Sukumaran.[1] Produced by Anto Joseph and Neeta Pinto, it was film released on Disney+ Hotstar on 29 July 2022 to  mixed reviews.",Indhu V. S,Indhu V. S,"Anto Joseph, Neeta Pinto","Nithya Menon, Vijay Sethupathi, Indrajith Sukumaran, Indrans, Athulya Ashadam",Manesh Madhavan,,29 July 2022,India,Malayalam
21,20th Century Girl,"20th Century Girl (Korean: 20세기 소녀) is a South Korean coming-of-age romantic drama film written and directed by Bang Woo-ri in her feature film debut, starring Kim You-jung, Byeon Woo-seok, Park Jung-woo, and Roh Yoon-seo. The film depicts the friendship and  love between high-schoolers in 1999.[1] It was released on October 21, 2022, on Netflix.[2]",Bang Woo-ri,Bang Woo-ri,Syd Lim,"Kim You-jung, Byeon Woo-seok, Park Jung-woo, Roh Yoon-seo",Jo Yeong-jik,,"October 6, 2022(Busan)",South Korea,Korean
22,36 Farmhouse,"36 Farmhouse is a 2022 Indian Hindi-language suspense comedy drama film.[1] It is written by Subhash Ghai and directed by Ram Ramesh Sharma.[2] It is produced by Subhash Ghai and Rahul Puri under the banner Mukta Searchlight Films and Zee Studios.[3] It stars Amol Parashar, Barkha Singh, Vijay Raaz, Madhuri Bhatia, Sanjay Mishra and Flora Saini in pivotal roles.[4] The film premiered on 21 January 2022 on ZEE5.[5]",Ram Ramesh Sharma,Subhash Ghai,Subhash Ghai,"Vijay Raaz, Sanjay Mishra, Amol Parashar",Akhilesh Shrivastava,"Shashank Mali, Anubhav Sarda",21 January 2022,India,Hindi
23,36 Gunn,"36 Gunn is an Indian Marathi language film directed by Samit Kakkad.[1] The film stars Santosh Juvekar, Vijay Patkar, Purva Pawar and Pushkar Shrotri. Music by Ajit Parab. The film was released on 4 November 2022.[2]",Samit Kakkad,,,"Santosh Juvekar, Vijay Patkar, Purva Pawar, Pushkar Shrotri",Sujit Kumar,"Ashish Mhatre, Apurva Motiwale Sahai",4 November 2022,India,Marathi
24,99 Moons,"The film was released at the Edinburgh International Film Festival in August 2022.  That same month, it was announced that Strand Releasing acquired North American distribution rights to the film.[4]",Jan Gassmann,Jan Gassmann,"Reto Schaerli, Lukas Hobi","Valentina Di Pace, Dominik Fellmann",Yunus Roy Imer,"Miriam Maerk, Jacques L’Amour",August 2022(Edinburgh),Switzerland,"German, [, 1, ]"
25,101 Flight,"In the early morning of September 11, 2001, a Boeing 757 aircraft belonging to Uzbekistan Airways takes off from the Uzbek capital of  Tashkent. This is the final flight of Zarif Saidazimov,[3][4] a highly experienced and veteran pilot, before his retirement. Flight 101[5][6] is in transit through Birmingham International Airport in the UK to John F. Kennedy International Airport in New York, USA.[7][8][9]",Akrom Shohnazarov,"Akrom Shohnazarov, Shohsanam Sufiyeva",Ravshan Norbayev,"Hoshim Arslonov, Umid Iskandarov",,,2 June 20221,Uzbekistan,Uzbek
26,130 Children,"In San José, Costa Rica, Melba (65) and Víctor (70) have a constantly expanding family, with six biological children and over 130 foster children in the past 40 years. Despite their advancing age, the couple continues to embrace the challenges of raising a large family. Some of their children are now embarking on their own paths towards adulthood, while a new child is gradually integrating into this bustling home. Despite the adventures and difficulties that come with such a large family, it continues to grow and thrive.[3]",Ainara Aparici,"Ainara Aparici, Susana Quiroz","Ainara Aparici, Daniela Camino",,Eduardo Guaita,Rosa Ordoñez,"May 5, 2022","Chile, Costa Rica",Spanish
27,143,"143 (subtitled onscreen with He Aapla Kalij Hayy !; transl. This is our heart !)[1] is a 2022 Indian Marathi-language romantic tragedy film directed by Yogesh Pandurang Bhosale and produced under the banner of Sharda Films Production.[2] The story, screenplay and dialogues of this film were written by Dr. Bhalchandra Gaikwad.[3] It stars Yogesh Bhosale, Shital Ahirrao, Vrushabh Shah, Shashank Shende, Suresh Vishwakarma in the lead roles.",Yogesh Pandurang Bhonsale,Dr. Bhalchandra Gaikwad,Veerkumar Shaha,"Yogesh Bhosale, Shital Ahirrao, Vrushabh Shah, Shashank Shende, Suresh Vishwakarma",Vikas Singh,S. Vikraman,4 March 2022,India,Marathi
28,181,"181 is a 2022 Indian Tamil-language horror film directed by Mohamad Issack and produced by BBS Isha Guha. The film stars Gemini Ryker, Rheena Krishnan, Kavya Amaira, and Vijay Chandru in the lead roles. The music was composed by Shameel J with cinematography by Prasad and editing by S. Devaraj. The film released on 16 December 2022.[1]",Mohamad Issack,,P.B.S. Esa Ghugha,"Gemini Ryker, Rheena Krishnan, Kavya Amaira, Vijay Chandru",Prasad,S. Devaraj,16 December 2022,India,Tamil
29,305 Bellechasse,"The film premiered in March 2022 at the Montreal International Festival of Films on Art,[3] before going into wider commercial release in September.[4]",Maxime-Claude L'Écuyer,Maxime-Claude L'Écuyer,Maxime-Claude L'Écuyer,,"Arnaud Dumas, Éric Poliquin, Nelson Villamil","Maxime-Claude L'Écuyer, Louis-Martin Paradis","March 26, 2022(FIFA)",Canada,French
30,The 355,"The 355 is a 2022 American action spy thriller film directed by Simon Kinberg from a screenplay by Theresa Rebeck and Kinberg, and a story by Rebeck. The film features an ensemble cast, starring Jessica Chastain, Penélope Cruz, Fan Bingbing, Diane Kruger, and Lupita Nyong'o as a group of international spies who must work together to stop a terrorist organization from starting World War III. Édgar Ramírez and Sebastian Stan also star. The title is derived from Agent 355, the codename of a female spy for the Patriots during the American Revolution.[4]",Simon Kinberg,,"Jessica Chastain, Kelly Carmichael, Simon Kinberg","Jessica Chastain, Penélope Cruz, Fan Bingbing, Diane Kruger, Lupita Nyong'o, Édgar Ramírez, Sebastian Stan",Tim Maurice-Jones,"John Gilbert, Lee Smith","January 7, 2022",United States,English
31,365 Days: This Day,"365 Days: This Day (Polish: 365 dni: Ten dzień) is a 2022 Polish erotic  film directed by Barbara Białowąs and Tomasz Mandes. Serving as a sequel to 365 Days, it is based on This Day, the second novel of a trilogy by Blanka Lipińska and stars Anna-Maria Sieklucka, Michele Morrone and Magdalena Lamparska.","Barbara Białowąs, Tomasz Mandes",,Tomasz Mandes,"Anna-Maria Sieklucka, Michele Morrone, Magdalena Lamparska",Bartek Cierlica,Marcin Drewnowski,27 April 2022,Poland,"Polish, English, Italian, Spanish"
32,578 Magnum,"The film was officially released on May 20, 2022, after previous arrangement, but was postponed due to the COVID-19 pandemic.[3][4]",Lương Đình Dũng,Lương Đình Dũng,"Vũ Thị Ngọc Diệp, Lê Tôn Hà Phương, Ngô Thị Phương Thanh, Lương Đình Dũng","Alexandre Nguyễn, H'Hen Niê, Hoàng Phúc, Ngọc Tình, Tuấn Hạc, Jessica Minh Anh, Nguyễn Lâm Thảo Tâm",Morgan Schmidt,Steve M. Choe,20 May 2022,Vietnam,Vietnamese
33,752 Is Not a Number,"The film premiered at the 2022 Toronto International Film Festival on September 11, 2022,[3] and was second runner-up for the People's Choice Award for Documentaries.[4]",Babak Payami,Babak Payami,Babak Payami,Hamed Esmaeilion,Amir Ghorbani Nia,Hooman Shams,"September 11, 2022(TIFF)",Canada,English
34,777 Charlie,"777 Charlie is a 2022 Indian Kannada-language adventure drama film written and directed by Kiranraj K. and produced by Paramvah Studios. It stars Charlie, a Labrador dog in the title role, and Rakshit Shetty alongside Sangeetha Sringeri, Raj B. Shetty, Danish Sait, Bobby Simha and Aniruddh Roy. The film follows the journey and bonding between a lonely factory worker and a stray Labrador dog.",Kiranraj K.,Kiranraj K.,"G. S. Gupta, Rakshit Shetty, Binay Khandelwal, Sudhee D S, (Executive Producers)","Charlie, Rakshit Shetty, Sangeetha Sringeri, Raj B. Shetty, Danish Sait, Bobby Simha",Arvind S. Kashyap,Pratheek Shetty,10 June 2022,India,Kannada
35,1001 Nunakal,"1001 Nunakal (transl. Thousand and One Lies), also known as Aayirathonnu Nunakal,[4] is a 2022 Indian Malayalam-language drama film directed by Thamar KV in his directorial debut and produced by Salim Ahamed.[5] The film premiered in the Malayalam Cinema Today category at the 27th International Film Festival of Kerala in December 2022.[6][7] The plot revolves around a group of friends who decide to play a game of truth or dare at a wedding anniversary party. Critics have noted the plot setting being similar to that of 2016 Italian film Perfect Strangers.[8]",Thamar KV,"Thamar KV, Hashim Sulaiman",Salim Ahamed,"Vishnu Agasthya, Remya Suresh, Zhinz Shan, Vidhya Vijaykumar",Jithin Stanislaus,Nishadh Yusuf,11 December 2022(IFFK)1,India,Malayalam
36,1341 Frames of Love and War,"The documentary gives insight into the treasure trove of iconic images captured by Micha Bar-Am during his 50-career. As he mines his extraordinary archive of over half a million photographic negatives of war-related images he questions and doubts himself in a profound exploration of photography, memory, and the personal cost of a life devoted to recording conflict.[5]",Ran Tal,,"Ran Tal, Sarig Peker","Micha Bar-Am, Orna Bar-Am",,Nilli Feller,13 February 2022(Berlinale),"Israel, UK, USA","Hebrew, German"
37,1744 White Alto,"1744 White Alto is a 2022 Indian Malayalam-language comedy crime drama film written and directed by Senna Hegde.[1] The film stars Sharaf U Dheen,[2] Rajesh Madhavan and Vincy Aloshious[3] in the lead roles.[4] The film got negative reviews and became a box office bomb.",Senna Hegde,Senna Hegde,"Mrinal Mukundan, Sreejith Nair, Vinod Divakar","Sharaf U Dheen, Rajesh Madhavan, Vincy Aloshious",Sreeraj Raveendran,Harilal K Rajeev,18 November 2022,India,Malayalam
38,1921: Puzha Muthal Puzha Vare,"1921: Puzha Muthal Puzha Vare (transl. 1921: From River To River) is a 2022 Indian Malayalam-language period film written, produced, edited, and directed by Ramasimhan. It is based on the 1921 Malabar riots. The film depicts the accused religious persecution of Hindus spearheaded by Variyankunnath Kunjahammad Haji.[2][3][better source needed] The film stars Thalaivasal Vijay, R. L. V. Ramakrishnan, Joy Mathew, Dinesh Panicker, Vijay Menon, Santhosh K. Nayar, Kozhikode Narayanan Nair, Agna Suresh, and Kenas Mathew George.",Ramasimhan,Ramasimhan,Ali Akbar,"Thalaivasal Vijay, R. L. V. Ramakrishnan","Binu S. Nair, Sunil Kannur, Prajeesh Kannur",Ramasimhan,13 August 2022(Delhi),India,Malayalam
39,1945,"1945 is a 2022 Indian war drama film directed by Sathyasiva and produced by S. N. Rajarajan of K Production. It was simultaneously shot in Telugu and Tamil languages under the same title. The film stars Rana Daggubati, Regena Cassandrra, Sathyaraj and Nassar. The music was composed by Yuvan Shankar Raja with cinematography by Sathya Ponmar and editing by Gopi Krishna. The film began its production in 2016 but was left unfinished due to differences between the producer and the lead actor before the film was eventually released in 2022.",Sathyasiva,Sathyasiva,S. N. Rajarajan,"Rana Daggubati, Regena Cassandrra, Sathyaraj, Nassar",Sathya Ponmar,Gopi Krishna,7 January 2022(Telugu),India,"Telugu, Tamil"
40,1946: The Mistranslation That Shifted Culture,"1946: The Mistranslation That Shifted Culture is a 2022 documentary film about the translation of two Koine Greek words in the New Testament—arsenokoitai and malakoi—during the creation of the Revised Standard Version of the Christian Bible in 1946, and how it has contributed to anti-LGBT rhetoric.",Sharon Roggio,"Jena Serbu, Jill Woodward","Sharon Roggio, Jena Serbu","Kathy Baldock, Ed Oxford","Tyler Eichorst, Collier Landry, Samuel Emerson Morgan",Jill Woodward,2022,United States,
41,1976,"1976, also known as Chile '76 in North America, is a 2022 drama film[2] directed by Manuela Martelli in her directorial debut,[3] with a screenplay co-written by Martelli and Alejandra Moffat. An international co-production between Chile and Argentina, the film premiered on 26 May 2022, in the Directors' Fortnight section at the Cannes Film Festival and was released in Chilean cinemas on 20 October 2022.[4][5] It was nominated in the Best Ibero-American Film category at the 37th Goya Awards.[6][7]",Manuela Martelli,"Manuela Martelli, Alejandra Moffat","Omar Zúñiga Hidalgo Alejandra García, Nathalia Videla Peña, Dominga Sotomayor, Andrés Wood, Juan Pablo Gugliotta","Aline Kuppenheim, Nicolás Sepúlveda, Hugo Medina, Alejandro Goic, Carmen Gloria Martínez, Antonia Zegers, Marcial Tagle",Yarará Rodríguez,Camila Mercadal,26 May 2022(Cannes),"Chile, Argentina",Spanish
42,2000 Mules,"2000 Mules is a 2022 American right-wing conspiracy propaganda film[4][5][6][7] which makes debunked claims[8][9][10] that paid ""mules"" illegally collected and deposited ballots into drop boxes in swing states  during the 2020 presidential election. The film was written, directed, produced, and narrated by right-wing political commentator and filmmaker Dinesh D'Souza, who has a history of creating and spreading false conspiracy theories.[11]","Dinesh D'Souza, Debbie D'Souza, Bruce Schooley","Dinesh D'Souza, Debbie D'Souza, Bruce Schooley","Dinesh D'Souza, Gregg Phillips, Catherine Englebrecht",Dinesh D'Souza,,Dinesh D'Souza,"May 20, 202212",United States,English
43,2012/Through the Heart,"The film premiered at the 2022 Festival du nouveau cinéma,[3] before going into commercial release in 2023.[4]","Rodrigue Jean, Arnaud Valade","Rodrigue Jean, Arnaud Valade",Rodrigue Jean,,,Arnaud Valade,October 2022(FNC),Canada,French
44,2025 Armageddon,"In 2006, twin sisters Madolyn and Quinn view Snakes on a Train, which was mistakenly purchased by their grandmother, who believed it was Snakes on a Plane. The sisters bond over the film and develop a love of The Asylum's movies.",Michael Su,,,"Michael Paré, Sarah Lieving, Anthony Jensen, Paul Logan, Jhey Castles",,,"December 16, 2022(theaters)",United States,English
45,2037,"2037 (Korean: 이공삼칠) is a 2022 South Korean drama film directed by Mo Hong-jin. The drama takes place among female inmates, depicting the story of adults who want to give hope to the hard-to-believe reality that happened to a 19-year-old girl. It was released on June 8, 2022.[1][2]",Mo Hong-jin,"Mo Hong-jin, Yoo Da-young",,"Hong Ye-ji, Kim Ji-young, Kim Mi-hwa, Hwang Seok-jeong, Shin Eun-jung, Jeon So-min, Yoon Mi-kyung, Jung In-ki",Choe Sang-ho,Lee Do-hyeon,"June 8, 2022",South Korea,Korean
46,À la vie à l'amor,The film premiered at the 2022 Toronto International Film Festival.[2],Émilie Mannering,"Lex Garcia, Émilie Mannering",Léonie Hurtubise,"Lex Garcia, Eloïsa Cervantes",Simran Dewan,Myriam Magassouba,"September 9, 2022(TIFF)",Canada,"English, French, Spanish"
47,A Mero Hajur 4,"Sound Design,Dolby Atmos Mix",Jharana Thapa,,Sunil Kumar Thapa,"Anmol KC, Suhana Thapa, Salon Basnet",,"Mitra D. Gurung, Sound Design,Dolby Atmos Mix, Uttam Neupane, ,CAS","April 14, 2022(Nepal)",Nepal,Nepali
48,Aa Ammayi Gurinchi Meeku Cheppali,Aa Ammayi Gurinchi Meeku Cheppali (transl. I must tell you about that girl) is a 2022 Indian Telugu-language romantic drama film written and directed by Mohana Krishna Indraganti and produced by Benchmark Studios and Mythri Movie Makers. The film stars Sudheer Babu and Krithi Shetty. The music is composed by Vivek Sagar with cinematography by P. G. Vinda and editing by Marthand K. Venkatesh.,Mohana Krishna Indraganti,Mohana Krishna Indraganti,"B. Mahendra Babu, Kiran Ballapalli","Sudheer Babu, Krithi Shetty",P. G. Vinda,Marthand K. Venkatesh,16 September 2022,India,Telugu
49,Aadavallu Meeku Johaarlu,"Aadavallu Meeku Johaarlu (transl. Salutation to you, ladies) is a 2022 Indian Telugu-language romantic comedy drama film written and directed by Kishore Tirumala. Produced by SLV Cinemas, the film stars Rashmika Mandanna, Khushbu Sundar, Radhika Sarathkumar and Urvashi, and Sharwanand.",Kishore Tirumala,Kishore Tirumala,"Sudhakar Cherukuri, Ramana Rao Rudrapati","Rashmika Mandanna, Khushbu Sundar, Radhika Sarathkumar, Urvashi, Sharwanand",Sujith Sarang,A. Sreekar Prasad,4 March 2022,India,Telugu
50,Aadhaar,"Aadhaar is a 2022 Indian Tamil-language mystery drama film directed by Ramnath Palanikumar and starring Karunas, Arun Pandian and Prabhakar. It was released on 23 September 2022.[1][2]",Ramnath Palanikumar,,,"Karunas, Arun Pandian, Prabhakar",Mahesh Muthuswami,,23 September 2022,India,Tamil
51,Aaja Mexico Challiye,"Aaja Mexico Challiye (transl. Come, let's go to Mexico) is a 2022 Indian Punjabi-language thriller drama film[1] directed by Rakesh Dhawan starring Ammy Virk, Nasir Chinyoti and Yasaman Mohsani.[2]",Rakesh Dhawan,Rakesh Dhawan,"Rahil Abbas, Ammy Virk","Ammy Virk, Nasir Chinyoti, Zafri Khan, Yasaman Mohsani",Navneet Misser,Manish More,25 February 2022,India,Punjabi
52,Aanandam Paramanandam,"Aanandam Paramanandam (transl. Joy Bliss) is a 2022 Indian Malayalam-language comedy-drama film directed by Shafi and produced by Saptha Tharang Creations Private Limited. The film stars Sharafudheen, Aju Varghese, Indrans, and Baiju Santhosh. The film's story, screenplay, and dialogues are written by M. Sindhuraj. The film's music is composed by Shaan Rahman and the cinematography is handled by Manoj Pillai. it was final film of Shafi as director before his death.",Shafi,M. Sindhu Raj,,"Sharafudheen, Aju Varghese, Indrans, Baiju Santhosh",Manoj Pillai,V Sajan,23 December 2022,India,Malayalam
