,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
12,9to5: The Story of a Movement,"9to5: The Story of a Movement is a 2020 American documentary film directed and produced by Julia Reichert and Steven Bognar. The film revolves around 9to5, an organization established to improve working conditions and ensuring the rights of women and families.","Julia Reichert, Steven Bognar",,"Julia Reichert, Steven Bognar",,Steven Bognar,Jaime Meyers Schlenck,"June 19, 2020(AFI Docs)",United States,English
13,10 Things We Should Do Before We Break Up,10 Things We Should Do Before We Break Up is a 2020 American romantic comedy drama film written and directed by Galt Niederhoffer and starring Christina Ricci and Hamish Linklater.,Galt Niederhoffer,Galt Niederhoffer,,"Christina Ricci, Hamish Linklater",,,"February 21, 2020",United States,English
14,The 11th Green,The 11th Green is a 2020 American drama film written and directed by Christopher Münch and starring Campbell Scott.,Christopher Münch,Christopher Münch,"Christopher Münch, Valeria Lopez",Campbell Scott,Sara Garth,"Curtiss Clayton, Nat Carter","January 10, 2020(Palm Springs)",United States,English
15,12 Hour Shift,"12 Hour Shift is a 2020 American black comedy horror film written and directed by Brea Grant and starring Angela Bettis, Kit Williamson, and David Arquette. Bettis plays Mandy, a drug-addicted nurse involved in a black market organ-trading scheme in 1999.[6] Arquette was one of the film's producers, alongside his wife Christina Arquette, and Jordan Wayne Long, Tara Perry, and Matt Glass.[7][8] The film also features music composed by Glass.[8]",Brea Grant,Brea Grant,"Christina McLarty Arquette, David Arquette, Jordan Wayne Long, Tara Perry, Matt Glass","Angela Bettis, Chloe Farnworth, Nikea Gamby-Turner, Kit Williamson, David Arquette",Matt Glass,Amy McGrath,"September 22, 2020(Fantasia)2",United States,English
16,13 Slays Till X-Mas,13 Slays Till X-Mas is a 2020 Christmas themed horror anthology.[1],"Brittany Blanton, Sean Blevins, Jed Brian, Shawn Burkett, William Capps, Alexander Clark, Carlos Omar De Leon, John Hale III, Blair Hoyle, Eric Huskisson, Robert Kern III, Drew Marvick, John Mason, P. J. Starks, Julie Streble",,,,"Alexander Clark, Derek Huey, Emily James, Peter Leininger","Jed Brian, Emily James, John Mason, Brent Perrott, P. J. Starks","November 13, 2020",United States,English
17,18 Presents,"A pregnant mother Elisa (Vittoria Puccini) gives birth to her baby daughter Anna (Benedetta Porcaroli) and attempts to be part of her life by allocating 18 sentimental emotional gifts for her unborn daughter, soon after realising that she has breast cancer. Elisa does this during her remaining days, to allow Anna to receive her birthday gifts every year on her birthday until age 18. Elisa dies shortly after giving birth and Anna gets to know about her mother's love and sacrifice after growing up and feels guilty.[13]",Francesco Amato,"Francesco Amato, Massimo Gaudioso, Davide Lantieri, Alessio Vincenzotto",,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo",,,2 January 2020,Italy,Italian
18,23 Walks,"Although not stated on screen, the outdoor scenes where the walks take place were filmed in the London Borough of Barnet – in Chipping Barnet and Hadley, including King George's Fields in Monken Hadley (which is on the London Loop).[1]",Paul Morrison,Paul Morrison,"Stewart Le Marechal, Anna Mohr-Pietsch, Maggie Monteith","Alison Steadman, Dave Johns, Graham Cole, Bob Goody",David Katznelson,,30 July 2020(Australia),United Kingdom,English
19,The 24th,"The 24th is a 2020 American historical drama film co-written and directed by Kevin Willmott. The film stars Trai Byers, Bashir Salahuddin, Aja Naomi King, Mo McRae, Tosin Morohunfola, Mykelti Williamson, and Thomas Haden Church. It generally tells a story of the Houston riot of 1917.[1][2][3]",Kevin Willmott,"Kevin Willmott, Trai Byers","Jordan Fudge, Alexandra Milchan, Kevin Willmott, Trai Byers","Trai Byers, Bashir Salahuddin, Aja Naomi King, Mo McRae, Tosin Morohunfola, Mykelti Williamson, Thomas Haden Church",Brett Pawlak,Mollie Goldstein,"August 21, 2020",United States,English
20,25 Years of Innocence,"25 Years of Innocence received critical acclaim and saw commercial success grossing $4,027,477 in box office.[1][3] At the 2021 Polish Film Awards, 25 Years of Innocence received record 15 nominations, winning seven  awards include for, Best Director, Best Actor (Trojan), Best Actress (Kulesza) and Best Supporting Actor (Frycz).[4][5] It also received two Awards at the Polish Film Festival.[6]",Jan Holoubek,Andrzej Golda,,"Agata Kulesza, Piotr Trojan, Magdalena Różczka, Jan Frycz, Dariusz Chojnacki",,Rafał Listopad,"September 4, 2020(Koszalin Debut Films Festival)",Poland,Polish
21,32 Malasana Street,"32 Malasana Street (Spanish: Malasaña 32) is a 2020 Spanish supernatural horror film directed by Albert Pintó. The cast features Begoña Vargas, Bea Segura, Iván Marcos, Sergio Castellanos and Javier Botet, among others.",Albert Pintó,"Ramón Campos, Gema R. Neira, Salvador S. Molina, David Orea","Jordi Gasull, Mercedes Gamero, Ramón Campos","Begoña Vargas, Iván Marcos, Beatriz Segura, Sergio Castellanos, José Luís de Madariaga, Iván Renedo, María Ballesteros, Rosa Álvarez, Almudena Salort, Javier Botet",Daniel Sosa Segura,Andrés Federico González,17 January 2020(Spain),Spain,Spanish
22,40 Sticks,"40 Sticks is a 2020 Kenyan thriller film produced by SensePLAY, a Kenyan audio-visual production house, an arm of Password Ventures Ltd.[1]  It premiered on Netflix on November 20, 2020,[2] showing in Africa, US, UK, Canada, New Zealand and Australia. 40 Sticks is the fourth Kenyan film to premiere on Netflix in 2020, after Poacher, Sincerely Daisy and Disconnect.[3] The story was created by Frank G. Maina, and written together with Voline Ogutu, and directed by Victor Gatonye.",Victor Gatonye,"Frank Maina, Voline Ogutu","Lucas Bikedo, Cutha Gathere, Sarah Hassan, Fakii Liwali, Betty Mutua","Shiviske Shivisi,, Robert Agengo, , Mwaura Bilal, Cajetan Boy, Andreo Kamau, Arabron Nyyeneque, Ywaya Xavier",,,20 November 2020,Kenya,Swahili
23,40 Years of Rocky: The Birth of a Classic,"40 Years of Rocky: The Birth of a Classic, also known as Becoming Rocky: The Birth of a Classic, is a 2020 American short documentary film directed by Derek Wayne Johnson about the making of the original Rocky.[1]",Derek Wayne Johnson,Derek Wayne Johnson,"Derek Wayne Johnson, Chris May, Emmett James","Sylvester Stallone, Talia Shire, Burt Young, Burgess Meredith, Carl Weathers",,,"June 9, 2020",United States,English
24,47 Days,"47 Days is a 2020 Indian Telugu-language mystery drama film written and directed by Pradeep Maddali. Produced by Title Card Entertainment, the film stars Satyadev and Pooja Jhaveri with music composed by Raghu Kunche.",Pradeep Maddali,Pradeep Maddali,"Vijay Donkada, Raghu Kunche, Sridhar Makkuva, Dabbara Sashi Bhushan Naidu","Satyadev, Pooja Jhaveri",GK,M. S. Rajashekhar Reddy (S. R. Shekhar),30 June 2020,India,Telugu
25,52 Hertz,52 Hertz is an Iranian short film directed by Asghar Abbasi.[1] This movie was filmed in one shot of 14 minutes.[2][3] 52 Hertz has been named the international film festival of Spain's Tersa.[4][5],Asghar Abbasi,"Mostafa Beiranvand, Asghar Abbasi",Narges Zare,"Ramin Maraghi, Tannaz Rezaee, Narges Derakhshan, Payam Rahimi",,,25 July 2020,Iran,Persian
26,69: The Saga of Danny Hernandez,"69: The Saga of Danny Hernandez is a 2020 true crime documentary film about Daniel Hernandez, a rapper, songwriter, social media personality, and convicted felon who is known professionally as 6ix9ine, or Tekashi69.[1] The film details Hernandez's rise as a musician, as well as his gang affiliation and multiple arrests.[2][3][4] It was directed by Vikram Gandhi and released on Hulu on November 16, 2020.[5][6]",Vikram Gandhi,,"Jeremy Falson, Vikram Gandhi, Jude Harris",6ix9ine,Ryan Francis White,Cameron Dennis,"November 16, 2020",United States,English
27,76 Days,"76 Days (Chinese: 76天; pinyin: 76 Tiān) is a 2020 Chinese-American documentary film directed by Hao Wu, Weixi Chen and an anonymous third.[1] Set in the early days of the COVID-19 pandemic, it captures the struggles and human resilience[2][3] in the battle to survive the spread of the disease in Wuhan, China.[4][5]","Hao Wu, Weixi Chen, Anonymous",Hao Wu,"Hao Wu, Jean Tsien",,"Chen Weixi, Anonymous",Hao Wu,"September 14, 2020(TIFF)","United States, China",Mandarin
28,100% Wolf,"100% Wolf is a 2020 Australian animated adventure fantasy comedy film directed by Alexs Stadermann and produced by Alexia Gates-Foale and Barbara Stephen.[6][7][8] It is adapted from Jayne Lyons' 2009 novel of the same name. It features the voices of Jai Courtney, Samara Weaving, Magda Szubanski, Rhys Darby, Ilai Swindells, Akmal Saleh, Rupert Degas, and Jane Lynch. The film follows a teen boy who is part of a werewolf family, but when his first transformation turns him into a poodle, he sets out on an adventure to prove he belongs.",Alexs Stadermann,Fin Edquist,"Alexia Gates-Foale, Barbara Stephen","Jai Courtney, Samara Weaving, Magda Szubanski, Rhys Darby, Ilai Swindells, Akmal Saleh, Rupert Degas, Jane Lynch",Heidy Villafane,Simon Klaebe,29 May 20201,"Australia, [, 3, ]",English
29,180° Rule,The film received two nominations at the 39th Fajr Film Festival.[3][4][5][6][7],Farnoosh Samadi,Farnoosh Samadi,Ali Mosaffa,"Sahar Dolatshahi, Pejman Jamshidi, Azita Hajian, Hasan Pourshirazi",Masoud Salami,Meisam Molaee,"September 10, 2020(TIFF)",Iran,Persian
30,200 Meters,"200 Meters (Arabic: 200 متر) is a 2020 adventure drama film written and directed by Ameen Nayfeh in his feature-length debut. The film premiered in the 17th edition of the Giornate degli Autori section at the 77th Venice International Film Festival on 9 September 2020, where it won the BNL People's Choice Audience Award. It was selected as the Jordanian entry for the Best International Feature Film at the 93rd Academy Awards, but it was not nominated.[3] It won the IFFI ICFT UNESCO Gandhi Medal at 51st International Film Festival of India in January 2021.",Ameen Nayfeh,Ameen Nayfeh,"Julia Gebauer, Faycal Hassairi, Francesco Melzi d'Eril, May Odeh","Ali Suliman, Anna Unterberger, Motaz Malhees",Elin Kirschfink,Kamal El Mallakh,9 September 2020(Venice),"Palestine, Jordan, Qatar, Sweden, Italy","Palestinian Arabic, ,, Hebrew, , English"
31,365 Days,"365 Days (Polish: 365 dni) is a 2020 Polish erotic thriller film directed by Barbara Białowąs and Tomasz Mandes. Based on the first novel of a trilogy by Blanka Lipińska, the plot follows a young Warsaw woman (Anna-Maria Sieklucka) in a relationship falling for a Sicilian man (Michele Morrone), who imprisons and imposes on her a period of 365 days for her to fall in love with him.","Barbara Białowąs, Tomasz Mandes",,"Maciej Kawulski, Ewa Lewandowska, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska",Mateusz Cierlica,Marcin Drewnowski,7 February 2020(Poland),Poland,"Polish, Italian, English"
32,499,"499 is a 2020 docudrama film straddling documentary and fiction, directed by Rodrigo Reyes. The film is a creative exploration of the legacy of colonialism in contemporary Mexico, 500 years after the Spanish conquest of the Aztec Empire.[2][3][4] The film had its international premiere at the 2020 Tribeca Film Festival,[5] where it won the best cinematography award in the documentary competition,[6] as well as winning the Special Jury Award at Hot Docs the same year. It also won the EnergaCAMERIMAGE Golden Frog Prize for Best Docudrama.[7]",Rodrigo Reyes,"Rodrigo Reyes, Lorena Padilla","Inti Cordera, Andrew Houchens",Eduardo San Juan Breña,Alejandro Mejía,"Andrea Chignoli, Daniel Chávez Ontiveros","April 15, 2020(Tribeca Film Festival)1","Mexico, United States","Spanish, Nahuatl"
33,537 Votes,"537 Votes is an HBO original documentary directed by Billy Corben and released on October 21, 2020. The documentary discusses the controversial 2000 United States presidential election in Florida and was released in the run-up to the 2020 United States presidential election. The film premiered at the 2020 GEMS Film Festival.[1]",Billy Corben,,,,,,"October 10, 2020(GEMS Film Festival)",United States,English
34,2000 Songs of Farida,"2000 Songs of Farida (Uzbek: Faridaning ikki ming qoʻshigʻi), also translated as Farida's 2000 Songs, is a 2020 Uzbekistani drama film directed by Yalkin Tuychiev. It is set in Central Asia in 1920.",Yalkin Tuychiev,Yalkin Tuychiev,"Shavkat Rizaev, Doniyor Agzamov","Sanobar Haqnazarova, Bahrom Matchanov, Ilmira Rahimjanova, Yulduz Rajabova, Marjona Uljayeva",Bahadir Yuldashev,Hurshid Alihodjaev,9 October 2020(Busan),Uzbekistan,Uzbek
35,2067,"2067 is a 2020 Australian science fiction film directed and written by Seth Larney from a treatment by Gavin Scott Davis (itself from Larney's own idea), and starring Kodi Smit-McPhee and Ryan Kwanten.[1][2] The film was a box office disappointment, and received generally negative reviews from critics.",Seth Larney,"Seth Larney, Additional writing:, Dave Paterson","Lisa Shaunessy, Jason Taylor, Kate Croser","Kodi Smit-McPhee, Ryan Kwanten, Leeanna Walsman, Aaron Glenane, Deborah Mailman",Earle Dresner,Sean Lahiff,2 October 2020(United States),Australia,English
36,A la calle,"The documentary revolves about the efforts by Venezuelans to reestablish democracy in Venezuela from Nicolás Maduro, whose policies plunged the country into economic crisis and caused large nationwide demonstrations. The film also features opposition leader Leopoldo López, sentenced to 14 years in prison under charged for  “inciting violence” after encouraging people to protest, and the rise to power of Juan Guaidó, president of the National Assembly of Venezuela.[1][2][3] The film interviews Federica Ávila, a female medical student who supports her community where she can, and a man that must emigrate to support his family, as well as people who support President Hugo Chávez and Maduro.[1][4]","Maxx Caicedo, Nelson G. Navarrete",,"Shawna Brakefield-Haase, Marcus Cheek, Maxx Caicedo, Nelson G. Navarrete",,David Mosquera,,2020,"Venezuela, United States",
37,Aadyaa,"Aadya is a 2020 Indian Kannada thriller film directed by K. M. Chaitanya. It stars Chiranjeevi Sarja Sruthi Hariharan, and Sangeetha Bhat in the lead roles. The supporting cast includes  Ravishankar Gowda and Shashank Purushotham.The score and soundtrack for the film is by Sridhar V Sambhram and the cinematography is by V Malhar Bhat Joshi. The film is the official remake of 2016 Telugu film Kshanam directed by Ravikanth Perepu.[1][2][3][4][5][6][7]",K. M. Chaitanya,,"T G Vishwaprasad, Raghunath S","Chiranjeevi Sarja, Sruthi Hariharan, Sangeetha Bhat",V. Malhar Bhatt Joshi,Akshay P. Rao,21 February 2020,India,Kannada
38,Aama,"Aama (Nepali: आमा, transl. Mother) is a 2020 Nepali drama film, directed and written by Dipendra K. Khanal. The film is produced by Sharmila Pandey under the banner of DS Digital. The film stars Mithila Sharma, Surakshya Panta in the lead roles and alongside Sarita Giri, Deshbhakta Khanal, Manish Niraula, Laxmi Bhusal, Tika Pahari, Padam Prasad Poudel, Aashant Sharma, Saroj Aryal. The film is about relationship of mother and daughter. The film generally received positive feedback from the critics.",Dipendra K. Khanal,Dipendra K. Khanal,Sharmila Pandey,"Mithila Sharma, Surakshya Panta, Sarita Giri, Deshbhakta Khanal, Manish Niraula",,,21 February 2020,Nepal,Nepali
39,AB Aani CD,"AB Aani CD (transl. AB and CD) is a 2020 Indian Marathi-language comedy film directed by Milind Lele, produced by Abhayananad Singh, Akshay Bardapurkar, Arvind Reddy, Krishna Persaud and Piyush Singh under banner of Planet Marathi, Golden Ratio Films and KCR Reddy Production. The film starring Vikram Gokhale, Subodh Bhave, Sayali Sanjeev  and Akshay Tanksale[1] The film also has a cameo by Amitabh Bachchan as himself.[2]",Milind Lele,Hemant Edlabadkar,"Abhayananad Singh, Akshay Bardapurkar, Arvind Reddy, Krishna Persaud, Piyush Singh","Vikram Gokhale, Subodh Bhave",Suresh Deshmane,Mayur Hardas,1 May 2020,India,Marathi
40,Abadan 1160,Other film crew members include:,Mehrdad Khoshbakht,"Mehrdad Khoshbakht, Hossein Torab-Nejad",Hassan Kalami,"Alireza Kamali, Hassan Majooni, Nader Soleimani, Vida Javan",Mehdi Jafari,Sohrab Khosravi,2020,Iran,Persian
41,Abe,"Abe is a 2019 comedy-drama film directed by Fernando Grostein Andrade and starring Noah Schnapp and Seu Jorge.[1] The film depicts twelve-year old protagonist Abe's attempts to unite his half-Israeli and half-Palestinian family.[3] Abe is the son of a Jewish Israeli mother, Rebecca and a Muslim Palestinian father, Amir.",Fernando Grostein Andrade,"Lameece Issaq, Jacob Kader","Carlos Eduardo Ciampolini, Noberto Pinheiro Jr., Caio Gullane, Fabiano Gullane","Noah Schnapp, Seu Jorge",Blasco Giurato,"Claudia Castello, Suzanne Spangler, Bruno Lasevicius","April 17, 2020","United States, Brazil","English, [, 1, ], Hebrew, [, 1, ], Arabic, [, 1, ]"
42,About a Teacher,"About a Teacher is a 2020 American drama film written and directed by Hanan Harchol and starring Dov Tiefenbach, Tibor Feldman, Kate Eastman, Aurora Leonard and Leslie Hendrix.",Hanan Harchol,Hanan Harchol,Hanan Harchol,"Dov Tiefenbach, Tibor Feldman, Kate Eastman, Aurora Leonard, Leslie Hendrix",Kai Dekassian,,"April 7, 2020",United States,English
43,Abyssal Spider,The film was released in Taiwan on 11 September 2020.[2][4][5],Joe Chien,"Joe Chien, Nelson Yan",,"Wang Yangming, Zheng Renshuo, Ko Chia-yen",,,11 September 2020,Taiwan,
44,The Academy of Magic,"The film was first released in international markets starting with the United Kingdom on May 25, 2020. The film was later released in China on May 15, 2021, and in the United States on March 25, 2025.",Jorgen Klubien,"Jorgen Klubien, Cindy Robinson",Allen Tsang,"Laura Megan Stahl, Michael Johnston, Ben Diskin, Michael Orenstein, Grant George, Jamieson Price, Philece Sampler",,Andreas Birch Eriksen,"May 25, 2020(United Kingdom)","China, [, 1, ], United States, [, 1, ]",English
45,"Acasă, My Home","It had its world premiere at the 2020 Sundance Film Festival on January 27, 2020. It runs for 1 hour 26 minutes. It is in Romanian with English subtitles. It was produced by Autlook films. Zeitgeist Films, Kino Lorber took the North American international distribution rights.[3]",,,,,,,,,
46,Accidental Luxuriance of the Translucent Watery Rebus,Conceptual artist Sarah alongside friend Martin trying to fight the system joining a revolutionary commune while Inspector Ambroz and the police are on their trail.[6],Dalibor Barić,Dalibor Barić,Ivan Katić,"Rakan Rushaidat, , Ana Vilenica, Frano Mašković, Nikša Marinović, Mario Kovač, Željka Veverec, Boris Bakal, Pavlica Brazzoduro Bajsić",Dalibor Barić,,"June 15, 2020(Annecy)1",,
47,Act 1978,"Act 1978 is a 2020 Kannada-language social thriller film directed by Manjunatha Somakeshava Reddy (Mansore) and starring Yagna Shetty.[1][2] This was the first Kannada film to be released in theatres after the COVID-19 pandemic.[3]
[4][5]","Manjunatha Somakeshava Reddy (, Mansore, )",,Devaraj R.,Yagna Shetty,Satya Hegde,Nagendra K. Ujjani,20 November 2020,India,Kannada
48,Ad Libitum Corporation,"Ad Libitum Corporation is able to fulfill absolutely any desire. But, if a person has several desires, he will have to pay dearly for their embodiment.[4]",Polina Oldenburg,Polina Oldenburg,"Ilya Shemyatov, Natalya Kochetova","Shamil Khamatov, Igor Petrenko, Darya Belousova, Yevgeniya Kregzhde, Anton Fyodorov, Kristina Babushkina, Karen Badalov, Ivan Stebunov, Aleksandr Ilyin",Ivan Kolpakov,Dmitry Milyayev,"January 21, 2020",Russia,Russian
49,Adam,"Adam (also known as Grounded,[2] and Quad[3]) is a 2020 American drama film starring Aaron Paul, Jeff Daniels and Tom Berenger.[1]",Michael Uppendahl,"Michael Burke, Brett Johnson, Robin Veith, Mike Young","Gary Gilbert, Jordan Horowitz","Aaron Paul, Jeff Daniels, Tom Berenger",Tobias Datum,Joseph Talbot,"May 19, 2020(iTunes)1",United States,English
50,Adavi,"Adavi (transl. Dense Forest that hides light)  is a 2020 Tamil language romantic action film directed by G. Ramesh and starring Vinoth Kishan and Ammu Abhirami in the lead roles while the producer, Sambasivam, makes his film debut in a negative role.[1]",G. Ramesh,,K Sambasivam,"Vinoth Kishan, Ammu Abhirami",G. Ramesh,Sathish Kurosuwa,7 February 2020,India,Tamil
51,Admitted,"Admitted is a 2020 Indian Hindi-language docudrama film directed by Chandigarh-based director Ojaswwee Sharma. The film is about Dhananjay Chauhan, the first transgender student at Panjab University.[1] The role of Dhananjay Chauhan has been played by Dhananjay herself.[2]",Ojaswwee Sharma,Ojaswwee Sharma,Pinaka Mediaworks,Dhananjay Chauhan,,Bhasker Pandey,13 June 2020,India,"English,, Hindi"
52,Adú,"The film won four Goya Awards, including Best Director for Calvo and Best New Actor for Adam Nourou, from a total of thirteen nominations, at the 35th Goya Awards.[4][5]",Salvador Calvo,Alejandro Hernández,,"Moustapha Oumarou, Luis Tosar, Álvaro Cervantes",,,31 January 2020,Spain,"French, English, Spanish"
53,Adventures Italian Style,The film based on the short story Addio Ceaușescu ('Goodbye Ceaușescu') by Maurizio Paganelli and Andrea Riceputi.[1] It premiered at the Venice Nights' panel of the Giornate degli Autori section of the 77th Venice International Film Festival.[2]  It also won awards at the New York International Film Awards.[3],Antonio Pisu,"Maurizio Paganelli (story), Andrea Riceputi (story), Antonio Pisu",,"Lodo Guenzi, Jacopo Costantini, Matteo Gatta, Paolo Rossi Pisu",Adrian Silisteanu,Paolo Marzoni,30 September 2020(Venice Film Festival),Italy,Italian
54,Adventures of a Mathematician,"Set in the 1930s and 1940s, the film follows Stan Ulam, a Polish immigrant who moves to the United States. While coping with personal losses and the challenges of assimilation, Ulam becomes involved in the Manhattan Project and later in the development of the hydrogen bomb.[1]  
The narrative highlights both his scientific achievements and the moral dilemmas faced during the dawn of the nuclear age.[2]",Thor Klein,Thor Klein,"Nell Green, Evangelo Kioussis, Joanna Szymańska, Lena Vurma, Paul Zischler","Philippe Tłokiński, Esther Garrel, Sam Keeley, Joel Basman",Tudor Vladimir Panduru,"Agnieszka Liggett, Matthieu Taponier","January 5, 2020(PSIFF)","Germany, Poland, United Kingdom","English, Polish"
55,Adverse,"Adverse is a 2020 American crime thriller film written and directed by Brian Metcalf and starring Thomas Nicholas, Lou Diamond Phillips, Sean Astin, Kelly Arjen, Penelope Ann Miller, and Mickey Rourke. It premiered at the Fantasporto Film Festival, Portugal's largest film festival, on February 28, 2020.[2] The film earned Metcalf, a Platinum Remi Award, at the WorldFest-Houston International Film Festival.[3]",Brian Metcalf,Brian Metcalf,"Brian Metcalf, Thomas Nicholas, Kelly Arjen","Thomas Nicholas, Lou Diamond Phillips, Sean Astin, Andrew Keegan, Jake T. Austin, Kelly Arjen, Penelope Ann Miller, Mickey Rourke",Derrick Cohan,,"February 28, 2020(Fantasporto)",United States,English
