,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
10,5B,5B is a 2018 American documentary film directed by Dan Krauss and Paul Haggis about the efforts of a group of nurses and caregivers who opened the first AIDS ward in the world at San Francisco General Hospital and changed the way patients were cared for[1] in the 1980s AIDS epidemic.,"Dan Krauss, Paul Haggis",,"Rupert Maconick, Paul Haggis, Dan Krauss, Brendan Gaul, Guru Gowrappan, Hayley Pappas",,Drew Eckmann,Christopher Dillon,"November 4, 2018(SFFILM)",United States,English
11,6 Athiyayam,,"Cable Sankar, Shankar Thiyagarajan, Ajayan Bala, EAV Suresh, Lokesh Rajendran, Sridhar Venkatesan","Cable Sankar, Shankar Thiyagarajan, Ajayan Bala, EAV Suresh, Lokesh Rajendran, Sridhar Venkatesan","Shankar Thiyagarajan, [, 1, ]","Thaman Kumar, S. S. Stanley, Pop Suresh, Baby Sathanya, Pasanga Kishore, Madhu Sri, Sanjeev, Gayathri, Cable Sankar, Vishnu, Francis, Vinoth Kishan, Aravind Rajagopal, Charulatha Rangarajan",,,23 February 2018,India,Tamil
12,6 Balloons,"6 Balloons is a 2018 American drama film written and directed by Marja-Lewis Ryan and starring Abbi Jacobson, Dave Franco, Charlotte Carel, Madeline Carel, Dawan Owens, Jen Tullock, Maya Erskine, Tim Matheson and Jane Kaczmarek.",Marja-Lewis Ryan,Marja-Lewis Ryan,"Reid Carolin, Ross M. Dinerstein, Samantha Housman, Peter Kiernan, Channing Tatum","Abbi Jacobson, Dave Franco, Charlotte Carel, Madeline Carel, Dawan Owens, Jen Tullock, Maya Erskine, Tim Matheson, Jane Kaczmarek",Polly Morgan,Brian Scofield,"March 12, 2018(SXSW)",United States,English
13,6ne Maili,6ne Maili (transl. 6th Mile) is a 2018 Kannada-language thriller film directed by See Ni and starring Sanchari Vijay and RJ Nethra.,See Ni,See Ni,B.S. Shailesh Kumar,"Sanchari Vijay, RJ Nethra",Parmesh C.M.,Mahesh S.,6 July 2018,India,Kannada
14,7 Din Mohabbat In,"7 Din Mohabbat In (lit. 'Love in 7 Days') is a 2018 Pakistani romantic comedy film with fantasy elements. It was directed by Meenu–Farjad under Matteela Films. Written by Fasih Bari Khan, the film features Mahira Khan and Sheheryar Munawar in lead roles and also stars Amna Ilyas, Mira Sethi, Hina Dilpazeer and Javed Sheikh. It was released on Eid al-Fitr, 16 June 2018,[3] under the production banners of Dawn Films and IMGC Global Entertainment, and has been distributed by Distribution Club in Pakistan and by B4U Motion Pictures internationally.","Meenu Gaur, Farjad Nabi",Fasih Bari Khan,,"Mahira Khan, Sheheryar Munawar",Rana Kamran,Rizwan AQ,16 June 2018(Eid al-Fitr),Pakistan,Urdu
15,7 Splinters in Time,"7 Splinters in Time is a 2018 American independent science fiction film produced by Red Giant Media, written and directed by Gabriel Judet-Weinshel and filmed by cinematographer George Nicholas.[3] The film is described by reviewers as neo-noir, and had the working title Omphalos.[4][5]",Gabriel Judet-Weinshel,,"Edoardo Ballerini, Nitsa Benchetrit, Christian H. Cooper, Gill Holland, Gabriel Judet-Weinshel","Al Sapienza, Ashley Nicole Anderson, Austin Pendleton, Edoardo Ballerini, Emmanuelle Chriqui, Giuliana Carullo, Greg Bennick, Lynn Cohen, Sarah Sokolovic",,,"March 3, 2018(Cinequest)12",United States,English
16,8MM Bullet,8MM Bullet is a 2018 Kannada language crime thriller film directed by Harikrishna. It stars Vasishta N. Simha and Mayuri Kyatari. The film was a remake of Tamil film 8 Thottakkal (2017) which itself was loosely inspired by the 1949 Japanese movie Stray Dog.[1][2],Harikrishna,Sri Ganesh,Narayan Babu,"Vasishta N. Simha, Mayuri Kyatari",Antony R. Vincent,Suresh Armugam,16 November 2018,India,Kannada
17,10 Days Before the Wedding,10 Days Before the Wedding is a 2018 Yemeni romantic comedy film directed by Amr Gamal. It was Yemen's official submission for the 91st Academy Award for Best International Feature Film.[1],Amr Gamal,,"Mohsen Alkhalifi, Amr Gamal",,Aimen Almekhlafi,Aimen Almekhlafi,21 August 2018,Yemen,Arabic
18,10x10,"10x10 is a 2018 psychological thriller film directed by Suzi Ewing. The film stars Luke Evans and Kelly Reilly.[2][3][4] It was written and produced by Noel Clarke, through his production company Unstoppable Entertainment.",Suzi Ewing,Noel Clarke,"Noel Clarke, Jason Maza, Maggie Monteith","Kelly Reilly, Luke Evans, Olivia Chenery",Aaron Reid,Ian Davies,13 April 2018(United States),"United Kingdom, United States",English
19,12 Strong,"12 Strong (also known as 12 Strong: The Declassified True Story of the Horse Soldiers) is a 2018 American action-war film[4] directed by Nicolai Fuglsig and written by Ted Tally and Peter Craig. The film is based on Doug Stanton's non-fiction book Horse Soldiers, which tells the story of U.S. Army Special Forces sent to Afghanistan immediately after the September 11 attacks and up to the fall of Mazar-i-Sharif. The film stars Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Ben O'Toole, William Fichtner, and Rob Riggle.",Nicolai Fuglsig,"Ted Tally, Peter Craig","Jerry Bruckheimer, Molly Smith, Thad Luckinbill, Trent Luckinbill","Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill",Rasmus Videbæk,Lisa Lassek,"January 16, 2018(Jazz at Lincoln Center)",United States,English
20,14 Cameras,"14 Cameras is a 2018 American crime horror thriller film written by Victor Zarcoff, directed by Seth Fuller and Scott Hussion and starring Neville Archambault.  It is the sequel to the 2016 film 13 Cameras.[1]","Seth Fuller, Scott Hussion",Victor Zarcoff,"Seth Fuller, Scott Hussion",Neville Archambault,Seth Fuller,,"July 27, 2018",United States,English
21,The 15:17 to Paris,"The 15:17 to Paris is a 2018 American biographical drama film produced and directed by Clint Eastwood and written by Dorothy Blyskal, based on the 2016 autobiography The 15:17 to Paris: The True Story of a Terrorist, a Train, and Three American Heroes by Jeffrey E. Stern, Spencer Stone, Anthony Sadler, and Alek Skarlatos. The film stars Stone, Sadler, and Skarlatos as themselves and follows the trio through life leading up to and including their stopping of the 2015 Thalys train attack.  Judy Greer and Jenna Fischer also star.",Clint Eastwood,,"Clint Eastwood, Jessica Meier, Tim Moore, Kristina Rivera","Anthony Sadler, Alek Skarlatos, Spencer Stone, Judy Greer, Jenna Fischer, William Jennings, Bryce Gheisar, Paul-Mikel Williams, Thomas Lennon, P. J. Byrne, Tony Hale",Tom Stern,Blu Murray,"February 9, 2018(United States)",United States,English
22,18.05.2009,"18.05.2009 (read as 18 May 2009) is a 2018 Indian Tamil-language war drama film written and directed by K Ganeshan.The film is about the bloody end to the Sri Lankan Civil War .K Ganeshan states he believes he has the “blessings of the thousands of Tamils who were massacred by the Sri Lankan Army on May 18, 2009.” [1][2]
Dhaanya made her acting debut through this film which she depicted it as a difficult debut. She plays a journalist in the film.[3][4]",K. Ganeshan,K Ganeshan,,"Subash Chandra Bose, Dhaanya",,,18 May 2018,India,Tamil
23,22 Chaser,"Ben Dankert works as a Toronto tow truck driver picking up illegally parked cars. His family is in financial trouble with his wife using food banks and his son being bullied for being poor. Meanwhile, Ben's tow truck competitors make big money as ""chasers"", racing to accidents and exploiting the victims with tolls, and add-on services. His boss offers the prospect of a profitable Police contract but demands a large rental payment for the truck which Ben cannot afford. Then his friend persuades him to take a $5000 loan from a corrupt police officer with a sideline as a loan-shark. To pay back the loan Ben has to decide whether to abandon his moral code and become a ""chaser"", going head to head with unscrupulous rivals, some of whom are violent psychopaths.",Rafal Sokolowski,,"Don Carmody, Daniel Beckerman, Aeschylus Poulos","Brian J. Smith, Raoul Trujillo, Aaron Ashmore, Kaniehtiio Horn, John Kapelos",Cabot McNenly,"Kye Meechan, Jane McRae","April 12, 2018(Toronto)",Canada,English
24,22 July,"22 July is a 2018 English-language Norwegian-British crime drama film about the 2011 Norway attacks and their aftermath, based on the book One of Us: The Story of a Massacre in Norway — and Its Aftermath by Åsne Seierstad.[4][5][6] The film was written, directed and produced by British filmmaker Paul Greengrass and features a Norwegian cast and crew. It stars Anders Danielsen Lie, Jon Øigarden, Thorbjørn Harr, Jonas Strand Gravli, Ola G. Furuseth, Ulrikke Hansen Døvigen, Isak Bakli Aglen, Maria Bock, and Seda Witt. The film had its world premiere on September 5, 2018, in the main competition section of the 75th Venice International Film Festival.[7][8][9] and was released online and in select theaters on  October 10, 2018, by Netflix.[10][11]",Paul Greengrass,,"Scott Rudin, Eli Bush, Gregory Goodman, Paul Greengrass","Anders Danielsen Lie, Jon Øigarden",Pål Ulvik Rokseth,William Goldenberg,"September 5, 2018(Venice)","Norway, United Kingdom",English
25,22 Yards,"22 Yards is a 2018 Indian sports drama film starring Barun Sobti, Rajit Kapur, Panchi Bora and Rajesh Sharma.[3][4] The film has been directed by sports journalist turned filmmaker Mitali Ghoshal.[5] The film premiered at the 2018 Bay Area South Asian Film Festival and was released theatrically on 15 March 2019.[1][dead link] The trailer of the film was launched by Sourav Ganguly.[6]",Mitali Ghoshal,,"Mitali Ghoshal, Surya Sinha","Barun Sobti, Rajit Kapur, Panchi Bora, Rajesh Sharma","Ranjan Palit, & Amit Singh",Ajay Sharma,22 September 2018(BASAFF)1,India,Hindi
26,23:59: The Haunting Hour,"Tommy, who is currently serving National Service, maintains a blog, where he posts about horror stories which features a trifecta of  stories spanning over different critical eras in the history of Singapore's national service.",Gilbert Chan,"Gilbert Chan, Lim Tze Chien, Huang	Junxiang, Link Sng","Tan Fong Cheng, Gary Goh, Toong Soo Wei","Mark Lee, Noah Yap, Richie Koh, Fabian Loo, Natalia Ng",Jordan Chiam,"Natalie Soh, Gan Jia Yi, Pagit Yong",9 August 2018,Singapore,"English, Mandarin"
27,24 Kisses,"24 Kisses is a 2018 Indian Telugu language romantic comedy-drama film about modern age relationships and the transformation of the lead characters. It was directed by Ayodhyakumar Krishnamsetty, and starring Adith Arun, Hebah Patel, Rao Ramesh, Naresh and Ravi Varma. The film was written by Krishnamsetty along with Harishankar Tamminana. It was co-produced by Krishnamsetty and Giridhar Mamidipally.",Ayodhyakumar Krishnamsetty,"Ayodhyakumar Krishnamsetty, Harishankar Tamminana","Ayodhyakumar Krishnamsetty, Giridhar Mamidipally","Adith Arun, Hebah Patel, Rao Ramesh, Naresh, Ravi Varma",Uday Gurrala,Anil Aalayam,"23 November 2018(India,United States)",India,Telugu
28,25 km/h,25 km/h is a 2018 German road movie directed by Markus Goller.[2][3],Markus Goller,Oliver Ziegenbalg,"Oliver Ziegenbalg, Markus Goller","Bjarne Mädel, Lars Eidinger",Frank Griebe,,31 October 2018,Germany,German
29,27 Guns,The lead role of Yoweri Kaguta Museveni was given to Arnold Mubangizi as his debut role. Diana Museveni Kyaremera played her mother Janet Kataha Museni,"Natasha Museveni Karugire, Sharpe Ssewali",Natasha Museveni Karugire,"Esteri Akandwanaho, Edwin Karugire, Enock Ikiriza","Arnold Mubangizi, Diana Museveni Kamuntu, Sezi Jedediah Nuwewenka, Godwin Ahimbisibwe","Mustaque Abdallah, Royb Kilama Roy",,"September 8, 2018(Uganda)",Uganda,"English, Swahili"
30,27 Steps of May,The film had its world premiere at the 23rd Busan International Film Festival during the program A Window on Asian Cinema.,Ravi Bharwani,Rayya Makarim,"Ravi Bharwani, Rayya Makarim, Wilza Lubis","Raihaanun, Lukman Sardi, Ario Bayu",Ipung Rachmat Syaiful,"Wawan I. Wibowo, Lilik Subagyo",8 October 2018(Busan),Indonesia,Indonesian
31,30 Miles from Nowhere,"30 Miles from Nowhere is a 2018 American horror film directed by Caitlin Koller and starring Carrie Preston, Rob Benedict, Agung Bagus, Birgundi Baker, Jimmy Neal, and Andrew Rothenberg.[1][2][3][4][5]",Caitlin Koller,Seana Kofoed,"Kelly Demaret, Seana Kofoed, Lauren M.","Carrie Preston, Rob Benedict, Cathy Shim, Agung Bagus, Seana Kofoed, William Smillie, Postell Pringle, Brigundi Baker, Tim Decker, Reggie Baker, Marielle Scott, Jimmy Neal, Andrew Rothenberg, Rusty Schwimmer",Ben McBurnett,John Quinn,24 November 2018(Monster Fest),United States,English
32,60 Vayadu Maaniram,"60 Vayadu Maaniram (Tamil pronunciation: [arʊbad̪ɯ ʋajad̪ɯ maːn̪ɪram]; transl. 60 years, darkskinned) is a 2018 Indian Tamil-language drama film co-written and directed by Radha Mohan.[1] This movie is the remake of 2016 Kannada box office hit film Godhi Banna Sadharana Mykattu.[2] The film stars Vikram Prabhu, Prakash Raj, Samuthirakani and Indhuja Ravichandran in main lead roles.[3] It was produced by distributor Kalaipuli S. Thanu under his production company V Creations.[4]",Radha Mohan,"Viji, (dialogues)",Kalaipuli S. Thanu,"Vikram Prabhu, Prakash Raj, Samuthirakani, Indhuja Ravichandran",Manush Nandan,T. S. Jay,31 August 2018,India,Tamil
33,70 Big Ones,"Set in March 2015 in Bilbao,[1] the plot concerns a bank heist, involving two robbers (the violent Lola and the heroin-addict Jonan) and Raquel, a woman who was at the bank branch desperately asking for a €35,000 credit (70 binladens; that is, 70 €500 notes) to see her daughter again when the former two break in.[2][3]",Koldo Serra,"Javier Echániz, Juan Gil, Asier Guerricaechebarria","Nahikari Ipiña, Koldo Serra, Carolina Bang, Álex de la Iglesia, Elia Urquiza","Emma Suárez, Nathalie Poza, Hugo Silva",Unax Mendia,Josu Martínez,12 October 2018(Sitges),Spain,Spanish
34,73 Cows,"The film is told through interviews with Jay and Katja Wilde of Bradley Nook Farm, Ashbourne, Derbyshire, along with footage of them, their farm, and their cows. They introduce their connection to the farm: Jay inherited it from his father, but came to see cows as individuals with feelings and personalities. This made him uneasy about eating them and about raising them for food. Katja came to the UK on a two-month educational assignment, and lived and worked at Bradley Nook. Jay told her about his unease with cattle farming, and invited her to live with him. She then planned to change the farm so that cows were not slaughtered.",Alex Lockwood,,Alex Lockwood,Jay Wilde; Katja Wilde,Oliver Walton,,30 September 2018(Raindance),United Kingdom,
35,93: Battle for Ukraine,"Vedey originally came up with the idea for the documentary during the conflict when he and Guzhva worked as freelance journalists. Vedey subsequently served as a soldier in the 93rd Brigade and then came up with the idea for an entire series of films about the conflict as told by 93rd Brigade members.[1] The creative team spent three years editing the footage to create the documentary, with 50 different interviews with members and former members of the Ukrainian military.[3] The first part, telling the story of the early part of the war including the battle of Ilovaisk, was released in 2018.[2] The second part, telling the story of the battle for Donetsk airport was released in 2020.[4] A third instalment is due to be released in 2021. The film has been dubbed into languages including English, German, and French with support from the Ukrainian Cultural Foundation.[5]",Lydia Guzhva,Vadym Vadey,"Vadym Yaroslavovich Vadey, Lydia Guzhva",,"Dmytro Minyailo, Oleksandr Dzhantimirov, Oleksiy Yurchenko","Dmitry Kisov, Vadym Vadey, Anton Degoda, Dmitry Zhdanov, Lydia Guzhva, Mikhail Voznenko",2018(Part 1),Ukraine,Ukrainian
36,93Queen,"93Queen was filmed in the Hasidic community of Borough Park where EMS corps have long been the province of men. The neighborhood is home to the largest volunteer ambulance corps in the world known as Hatzolah, that organization has steadfastly banned women from its ranks.[4][5]",Paula Eiselt,,,,,,2018,United States,English
37,94 Terror,"Keza narrowly escapes death during the 1994 Rwandan genocide in which the rest of her family perishes. She and her mates Shema, a Hutu and Mutesi, a Tutsi get on a run to sneak out of Rwanda to Uganda across the Kagera River border.[3]",Richard Mulindwa,Richard Mulindwa,Richard Mulindwa,"Joan Agaba, Muyimbwa Phiona, Nalubega Rashida, Ninsiima Ronah, Shadi Smith, Mugerwa Rajj, Smith Mateega",Rwamusigazi Kyakunzire,Richard Mulindwa,December 2018,"Uganda, ,, Rwanda","English, Kinyarwanda"
38,'96,"'96 is a 2018 Indian Tamil-language romantic drama film[4] written and directed by C. Prem Kumar in his directorial debut. Produced by S. Nanthagopal of Madras Enterprises, the film was distributed by Lalit Kumar under his banner, Seven Screen Studio. Vijay Sethupathi and Trisha Krishnan are in the prominent roles as Ram and Jaanu, while newcomers Gouri G. Kishan and Aadithya Bhaskar played the younger versions. The film also stars an ensemble cast including Bagavathi Perumal, Devadarshini, Varsha Bollamma, Aadukalam Murugadoss, and others. The film revolves around the reunion of former students from the batch of 1996, twenty-two years after their graduation. The reunion also serves as an opportunity for two former lovers, Ram and Jaanu, to resolve issues surrounding their separation.[5]",C. Prem Kumar,C. Prem Kumar,S. Nanthagopal,"Vijay Sethupathi, Trisha Krishnan, Gouri G. Kishan, Aadithya Bhaskar","Mahendiran Jayaraju, N. Shanmuga Sundaram",R. Govindaraj,4 October 2018,India,Tamil
39,100 Things,This article related to a German film of the 2010s is a stub. You can help Wikipedia by adding missing information.,Florian David Fitz,Florian David Fitz,"Dan Maag, Matthias Schweighöfer, Marco Beckmann","Florian David Fitz, Matthias Schweighöfer",Bernhard Jasper,Denis Bachter,6 December 2018,Germany,German
40,102 Not Out,102 Not Out is a 2018 Indian Hindi-language comedy drama film directed by Umesh Shukla and written by Saumya Joshi. The film stars Amitabh Bachchan and Rishi Kapoor in lead roles portraying father-son duo for the first time. It also stars Jimit Trivedi in a supporting role.,"Umesh Shukla, [, 1, ]",Saumya Joshi,SPE Films India,"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi",Laxman Utekar,Bodhaditya Banerjee,4 May 2018(India),India,Hindi
41,211,"211 (released in some territories as Code 211 or The Bank Heist) is a 2018 American crime action film directed by York Shackleton and written by John Rebus, based on a screenplay by Shackleton. The film stars Nicolas Cage, Dwayne Cameron, Alexandra Dinu, Michael Rainey Jr., Sophie Skelton and Ori Pfeffer. Very loosely based on the 1997 North Hollywood shootout, the plot follows a policeman and a teenager who are locked in a violent shootout with heavily armed bank robbers.",York Shackleton,,"Isaac Florentine, Jeffrey Greenstein, Avi Lerner, Les Weldon, Jonathan Yunger","Nicolas Cage, Dwayne Cameron, Alexandra Dinu, Michael Rainey Jr., Sophie Skelton, Ori Pfeffer",Alexander Krumov,Ivan Todorov,"June 8, 2018",United States,English
42,212 Warrior,A teaser for the film was released on 21 December 2017 throughout Indonesian theaters. It was uploaded online on a week later.[7] The first trailer was released on 12 May 2018 and debuted on the LINE communications app.[8] The film was released on 30 August 2018.,Angga Dwimas Sasongko,"Seno Gumira Ajidarma, Tumpal Tampubolon, Sheila Timothy",,"Vino G. Bastian, Sherina Munaf, Marsha Timothy, Fariz Alfarizi, Happy Salma, Dwi Sasono, Yayan Ruhian, Cecep Arif Rahman",Rahmat Syaiful,Teguh Raharjo,30 August 2018,Indonesia,Indonesian
43,212: The Power of Love,Risan Hadi Saputra,Jastis Arimba,"Jastis Arimba, Ali Eounia","Helvy Tiana Rosa, Jastis Arimba, Oki Setiana Dewi, Erick Yusuf, Imam T Saptono, Asma Nadia","Fauzi Baadila, Adhin Abdul Hakim, Hamas Syahid, Asma Nadia, Meyda Sefira, Cholidi Asadil Alam, Erick Yusuf",,"Weldy Handoko, Risan Hadi Saputra",9 May 2018,Indonesia,Indonesia
44,303,"303 premiered on February 16, 2018, at the Berlin International Film Festival, where it opened the Generation section. It was released in Germany on July 19, 2018, and in Austria the following day.[1][2][3] The film made its first broadcast on Bayerischer Rundfunk on August 19, 2021, as part of the night program, although it was shown in a version shortened by about 20 minutes. It received a positive reception from both audiences and critics.[4][5]",Hans Weingartner,,,"Mala Emde, Anton Spieker, [, de, ]",,,16 February 2018(BIFF),Germany,German
45,303 Squadron,"In 1940, during the Second World War, following the Invasion of Poland, and the Fall of France, the pilots of the Polish Air Force escape to the United Kingdom, where they join Royal Air Force. They become members of newly formed No. 303 Squadron, the Polish squadron, which participates in the Battle of Britain against the Nazi Germany Luftwaffe. Initially, the British officers are reluctant towards Polish pilots.  However, they gradually win them over with their successes in the fight. Among the Polish pilots are the squadron commander Witold Urbanowicz, and pilot Jan Zumbach.[1][2]",Denis Delić,,Jacek Samojłowicz,"Maciej Zakościelny, Piotr Adamczyk, Cara Theobold, Antoni Królikowski, Andrew Woodall",Waldemar Szmidt,"Peter Devaney Flanagan, Marcin Bastkowski","August 31, 2018","Poland, United Kingdom","English, Polish, German, French"
46,306 Hollywood,This article about a 2010s biographical documentary film is a stub. You can help Wikipedia by adding missing information.,Jonathan and Elan Bogarín,,,,,,"September 28, 2018(New York City)",United States,English
47,1921,"1921 is a 2018 Indian horror film, produced and directed by Vikram Bhatt, under his LoneRanger Productions banner. It stars Zareen Khan and Karan Kundrra in lead roles and was released on 12 January 2018. It is the fourth installment of the 1920 film series. The film was declared an average grosser at box office.[3] The film follows a musician seeking the help of a paranormal investigator to unearth the secrets the mansion he is staying at, after an onslaught of increasingly deranged supernatural events has pushed him to his limits.",Vikram Bhatt,Vikram Bhatt,Vikram Bhatt,"Zareen Khan, Karan Kundra, Vikram Bhatt",Prakash Kutty,Kuldip Mehan,12 January 2018,India,Hindi
48,1968,"April 4, 1968. The Panathenaic Stadium (then Olympic Stadium of Athens) is abuzz, with thousands of people gathered and millions listening through their radios. The FIBA European Cup Winners' Cup final between AEK B.C. – Slavia VŠ Praha has just begun and is attended by 80,000 spectators, the Guinness World Record attendance for a basketball event.",Tassos Boulmetis,,Makis Angelopoulos,"Ieroklis Michailidis, Antonis Kafetzopoulos, Giorgos Mitsikostas, Stelios Mainas, Manolis Mavromatakis, Vasiliki Troufakou, Giannis Vouros, Christos Dimas, Orfeas Avgoustidis, Themis Panou, Taxiarchis Chanos, Alexandros Zouridakis, Antonis Antoniou, Errikos Litsis, Thodoris Katsafados, Giorgos Souxes, Alexis Agrafiadis, Alexandros Amerikanos, Alexandros Moukanos, Maria Antoulinaki, Dimitris Mavropoulos, Maria Antoulinaki",,Lampis Charalambidis,25 January 2018(Athens),Greece,Greek
