,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
29,The 12th Man,"Like the book, The 12th Man emphasizes the efforts of those who helped Baalsrud escape, which is in line with Baalsrud's own statements about the local population's courage. The plot also details the pursuit of Baalsrud from the Sicherheitsdienst (SD) leadership's perspective, depicting the escape as a cat-and-mouse game between Sturmbannführer Kurt Stage and Baalsrud.",Harald Zwart,"Petter Skavlan, [, no, ], (credited as Alex Boe), [, 1, ]","Veslemøy Ruud Zwart, Espen Horn, Aage Aaberge","Thomas Gullestad, Jonathan Rhys Meyers",Geir Hartly Andreassen,Jens Christian Fodstad,25 December 2017,Norway,"Norwegian, German, English"
30,18 Hours,"18 Hours is a 2017 Kenyan drama film written and directed by Njue Kevin on his directorial debut.[1] The cast includes Nick Ndeda, Sue Wanjiru, Brian Ogola, Isaya Evans and  Shirleen Wangari.[2]",Njue Kevin,Njue Kevin,"Phoebe Ruguru, Bill Jones Afwani","Nick Ndeda, Brian Ogola, Sue Wanjiru",,Mark Maina,10 November 2017,Kenya,"English, Sheng, Swahili"
31,20 Weeks,20 Weeks is a 2017 American romantic drama film written and directed by Leena Pendharkar and starring Amir Arison and Anna Margaret Hollyman.,Leena Pendharkar,Leena Pendharkar,"Jane Kelly Kosek, Leena Pendharkar","Amir Arison, Anna Margaret Hollyman",Daud Sani,David Hopper,"June 19, 2017(LA Film Festival)",United States,English
32,21 Months of Hell,21 Months of Hell is a 2017 documentary film about the torture methods performed by the police in India during The Emergency. The film is directed by Yadu Vijayakrishnan and produced by Arise Media Network.,Yadu Vijayakrishnan,,Arise Media Network,,Yadu Vijayakrishnan,Anoop CG,20 November 2017,India,Malayalam
33,24 Frames,24 Frames (Persian: ۲۴ فریم) is a 2017 Iranian experimental film directed by Abbas Kiarostami. It was his final feature film before his death in July 2016. It was posthumously shown in the 70th Anniversary Events section at the 2017 Cannes Film Festival.[1][2],Abbas Kiarostami,Abbas Kiarostami,"Charles Gillibert, Ahmad Kiarostami",,,,23 May 2017(Cannes),"Iran, France",Persian
34,24 Hours to Live,"24 Hours to Live is a 2017 science fiction action thriller film directed by Brian Smrz and starring Ethan Hawke, Xu Qing, Paul Anderson, Liam Cunningham, and Rutger Hauer. It follows a career assassin who goes on a rampage to exact revenge and find redemption after he is mortally wounded and brought back to life for 24 hours using a newly developed technology.[3] The film premiered at the Austin Film Festival on October 26, 2017,[4] and was released on VOD and in select theaters on December 1, 2017.",Brian Smrz,"Zach Dean, Jim McClain, Ron Mita","Mark Gao, Basil Iwanyk, Gregory Ouanhon","Ethan Hawke, Xu Qing, Paul Anderson, Liam Cunningham, Rutger Hauer",Ben Nott,Elliot Greenberg,"October 26, 2017(Austin Film Festival)","South Africa, United States, China",English
35,29+1,"29+1 is a 2017 Hong Kong drama film directed by Kearen Pang. It is an adaptation of Pang's own one-woman show, 29+1.[3] The film stars Chrissie Chau and Joyce Cheng and follows two women who share the same birthday and are at life's crossroads as they are about to turn 30.[4]",Kearen Pang,,"Allen Chan, Albert Lee, Cora Yim","Chrissie Chau, Joyce Cheng",Jason Kwan,"Lee Him-ming, Kearen Pang",7 March 2017(Osaka Asian Film Festival),Hong Kong,Cantonese
36,30-Love,"30-Love is a 2017 American comedy-drama film directed by Robert Cannon and starring Robert Cannon, Brenda Vaccaro, and Justin Lee.[2]",Robert Cannon,"Robert Cannon, Ira Heffler","Robert Cannon, Ira Heffler, Lisa Rau","Robert Cannon, Brenda Vaccaro, Justin Lee",,,"September 28, 2017",United States,English
37,3/4,3/4 is a 2017 Bulgarian drama film directed by Ilian Metev.[1] It was screened in the Discovery section at the 2017 Toronto International Film Festival.[2],Ilian Metev,Ilian Metev,,Mila Mihova,,,6 August 2017(Locarno),Bulgaria,Bulgarian
38,The 34th,"The 34th: The Story of Marriage Equality in Ireland is an Irish documentary film by Linda Cullen and Vanessa Gildea. The film tells the story of the people who formed Marriage Equality in Ireland, and explores the events that led to the Thirty-fourth Amendment of the Constitution, which amended the Constitution of Ireland by referendum to permit marriage to be contracted by two persons without distinction as to their sex.[1][2]","Linda Cullen, Vanessa Gildea",,"Linda Cullen, Vanessa Gildea",,,Cúán Mac Conghail,August 2017(GAZE Festival),Ireland,
39,40 Years in the Making: The Magic Music Movie,"40 Years in the Making: The Magic Music Movie is a 2017 American documentary film written and directed by comedy writer Lee Aronsohn about Magic Music, a folk music band that broke up in 1975 before ever releasing a record.[1] They were big in Boulder, Colorado, where Aronsohn attended University of Colorado Boulder. After Aronsohn's retirement from The Big Bang Theory, Aronsohn decided to make the documentary about the band and try to get them to reunite to play one more show.[2]",Lee Aronsohn,Lee Aronsohn,Fleur Saville,,Dean Cornish,Kyle Vorbach,2017,United States,English
40,47 Meters Down,"47 Meters Down is a 2017 survival horror film directed by Johannes Roberts, written by Roberts and Ernest Riera, and starring Claire Holt and Mandy Moore.[4] The plot follows two sisters who are invited to cage dive while on holiday in Mexico. When the winch system holding the cage breaks and the cage plummets to the ocean floor with the two girls trapped inside, they must find a way to escape, with their air supplies running low and great white sharks stalking nearby.",Johannes Roberts,"Johannes Roberts, Ernest Riera","James Harris, Mark Lane","Claire Holt, Mandy Moore",Mark Silk,Martin Brinkler,12 June 2017(Regency Village Theatre),"United Kingdom, United States",English
41,"52Hz, I Love You","52 Hz, I Love You (Chinese: 52赫茲我愛你) is a 2017 Taiwanese musical drama film directed by Wei Te-sheng. It was released on 26 January 2017.[3]",Wei Te-sheng,"Wei Te-sheng, Yu Wen-hsing, Soda Voyu","Bob M. S. Wong, Lin Tian-guei, Lin Yu-je, Wei Te-sheng","Lin Zhong-yu, Zhuang Juan-ying, Suming, Mify Chen",Chin Ting-chang,Milk Su,26 January 2017,Taiwan,Mandarin
42,55 Steps,"55 Steps is a 2017 German-Belgian drama film directed by Bille August and starring Helena Bonham Carter, Hilary Swank, and Jeffrey Tambor. The film is based on the true story of Eleanor Riese.[4]",Bille August,Mark Bruce Rosin,"Sara Risher, Mark Bruce Rosin","Helena Bonham Carter, Hilary Swank, Jeffrey Tambor",Filip Zumbrunn,Hansjörg Weißbrich,7 September 2017(TIFF),"Germany, Belgium",English
43,The 60 Yard Line,The 60 Yard Line is a 2017 American comedy film directed by Leif Gantvoort and produced by Ryan Churchill.,Leif Gantvoort,"Ryan Churchill, Nick Greco","Leif Gantvoort, Nick Greco, Ryan Churchill, Alex McCullough","Ryan Churchill, Kimberley Crossman, Nic Greco, Jacquelyn Zook, Chelsey Crisp, Leif Gantvoort, Mindy Sterling, John D'Aquino, Randall Park",Cameron Schmucker,,"April 2, 2017(United States)",,English
44,61 Garpar Lane,"61 Garpar Lane is a Bengali social drama film directed by Rajesh Dutta, Ipsita Roy Sarkar and produced by Abhishek De Sarkar.[1][2][3] This film was released on 17 February 2017 under the banner of Actor Studio.[4][5] Nachiketa Chakraborty is the music director of the movie.[6][3][7][unreliable source?]","Rajesh Dutta, Ipsita Roy Sarkar",,Abhishek De Sarkar,"Soumitra Chatterjee, Priyanshu Chatterjee",,,17 February 2017,India,Bengali
45,68 Kill,"68 Kill is a 2017 American black comedy crime thriller film directed and written by Trent Haaga and starring Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson and Michael Beasley. It is based on the Bryan Smith novel of the same name. The film was released on August 4, 2017, by IFC Midnight. It made an estimated $96,343 in total domestic video sales.[2]",Trent Haaga,,"David Lawson Jr., Bob Portal, Travis Stevens","Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, Michael Beasley",Needham B. Smith,Valerie Krulfeifer,"March 11, 2017(SXSW)",United States,English
46,77 Heartbreaks,"77 Heartbreaks is a 2017 Hong Kong romantic drama film directed by Herman Yau. It was released in Hong Kong on 15 June 2017.[2] The sequel 77 Heartwarmings, starring Charlene Choi, Pakho Chau and Mario Maurer was released in Hong Kong on 14 May 2021.",Herman Yau,Erica Li,,,,,15 June 2017,Hong Kong,"Cantonese, [, 2, ]"
47,78/52,"The film examines the shower scene in the 1960 horror film Psycho. Marion, played by Janet Leigh in her Academy Award-nominated role, takes a shower at the Bates Motel and is stabbed to death. The scene contains 78 camera setups and 52 cuts, which is why the documentary is titled 78/52.",Alexandre O. Philippe,Alexandre O. Philippe,Kerry Deignan Roy,,Robert Muratore,Chad Herschberger,"October 13, 20171",United States,English
48,8½ Intercuts: Life and Films of K.G. George,"8½ Intercuts: Life and Films of K.G. George is an Indian documentary film produced in Malayalam about K.G. George, one of the leading directors of Indian cinema.[1][2] The film was screened in 2017th International Film Festival of Goa and selected for non-feature section of Indian panorama. The film was directed by Lijin Jose and produced by Shibu G. Suseelan.[3][4]",Lijin Jose,,Shibu G. Suseelan,,,,2017,India,Malayalam
49,100 Tula para kay Stella,"100 Tula Para Kay Stella (lit. '100 Poems for Stella') is a 2017 Philippine romantic film written and directed by Jason Paul Laxamana. It stars Bela Padilla and JC Santos. The film revolves around a college student who tries to create 100 poems which are dedicated to Stella, a woman who aspires to become a well-known rock star.",Jason Paul Laxamana,Jason Paul Laxamana,"Vic R. Del Rosario Jr., Vincent G. Del Rosario III, Veronique Del Rosario-Corpus","Bela Padilla, JC Santos",Rommel Sales,Mai Calapardo,"August 16, 2017",Philippines,Filipino
50,The 100th Love with You,"The film begins with a young Aoi Hinata sitting on a bench, upset about the broken record in her hands. A young Riku suddenly appears and claims he can fix the record. Immediately it's the present day and university student Aoi Hinata (Miwa) drops the book she's holding and jerks awake, disrupting the class. This is the summer before Aoi's study abroad to London. Apart from school, Aoi plays in a band with her friends, Naoya, Tetta and her childhood friend Riku (Kentaro Sakaguchi). Rina isn't in the band, but attends practices. Aoi and Riku appear to harbor some affection towards each other. Practice goes smoothly after that and Riku quickly announces that he has other things to do, to the confusion and bewilderment of his band members. The crew marvels if he's a perfect man and ask Aoi if Riku has any weaknesses. She can't think of a single one.",Sho Tsukikawa,Satomi Oshima,,"Miwa, Kentaro Sakaguchi",,,"February 4, 2017",Japan,Japanese
51,250 Steps,"On 30 October 2019, the film was released on its YouTube channel.","Vladimir Pajić, Vladimir Kurćubić",Vladimir Pajić,Radovan Maksimović,,Pavle Ilić,Vladimir Kurćubić,25 September 2017(Serbia),Serbia,"Serbian, Croatian"
52,465,"465 also known as Naalu Aaru Anju (transl. Four hundred and sixty five) is a 2017 Indian Tamil-language horror film written and directed by civil engineer turned filmmaker Sai Sathyam in his directorial debut and produced by S.L. Prabhu.[1][2] The film stars Karthik Raj, Niranjana Anoop and Manobala in the lead roles.[3] The film was released on 24 March 2017. This film is loosely based on 1966 Indian Tamil-language psychological thriller film Yaar Nee?[4]",Sai Sathyam,Sai Sathyam,S.L. Prabhu,"Karthik Raj, Niranjana Anoop, Manobala",Philip R. Sunder,,24 March 2017,India,Tamil
53,500 Years,"500 Years: Life in Resistance is a 2017 American documentary film directed by Pamela Yates about the trial of Guatemalan dictator Efraín Ríos Montt for genocide against the country's indigenous Maya population in the 1980s and the popular uprising that followed the trial, which led to the toppling of President Otto Perez Molina.[1][2][3]",Pamela Yates,,"Paco de Onis, with Beatriz Gallardo Shaul and Raul Estuardo Socon Canel",,Melle van Essen and Rene Soza,Peter Kinoy,"January 24, 2017",United States,Spanish
54,1745,"The film revolves around two sisters: Emma Atkin and Rebecca Atkin torn from their home in Nigeria for slavery, but start a perilous journey from foreign hands through the Scottish Highlands in search of freedom.[3][4]",Gordon Napier,Morayo Akandé,"Gordon Napier, John McKay","Moyo Akandé, Morayo Akandé",Julian Schwanitz,Florian Nonnenmacher,September 2017(Edinburgh),United Kingdom,English
55,1922,"1922 is a 2017 American horror film written and directed by Zak Hilditch, based on Stephen King's 2010 novella of the same name. The story follows a man (Thomas Jane) who, conspiring with his son (Dylan Schmid), murders his wife (Molly Parker), which plagues them both with guilt. Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, and Neal McDonough also star.",Zak Hilditch,,Ross M. Dinerstein,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",Ben Richardson,Merlin Eden,"September 23, 2017(Fantastic Fest)",United States,English
56,1945,"1945 is a 2017 Hungarian drama film directed by Ferenc Török[2] and co-written by Török and Gábor T. Szántó. It concerns two Jewish survivors of the Holocaust who arrive in a Hungarian village in August 1945, and the paranoid reactions of the villagers, some of whom fear that these and other Jews are coming to reclaim Jewish property.[3]",Ferenc Török,"Gábor T. Szántó, Ferenc Török","Iván Angelusz, Péter Reich, Ferenc Török","Péter Rudolf, Tamás Szabó Kimmel, Dóra Sztarenki, Bence Tasnádi",Elemér Ragályi,Béla Barsi,12 February 2017(Berlin),Hungary,Hungarian
57,1971: Beyond Borders,"1971: Beyond Borders is a 2017 Indian Malayalam-language war film written and directed by Major Ravi. It is the fourth and final installment in the Major Mahadevan film series, with Mohanlal in a double role as reprising his as Major / Colonel Mahadevan and a new character as Major / Brigadier Sahadevan. It also features Arunoday Singh and Allu Sirish.
The Sequel in this present story in the is 2017 and The Prequel in this past story in the year is 1971 in this series. The film, set in two time periods, is based on the Indo-Pakistani War of 1971 and act as both prequel and follow-up to the series. Mohanlal's and Sirish's characters were modeled on Hoshiar Singh Dahiya and Arun Khetarpal, both of whom were awarded the Param Vir Chakra for their roles in the 1971 Indo-Pakistani War.[2]",Major Ravi,"Major Ravi, Shiju Nambyath, (Dialogues)",Andrew Johnson,"Mohanlal, Arunoday Singh, Allu Sirish",Sujith Vaassudev,Samjith Mohammed,7 April 2017(India),India,Malayalam
