,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
10,3 Heroines,"Indonesia in 1988. The sports world is preparing to participate in the 1988 Summer Olympics in Seoul, South Korea. Archery is at a critical juncture, requiring a coach who can quickly prepare a women's archery team. The only reliable coach is Donald Pandiangan (Reza Rahardian), known as the ""Indonesian Robin Hood.""",Iman Brotoseno,"Swastika Nohara, Iman Brotoseno",Raam Punjabi,"Reza Rahadian, Bunga Citra Lestari, Chelsea Islan, Tara Basro, Donny Damara, Mario Irwinsyah, Indra Birowo, Detri Warmanto",,,"August 4, 2016",Indonesia,Indonesia
11,The 3 L'il Pigs 2,"Rémi (Paul Doucet) is dealing with both the fallout of cheating on his wife Dominique (Sophie Prégent) with another woman on a business trip, and his unresolved bisexuality after experiencing a strong attraction to a young man who helps him after a fainting spell in the street. Christian (Guillaume Lemay-Thivierge), whose girlfriend Hélène has left him, moves into Rémi and Dominique's house after Rémy leaves, but begins falling in love with Dominique. Mathieu (Robitaille) falls off the roof of his house and is recuperating in a body cast, but finds himself more sexually excited by the nurse who comes in to take care of him than he is by his wife Geneviève (Isabel Richer).",Jean-François Pouliot,"Claude Lalonde, Pierre Lamothe","Pierre Gendron, Christian Larouche","Patrice Robitaille, Guillaume Lemay-Thivierge, Paul Doucet",Bernard Couture,Jean-François Bergeron,"July 1, 2016",Canada,French
12,4.1 Miles,"The film premiered on NYTimes.com in September 2016 as part of Op-Docs, the newspaper's editorial department's forum for short, opinionated documentaries.[3]",Daphne Matziaraki,,"Kathleen Lingo, (executive producer), Orlando Bagwell, (consulting producer)",,Daphne Matziaraki,Daphne Matziaraki,"September 1, 2016(Telluride Film Festival)",Greece,Greek
13,The 4th Company,"The 4th Company (Spanish: La 4ª Compañía) is a 2016 Mexican-Spanish sports crime drama film directed by Mitzi Vanessa Arreola and Amir Galván Cervera.[1] The film was named on the shortlist for Mexico's entry for the Academy Award for Best Foreign Language Film at the 89th Academy Awards but it was not selected.[2] The 4th Company won the Ariel Award for Best Picture at the 59th Ariel Awards. Netflix distributed the film from 6 April 2018, but it subsequently departed the service in April 2021.[3]","Mitzi Vanessa Arreola, Amir Galván Cervera",Mitzi Vanessa Arreola,,Adrian Ladron,,,6 March 2016(GIFF),Mexico,Spanish
14,The 5th Wave,"The 5th Wave is a 2016 American science fiction action film directed by J Blakeson from a screenplay by Susannah Grant, Akiva Goldsman and Jeff Pinkner, based on Rick Yancey's 2013 novel of the same name. The film stars Chloë Grace Moretz, Nick Robinson, Ron Livingston, Maggie Siff, Alex Roe, Maria Bello, Maika Monroe, and Liev Schreiber.",J Blakeson,,"Tobey Maguire, Graham King, Matthew Plouffe, Lynn Harris","Chloë Grace Moretz, Nick Robinson, Ron Livingston, Maggie Siff, Alex Roe, Maria Bello, Maika Monroe, Liev Schreiber",Enrique Chediak,Paul Rubell,"January 22, 2016",United States,English
15,6.9 on the Richter Scale,"At the 2018 Gopo Awards, the film was nominated for eight awards, winning five of them.[2]",Nae Caranfil,Nae Caranfil,"Gábor Garami, Hristo Hristov, Cristian Mungiu","Laurențiu Bănescu, Maria Obretin, Teodor Corban, Simona Arsu",,,"May 27, 2016(Romania)",Romania,Romanian
16,7 años,"Andrés Calderón
Cristian Conti
Federico Jusid
Juan Mayne",Roger Gual,"José Cabeza, Julia Fontana","Guadalupe Balaguer Trelles, Andrés Calderón
Cristian Conti
Federico Jusid
Juan Mayne, Elizabeth Polk","Juana Acosta, Àlex Brendemühl",Arnau Valls Colomer,Alberto de Toro,28 October 2016,Spain,Spanish
17,7 Hours to Go,"7 Hours to Go is a 2016 Indian thriller film written and directed by Saurabh Varma.[1][2] Produced by Krian Pictures, the film stars Shiv Panditt, Sandeepa Dhar, Nataša Stanković and Varun Badola[3] Inspired by true events, the film revolves around a hostage crisis and what happens within 7 hours after that incident.",Saurabh Varma,Saurabh Varma,Nitika Thakur,"Shiv Panditt, Sandeepa Dhar, Varun Badola, Nataša Stanković",Milind Jog,Nitin Pathak,24 June 2016,India,Hindi
18,7 Minutes,"The film premiered at the 11th Rome Film Festival and was later screened at the Tokyo International Film Festival. Inspired by a true story, it is loosely based on a drama play of the same name by Stefano Massini.[1][2]",Michele Placido,,Federica Vincenti,"Ambra Angiolini, Cristiana Capotondi, Fiorella Mannoia, Maria Nazionale, Violante Placido, Clémence Poésy, Sabine Timoteo, Ottavia Piccolo, Anne Consigny, Michele Placido",Arnaldo Catinari,,"October 21, 2016(Roma Film Festival)",,Italian
19,7:19,"7:19 is a 2016 Mexican drama film directed by Jorge Michel Grau.[2] It was named on the shortlist for Mexico's entry for the Academy Award for Best Foreign Language Film at the 89th Academy Awards, but was not selected.[3]",Jorge Michel Grau,Jorge Michel Grau,,Demián Bichir,,,23 September 2016,Mexico,Spanish
20,8 Best Dates,"Having learned from the doctors that he has only a few weeks to live, Nikita makes the courageous decision to transfer his family and work to decent hands. An employee of the Ministry of Emergency Situations named Ilya becomes a candidate for a replacement, a decent man all around. Nikita makes every effort to “introduce” Ilya as soon as possible into his life and unexpectedly succeeds in this. Soon, Ilya becomes an excellent father for Nikita's children, an indispensable employee at the clinic and, most importantly, a very appealing man for Masha, Nikita's beautiful wife. However, the real test of this is only beginning, because Nikita soon realizes that the doctors were wrong, and in fact he will not die at all in the near future. Now he has to win back his place in the family and at work, and it turns out to be much more difficult than it seems at first glance.",Maryus Vaysberg,"Yuri Stukalin, Andrey Yakovlev, Mikhail Savin","Ekaterina Gordetskaya, Andrey Radko","Vera Brezhneva, Volodymyr Zelenskyy, Vladimir Epifantsev, Yevhen Koshovyi",Bruce Allan Green,,"March 3, 2016(Russia)","Russia, Ukraine",Russian
21,9,,"Claude Brie, Érik Canuel, Jean-Philippe Duval, Marc Labrèche, Micheline Lanctôt, Luc Picard, Stéphane E. Roy, Éric Tessier, Ricardo Trogi",Stéphane E. Roy,"Luc Châtelain, Stéphanie Pages",,"Vincent Biron, Yves Bélanger, Bernard Couture, François Dutil, Alexandre Lampron, Ronald Plante, Claudine Sauvé, Nicolas Venne","Carina Baccanale, Alain Baril, Aube Foglia, Gaétan Huot, Matthieu Paradis, Carmen Mélanie Pépin, Myriam Poirier, Yvann Thibaudeau","September 6, 2016",Canada,French
22,9 Rides,"9 Rides is a 2016 American film written and directed by Matthew A. Cherry and starring Dorian Missick, Omar Dorsey and Robinne Lee.",Matthew A. Cherry,Matthew A. Cherry,"Jerome Caldwell, Matthew Keene Smith, Datari Turner","Dorian Missick, Omar Dorsey, Robinne Lee, Sujata Day, Skye P. Marshall, Thomas Jones, Xosha Roquemore, Tracie Thomas, Nadine Ellis, Aasha Davis, Amin Joseph",Richard Vialet,Matthew A. Cherry,"March 11, 2016(South by Southwest)",United States,English
23,The 9th Life of Louis Drax,"The 9th Life of Louis Drax is a 2016 supernatural thriller film directed by Alexandre Aja and starring Jamie Dornan, Sarah Gadon, Aiden Longworth, Oliver Platt, Molly Parker, Julian Wadham, Jane McGregor, Barbara Hershey, and Aaron Paul. It was written by Max Minghella based on Liz Jensen's best-selling 2004 novel of the same title.",Alexandre Aja,,"Alexandre Aja, Timothy Bricknell, Max Minghella, Shawn Williamson","Jamie Dornan, Sarah Gadon, Aaron Paul, Aiden Longworth, Oliver Platt, Molly Parker, Julian Wadham, Jane McGregor, Barbara Hershey",Maxime Alexandre,Baxter,"September 2, 2016(United States)","Canada, United States, United Kingdom",English
24,10 Cloverfield Lane,"10 Cloverfield Lane is a 2016 American science fiction horror thriller[6] film directed by Dan Trachtenberg in his directorial debut, produced by J. J. Abrams and Lindsey Weber and written by Josh Campbell, Matthew Stuecken, and Damien Chazelle. The second film in the Cloverfield franchise, it stars Mary Elizabeth Winstead, John Goodman, and John Gallagher Jr. The story follows a young woman who, after a car crash, wakes up in an underground bunker with two men who insist that an event has left the surface of Earth uninhabitable.",Dan Trachtenberg,,"J. J. Abrams, Lindsey Weber","John Goodman, Mary Elizabeth Winstead, John Gallagher Jr.",Jeff Cutter,Stefan Grube,"March 8, 2016(New York City)",United States,English
25,10 Kalpanakal,"10 Kalpanakal (transl. Ten Commandments) is a 2016 Indian Malayalam-language crime thriller film directed by Don Max. It is written by Shins K. Jose and Sangeeth Jain, and based on a story by Max. It stars Meera Jasmine and Prashant Narayanan in lead roles, with Anoop Menon, Shebin Benson, Kaniha, Joju George, and Thampi Antony in supporting roles. 10 Kalpanakal received positive reviews with critics praising the screenplay, performances, and direction.[citation needed]",Don Max,,"Jiji Anchani, Manu Padmanabhan Nair, Biju Thoranathel, Jacob Koeypurath, Antony P. Thekkek, Mesfin Zacharis","Meera Jasmine, Prashant Narayanan, Shebin Benson, Anoop Menon",Kishore Mani,,25 November 2016,India,Malayalam
26,"10,000 Miles","10,000 Miles is a 2016 Taiwanese sports drama film directed by Simon Hung and starring Sean Huang, Megan Lai, and Darren Wang.[3] The film is executive produced by Jay Chou and ultramarathon runner Kevin Lin.[4]",Simon Hung,"Simon Hung, Ruby Chen",Peter Huang,"Sean Huang, Megan Lai, Darren Wang",Hiroyuki Haga,Chris A. Peterson,"December 16, 2016",Taiwan,"Mandarin, English, Taiwanese"
27,11:55,"11:55 is a 2016 drama film about a US Marine returning to his hometown, where he struggles to escape his violent past. The film was written by Ari Issler, Ben Snyder, and Victor Almanzar. It was directed by Issler and Snyder, and stars Almanzar, Shirley Rumierk, Goya Robles, Elizabeth Rodriguez, David Zayas, Mike Carlsen, John Leguizamo, and Julia Stiles.[1] The film's plot and sensibility contain echoes to the classic Westerns High Noon (1952) and 3:10 to Yuma (1957).","Ari Issler, Ben Snyder","Ari Issler, Ben Snyder, Victor Almanzar","Kara Baker, Joshua Blum, Ari Issler, Danny Mendoza, Ben Snyder, Matthew Thurm, Gia Walsh","Victor Almanzar, Shirley Rumierk, Goya Robles, Elizabeth Rodriguez, David Zayas, Mike Carlsen, John Leguizamo, Julia Stiles",Tim Gillis,Ray Hubley,5 June 2016(Los Angeles),United States,English
28,12 Kilometers,A drilling team at the Kola Borehole uncovers a terrifying entity.,Mike Pecci,Mike Pecci,Mike Pecci,"Ara Woland, Ernst Zorin, Pavel Shatu, Svetlana Orlova, Gene Ravvin, Paul Caldera",David Kruta,Mike Pecci,"April 16, 2016(Boston International Film Festival)",United States,Russian
29,13 Cameras,"13 Cameras is a 2016 American crime horror thriller film written and directed by Victor Zarcoff. The film was originally titled Slumlord, before being renamed.[1]",Victor Zarcoff,,"Jim Cummings, Kevin McManus, Matthew McManus, Ethan Rosenberg, Tony Yacenda","Neville Archambault, Sean Carrigan, PJ McCabe, Brianne Moncrief, Jim Cummings, Heidi Niedermeyer, Sarah Baldwin",Jess Dunlap,Derek Desmond,"April 15, 2016",United States,English
30,13 Hours: The Secret Soldiers of Benghazi,"13 Hours: The Secret Soldiers of Benghazi is a 2016 American biographical action-thriller film, directed and produced by Michael Bay. Written by Chuck Hogan, it is based on the 2014 non-fiction book 13 Hours by American author Mitchell Zuckoff. The film follows six members of the Annex Security Team who fought to defend the American diplomatic compound in Benghazi, Libya after waves of attacks by militants on September 11, 2012. The film stars James Badge Dale, John Krasinski, Pablo Schreiber, Max Martini, David Denman and Dominic Fumusa, with supporting roles by Toby Stephens, Alexia Barlier and David Costabile. Filming on location began on April 27, 2015, in Libya.",Michael Bay,,"Michael Bay, Erwin Stoff","James Badge Dale, John Krasinski, Max Martini",Dion Beebe,"Pietro Scalia, Michael McCusker, Calvin Wimmer","January 12, 2016(AT&T Stadium)",United States,English
31,13th,"13th is a 2016 American documentary film directed by Ava DuVernay. It explores the prison–industrial complex, and the ""intersection of race, justice, and mass incarceration in the United States"".[3] The title refers to the Thirteenth Amendment to the United States Constitution, adopted in 1865, which abolished slavery throughout the United States and ended involuntary servitude, except as punishment for convicted criminals. The film argues that this exemption has been used to continue the practice of involuntary servitude in the form of penal labor.",Ava DuVernay,"Ava DuVernay, Spencer Averick","Ava DuVernay, Howard Barish, Spencer Averick",,"Hans Charles, Kira Kelly",Spencer Averick,"September 30, 2016(NYFF)",United States,English
32,The 13th Step,"The title refers to ""thirteenth stepping,"" a colloquial term within twelve-step programs describing predatory behavior in which experienced members exploit newcomers who are vulnerable due to their early recovery status. A 2003 study in the Journal of Addictions Nursing found that at least 50 percent of women surveyed in AA had experienced seven of thirteen thirteenth-stepping behaviors identified by researchers.[3]",Monica Richardson,,"Monica Richardson, Michael Kuehnert",,Edwin Stevens,Barry Rubinow,2015(CannesDoc Corner),United States,English
33,20th Century Women,"20th Century Women is a 2016 American coming-of-age comedy drama film written and directed by Mike Mills and starring Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, and Billy Crudup. It is set in 1979 in Southern California and partly inspired by Mills's childhood.",Mike Mills,Mike Mills,"Megan Ellison, Anne Carey, Youree Henley","Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Billy Crudup",Sean Porter,Leslie Jones,"October 8, 2016(New York Film Festival)",United States,English
34,24,"24 is a 2016 Indian Tamil-language science fiction thriller film[5][6] written and directed by Vikram Kumar. It is produced by Suriya under 2D Entertainment. The film stars Suriya in triple roles, alongside Samantha Ruth Prabhu and Nithya Menen. Saranya Ponvannan, Ajay, Girish Karnad, Mohan Raman, Sudha, Sathyan and Charle appear in the supporting roles. The film follows Sethuraman, a scientist, who invents a time travel watch but Athreya, his twin brother, does everything he can to get hands on that.",Vikram Kumar,Vikram Kumar,"K. E. Gnanavel Raja, Suriya","Suriya, Samantha, Nithya Menen",Tirru,Prawin Pudi,6 May 2016,India,Tamil
35,24 Weeks,24 Weeks (German: 24 Wochen) is a 2016 German drama film directed by Anne Zohra Berrached. It was selected to compete for the Golden Bear at the 66th Berlin International Film Festival.[1],Anne Zohra Berrached,Anne Zohra Berrached,Thomas Kufus,Julia Jentsch,,,14 February 2016(Berlin),Germany,German
36,25 Kille,"25 Kille is a 2016 Punjabi drama film directed by Simranjit Singh Hundal and starring Guggu Gill, Yograj Singh, Ranjha Vikram Singh, Jimmy Sharma, Lakha Lakhwinder Singh, Sonia Mann, and Sapna Bassi.",Simranjit Singh Hundal,,"Shirin Morani, Ranjha Vikram Singh, Amanpreet Singh Sodhi","Guggu Gill, Lakha Lakhwinder Singh, Yograj Singh, Jimmy Sharma, Sonia Mann, Ranjha Vikram Singh",,Rohit Dhiman,25 August 2016,India,Punjabi
37,30 Years Ago,"Abdel Tawab El-Tayeb, an arms dealer from Minya, Egypt, who lost both of his wives. He sold his property and gathered his children: Hassan, Gamal, Nabila, Sameh, and Hoda and moved to Cairo to open an arms store in Attaba neighborhood and married the dancer Sonia. They had a daughter, Nagwa, and his business flourished. Before his death, he divided his wealth equally among his children, leaving his eldest daughter, Nabila, as his guardian. She allied with the other siblings to oppress Sameh and Hoda and seize their inheritance. Sameh's son, Omar, lived in poverty and emigrated abroad in search of a livelihood. Hoda's son, Emad, worked as a literary critic but struggled with poverty. Hassan continued his arms trade and lets his daughter, Noha marries the largest arms dealer in Port Said to capitalize on his wealth. Meanwhile, Hassan's son, Selim, caused problems in his friend's life and led to a betrayal between him and his fiancée. As for Gamal, he continued to trade arms with his brother Hassan, and his daughter Rasha, who fell in love with Omar, joined them in the business. Sonia's daughter, Nagwa, pursued relationships with younger men, which led to her son Hani's drug addiction. Through the publisher Hisham, Emad met the poet Hanan, who moved to Cairo in search of a better opportunity.",Amr Arafa,Ayman Bahgat Kamar,Walid Mansour,"Ahmed El Sakka, Mona Zaki, Sherif Mounir, Mervat Amin, Nour",,,6 July 2016,Egypt,Egyptian Arabic
38,31,"31 is a 2016 American action horror film written, directed, and produced by Rob Zombie, and starring an ensemble cast featuring Sheri Moon Zombie, Jeff Daniel Phillips, Lawrence Hilton-Jacobs, Meg Foster, Richard Brake, Jane Carr, Judy Geeson, E.G. Daily, and Malcolm McDowell.",Rob Zombie,Rob Zombie,"Rob Zombie, Mike Elliott, Andy Gould, Michael Sherman, Matthew Perniciaro, [, 1, ], Eddie Vaisman","Sheri Moon Zombie, Jeff Daniel Phillips, Lawrence Hilton-Jacobs, Meg Foster, Kevin Jackson, Richard Brake, Jane Carr, Judy Geeson, Malcolm McDowell",David Daniel,Glenn Garland,"January 23, 2016(Sundance)",United States,
39,50/50,"50/50 is a 2016 documentary film by Tiffany Shlain on ""the 10,000 year history of women and power""[1]  The film addresses the lack of equal representation in politics.  The film premiered on #TEDWomen and at TEDx.[1]",Tiffany Shlain,,,,Shane King,,28 October 2016(United States),,English
40,64 Mayam,"Soysa (Vijaya) and Silva (Mahinda) are two jobless men doing various businesses that end up without success. They meet Piyum (Richard) who invite them to a party. Both Soysa and Silva get stomach aches because of some food they eat at the party. They get admitted in a hospital. Meanwhile, a man is arrested because he has stolen a gem and is believed to have swallowed it. One night at the hospital when he was sleeping he saw his wife in a dream. The thief told his wife who he saw in the dream that he hid the gem in a small statue of a maiden in the pot the maiden is carrying. The statue is for sale in his shop in Kithulpitiya. Soysa, Silva and another man Ryan hears this as they were also sleeping near the thief. So three of them escape from the hospital. The hospital staff is fooled by Soysa who disguised himself as a doctor and Ryan disguised himself as a nurse. Soysa does not know that the other two had escaped like this. He wants to take the gem himself. He does not tell this to others in the hospital. Ryan and Silva feels the same and they also do the same.",Sudesh Wasantha Peiris,Sudesh Wasantha Peiris,Sunil T. Films,"Vijaya Nandasiri, Mahinda Pathirage, Susila Kottage",Gamini Moragollagama,Anura Bandara,17 November 2016,Sri Lanka,Sinhala
41,64: Part I,"64: Part I is a 2016 Japanese suspense mystery drama film directed by Takahisa Zeze, based on the novel of the same name by Hideo Yokoyama.[2] It was released in Japan by Toho on May 7, 2016.[4] The second part, 64: Part II, was released on June 11, 2016.[5]",Takahisa Zeze,,,"Kōichi Satō, Gō Ayano, Nana Eikura, Yui Natsukawa, Naoto Ogata, Masataka Kubota, Kentaro Sakaguchi, Kippei Shiina, Kenichi Takitō, Eiji Okuda, Tōru Nakamura, Hidetaka Yoshioka, Eita, Masatoshi Nagase, Tomokazu Miura",Koichi Saito,,"May 7, 2016",Japan,Japanese
42,64: Part II,"64: Part II is a 2016 Japanese suspense mystery drama film directed by Takahisa Zeze, based on the novel of the same name by Hideo Yokoyama.[2] The film follows 64: Part I, released on May 7, 2016.[4] It was released in Japan by Toho on June 11, 2016.[5]",Takahisa Zeze,,,"Kōichi Satō, Gō Ayano, Nana Eikura, Yui Natsukawa, Naoto Ogata, Masataka Kubota, Kentaro Sakaguchi, Kippei Shiina, Kenichi Takitō, Eiji Okuda, Tōru Nakamura, Hidetaka Yoshioka, Eita, Masatoshi Nagase, Tomokazu Miura",Koichi Saito,,"June 11, 2016",Japan,Japanese
43,'76,"'76, formerly Lions of '76, is a 2016 Nigerian historical fiction drama film directed by Izu Ojukwu and produced by Adonaijah Owiriwa and Izu Ojukwu. It stars Ramsey Nouah, Chidi Mokeme, Rita Dominic and Ibinabo Fiberesima.[3]",Izu Ojukwu,,"Adonaijah Owiriwa, Izu Ojukwu, Tonye Princewill","Ramsey Nouah, Chidi Mokeme, Rita Dominic, Ibinabo Fiberesima",Yinka Edward,Emeka Ojukwu,25 November 2016,Nigeria,"English, Igbo"
44,93 Days,"93 Days is a 2016 Nigerian drama thriller film directed and co-produced by Steve Gukas.[2] The film recounts the 2014 Ebola outbreak in Nigeria and its successful containment by health workers at a Lagos Hospital. It stars Bimbo Akintola, Danny Glover and Bimbo Manuel with joint-production by Native FilmWorks, Michel Angelo Production, and Bolanle Austen-Peters Production.[3]",Steve Gukas,Paul S. Rowlston,"Bolanle Austen-Peters, Dotun Olakunri, Pemon Rami, Steve Gukas","Bimbo Akintola, Danny Glover, Somkele Idhalama, Bimbo Manuel, Seun Kentebe, Alastair Mackenzie, Charles Okafor, Gideon Okeke, Sola Oyebade, Tim Reid",Yinka Edward,Antonio Rui Ribeiro,16 September 2016,Nigeria,English
45,100 Meters,"The plot is based on the true story of a Ramón Arroyo, a Spanish man with multiple sclerosis who tried to finish an Ironman triathlon –3,8 km swimming, 180 km cycling and 42 km running– after he received his diagnosis and was told that he would not be able to walk 100 meters within a year.",Marcel Barrena,Marcel Barrena,"Tino Navarro, Carlos Fernández, Laura Fernández","Dani Rovira, Karra Elejalde, Alexandra Jiménez, Maria de Medeiros, Clara Segura, David Verdaguer, Alba Ribas, Bruno Bergonzini, Andrés Velencoso",Xavi Giménez,Nacho Ruiz Capillas,4 November 2016,"Spain, Portugal",Spanish
46,100 Streets,"100 Streets is a British drama film directed by Jim O'Hanlon and starring Idris Elba. It made its debut in the United Kingdom on 11 November 2016, before being released in American cinemas and on video-on-demand on 13 January 2017 by Samuel Goldwyn Films.[3]",Jim O'Hanlon,Leon F. Butler,"Leon F. Butler, Pippa Cross, Idris Elba, Ros Hubbard","Idris Elba, Gemma Arterton, Charlie Creed-Miles, Franz Drameh, Kierston Wareing, Tom Cullen, Ken Stott",Philipp Blaubach,"Mark Eckersley, Chris Gill",8 June 2016(Los Angeles),United Kingdom,English
47,100 Years Later,"100 Years Later is a 2016 British documentary film directed, written, and produced by John Lubbock.[1]  The film follows the work of historian Ara Sarafian, executive director of the Gomidas Institute in London, in his efforts to create dialogue in Turkey among Armenians, Kurds, and Turks on the occasion of the 100th anniversary of the Armenian genocide on 24 April 2015.  The film includes appearances by Selahattin Demirtaş and İsmail Beşikçi.[1]",John Lubbock,John Lubbock,John Lubbock,,Craig Jones,,27 January 2016,,"English, Armenian, Turkish, Kurdish"
48,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"One year after the events of previous film, a group of friends celebrate Allan Karlsson's 101st birthday in Bali. Allan offers Miriam and Julius his last ""Folksoda"", a carbonated beverage that Allan had accidentally created during his double agent days in the 1970s. As the pair argue over who will drink the soda, Allan's pet  Capuchin Erlander finishes the bottle. Miriam and her husband Benny depart for Malmköping, while Allan and Julius stay at the resort with Gäddan.","Felix Herngren, Måns Herngren","Felix Herngren, Hans Ingemansson",,Robert Gustafsson,,,25 December 2016,Sweden,"Swedish, English, Russian, German"
