,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
15,12 Mighty Orphans,"12 Mighty Orphans is a 2021 American sports film which was directed by Ty Roberts from a screenplay by Roberts, Lane Garrison and Kevin Meyer. It is based upon the non-fiction book Twelve Mighty Orphans: The Inspiring True Story of the Mighty Mites Who Ruled Texas Football by Jim Dent. The book is based on the Masonic School for Orphans in Fort Worth, Texas.[2]",Ty Roberts,,"Houston Hill, Angelique De Luca, Michael De Luca, Brinton Bryan","Luke Wilson, Vinessa Shaw, Wayne Knight, Jake Austin Walker, Jacob Lofland, Levi Dylan, Robert Duvall, Martin Sheen",David McFarland,James K. Crouch,"June 11, 2021",United States,English
16,13 Fanboy,"13 Fanboy is a 2021 American meta-slasher film directed by Deborah Voorhees and written and produced by her and Joel Paul Reisig. The film focuses on numerous actors that starred in a popular slasher film franchise who find themselves as the target of an obsessed fan that wants to replicate their death scenes in real life. It stars Hayley Greenbauer as Kelsie Voorhees, with Dee Wallace, Deborah Voorhees, C.J. Graham, Kane Hodder, Corey Feldman, Lar Park Lincoln, Judie Aronson, and Tracie Savage as fictionalized versions of themselves.",Deborah Voorhees,,"Joel Paul Reisig, Deborah Voorhees","Dee Wallace, Hayley Greenbauer, Deborah Voorhees, Kane Hodder, Judie Aronson, Lar Park Lincoln, Corey Feldman, Tracie Savage, CJ Graham, Jennifer Banko","Ben Meredith, Daniel Zollinger","Riley C. Morris, Deborah Voorhees","October 22, 2021",United States,English
17,13 Letters,"13 Letters is a 2019 Nigerian romantic drama film written by Pearl Agwu and directed by Kayode Peters.[1] It stars the Gulder Ultimate Search winner, Kunle Remi, BBNaija's Teddy A, Mofe Duncan, Bimbo Ademoye, Bolanle Ninolowo, Amanda Dara, Adedamola Adewole Ariyike Dimples and Chris Iheuwa.[2][3][4]",Kayode Peters,Pearl Agwu,Pearl Agwu,"Kunle Remi, , BBNaija's Teddy A, Mofe Duncan, Bimbo Ademoye, Bolanle Ninolowo, Amanda Dara.",,,"1 October 2021(Lagos,Nigeria)",Nigeria,Yoruba language
18,13 Minutes,"13 Minutes is a 2021 American-Canadian disaster film written, directed and produced by Lindsay Gossling,[4] in her feature debut film. It stars Trace Adkins, Thora Birch, Peter Facinelli, Anne Heche, Amy Smart and Paz Vega.",Lindsay Gossling,Lindsay Gossling,"Travis Farncombe, Lindsay Gossling, Karen Harnisch","Trace Adkins, Thora Birch, Peter Facinelli, Anne Heche, Amy Smart, Paz Vega",Steve Mason,Lisa Grootenboer,"October 29, 2021","United States, Canada",English
19,14 Peaks: Nothing Is Impossible,"14 Peaks: Nothing Is Impossible is a 2021 documentary film directed by Torquil Jones, and produced by Noah Media Group, Little Monster Films and Torquil Jones with Nirmal Purja, Jimmy Chin and Elizabeth Vasarhelyi as executive producers. The film follows Nepalese mountaineer Nirmal Purja and his team as they attempt to climb all 14 eight-thousander peaks within a then record time of under seven months. The previous record was over seven years.",Torquil Jones,"Gabriel Clarke, Torquil Jones","John McKenna, Barry Smith, Drew Masters, Catherine Quantschnigg, Mark Webber",Nirmal Purja,,Ian Grech,29 November 2021,"United Kingdom, United States","Nepali, English"
20,14 Phere,14 Phere (transl. 14 rounds)[a] is a 2021 Indian Hindi-language romantic comedy film directed by Devanshu Singh and produced by Zee Studios. The film stars Vikrant Massey and Kriti Kharbanda.[1][2] It premiered on 23 July 2021 on ZEE5 to mixed to positive reviews.[3],Devanshu Singh,Manoj Kalwani,Zee Studios,"Vikrant Massey, Kriti Kharbanda",Riju Das,Manan Ajay Sagar,23 July 2021,India,Hindi
21,18 Hours,18 Hours is a 2021 India Malayalam-language mystery thriller film directed by Rajesh Nair.[1][2] It was released on 1 August 2021 through Manorama Max.[3],Rajesh Nair,,,"Vijay Babu, Shyamaprasad, Sudheer Karamana",,,1 August 2021,India,Malayalam
22,18½,"18½ is a 2021 American comedy thriller film directed by Dan Mirvish and written by Daniel Moya, based on a story by both. The film stars Willa Fitzgerald, John Magaro, Vondie Curtis-Hall, Catherine Curtin, Richard Kind, Sullivan Jones and the voices of Jon Cryer as H. R. Haldeman, Ted Raimi as Alexander Haig and Bruce Campbell as President Richard Nixon.",Dan Mirvish,,"Dan Mirvish, Daniel Moya, Terry Keefe","Willa Fitzgerald, John Magaro, Vondie Curtis-Hall, Catherine Curtin, Richard Kind, Sullivan Jones, Bruce Campbell, Jon Cryer, Ted Raimi",Elle Schneider,Dan Mirvish,October 2021(Woodstock Film Festival),United States,English
23,21mu Tiffin,"21mu Tiffin (Gujarati: ૨૧મું ટિફિન, transl. 21st Tiffin) is a 2021 Indian Gujarati-language drama film directed by Vijaygiri Bava, produced by Twinkle Vijaygiri under the banner Vijaygiri FilmOS. It is based on 21mu Tiffin, a short story by Raam Mori.[1] The film is about a woman running a tiffin service business. It was released on 10 December 2021.",Vijaygiri Bava,,"Twinkle Vijaygiri, H & H Movies","Niilam Paanchal, Raunaq Kamdar, Netri Trivedi",Parth Chauhan,"Alok Mehta, Vijaygiri Bava",10 December 2021,India,Gujarati
24,22 vs. Earth,"22 vs. Earth is a 2021 American animated short film produced by Pixar Animation Studios. Directed by Kevin Nolting and written by Josh Cooley, the short stars 22, a character who originated in the 2020 Pixar feature film Soul, as she forms a short-lived rebel alliance to stop souls from reaching Earth. It was released on Disney+ on April 30, 2021.[2][3]",Kevin Nolting,Josh Cooley,Lourdes Marquez Alba,"Tina Fey, Richard Ayoade, Alice Braga","Andy Grisdale, Luke Martorelli",Noah Newman,"April 30, 2021",United States,English
25,24,The film premiered at the Busan International Film Festival on 10 October 2021.[1][2],Royston Tan,Royston Tan,"Jun Chong, Karen Khoo",James Choong,Juan Qi An,Jun Chong,10 October 2021(Busan),Singapore,"English, Malay, Bengali, Mandarin"
26,30 Rojullo Preminchadam Ela,"30 Rojullo Preminchadam Ela (transl. How to fall in love within 30 days?), also known by the initialism 30RPE, is a 2021 Indian Telugu-language fantasy romance film directed by debutant Munna Dhulipudi, starring Pradeep Machiraju and Amritha Aiyer. Based on the theme of reincarnation and body swapping, the film marks Machiraju's debut in a lead role. The film was released on 29 January 2021 to mixed reviews.",Dhulipudi Phani Pradeep (Munna),Dhulipudi Phani Pradeep (Munna),Babu S.V,"Pradeep Machiraju, Amritha Aiyer",Dasaradhi Sivendra,Karthika Srinivas,29 January 2021,India,Telugu
27,45 Days: The Fight for a Nation,"The film was made during the second Nagorno-Karabakh war in fall 2020, when Azerbaijan launched a large-scale military offensive against Artsakh (Nagorno-Karabakh).[1]",Asko Akopyan,Emile Ghessena,Asko Akopyan,Asko Akopyan,Asko Akopyan,Asko Akopyan,August 2021,,English
28,70 Is Just a Number,"The film serves as the final installment in Vuoksenmaa's trilogy of relationship-focused films, following 21 Ways to Ruin a Marriage (2013) and Adult Camp (2015). While the earlier films targeted younger audiences, 70 Is Just a Number shifts focus to aging and loneliness.",Johanna Vuoksenmaa,Johanna Vuoksenmaa,"Riina Hyytiä, Nina Laurio",,Heikki Färm,Jojo Erholtz,"December 29, 2021(Finland)",Finland,Finnish
29,72 Ghanta,"72 Ghanta (transl. 72 Hours) is a 2021 Indian Bengali-language mystery comedy-drama film directed and produced by Atanu Ghosh.[2] The film was released in Chorki, a Bangladeshi OTT platform.[3] This is the last film of veteran Bengali actor Soumitra Chatterjee which will be released posthumously.[4][5]",Atanu Ghosh,Atanu Ghosh,Atanu Ghosh,,Soumik Haldar,Sujay Datta Ray,25 November 2021(Worldwide)1,,
30,83,"83 is a 2021 Indian Hindi-language biographical sports drama film written and directed by Kabir Khan and produced by Deepika Padukone, Kabir Khan, Vishnu Vardhan Induri and Sajid Nadiadwala.[7]
Based on the India national cricket team led by Kapil Dev, which won the 1983 Cricket World Cup, and jointly written by Khan, along with Sanjay Puran Singh Chauhan, Vasan Bala and Sumit Arora, it features an ensemble cast including Ranveer Singh, Deepika Padukone, Pankaj Tripathi, Tahir Raj Bhasin, Jiiva, Saqib Saleem, Jatin Sarna, Chirag Patil, Dinker Sharma, Nishant Dahiya, Harrdy Sandhu, Sahil Khattar, Ammy Virk, Adinath Kothare, Dhairya Karwa and R. Badree.",Kabir Khan,"Kabir Khan, Sanjay Puran Singh Chauhan, Vasan Bala","Kabir Khan, Vishnu Vardhan Induri, Sajid Nadiadwala, Deepika Padukone","Ranveer Singh, Deepika Padukone, Pankaj Tripathi, Jiiva, Tahir Raj Bhasin, Saqib Saleem, Jatin Sarna, Chirag Patil, Dinker Sharma, Nishant Dahiya, Harrdy Sandhu, Sahil Khattar, Ammy Virk, Adinath Kothare, Dhairya Karwa, R. Badree",Aseem Mishra,Nitin Baid,15 December 2021(Red Sea International Film Festival)1,India,"Hindi, English"
31,100,"100 is a 2021 Indian Kannada-language crime thriller film directed by Ramesh Aravind.[1] The film stars himself, Rachita Ram, Poorna, and newcomer Vishwa Karna.[2][3] It is a remake of the Tamil film Thiruttu Payale 2.[4][5] The film released on November 19, 2021.[6]",Ramesh Aravind,Ramesh Aravind (additional screenplay),"M. Ramesh Reddy, Uma","Ramesh Aravind, Rachita Ram, Poorna, Vishwa Karna",Satya Hegde,Akash Srivatsa,19 November 2021,India,Kannada
32,107 Mothers,"107 Mothers (version in Ukrainian: «Цензорка», romanized: Tsenzor, lit. 'Censor') is a 2021 docudrama film[2] directed by Peter Kerekes who co-wrote the screenplay with Ivan Ostrochovský. Its world premiere took place on 1 September 2021 at the 78th Venice International Film Festival, where it was screened in Horizons competition program.[3] It was selected as the Slovak entry for the Best International Feature Film at the 94th Academy Awards.[4] It is a co-production between Slovakia, the Czech Republic and Ukraine.",Peter Kerekes,,Ivan Ostrochovský,Maryna Klimova,Martin Kollár,"Thomas Ernst, Martin Piga",1 September 2021(Venice),"Slovakia, Czech Republic, Ukraine","Russian, Ukrainian, [, 1, ]"
33,The 108 Journey,The film's title is a reference to the spiritual significance of the number 108 in Eastern religious traditions such as Hinduism and Buddhism.[3],"Hugo Rozon, Mathieu Perrault Lapierre",Hugo Rozon,,Hugo Rozon,Mathieu Perrault Lapierre,Mathieu Perrault Lapierre,"January 28, 2021",Canada,"English, French"
34,200 Pounds,It was the first film directed by Mohamed Amin since 2013.,Mohamed Amin,Ahmad Abdalla,,"Ahmed El Sakka, Laila Elwi, Hany Ramzy, Isaad Younis, Nelly Karim, Ahmed Rizk, Asser Yassin",,,25 August 2021,Egypt,Arabic
35,200: Halla Ho,200 Halla Ho is a 2021 Indian Hindi-language crime thriller film directed by Sarthak Dasgupta and Alok Batra (in his directorial debut) with production by Yoodlee films. It was digitally released on 20 August 2021 on ZEE5.[1][2],"Alok Batra, Sarthak Dasgupta","Sarthak Dasgupta, Gaurav Sharma","Siddharth Anand Kumar, Vikram Mehra","Amol Palekar, Barun Sobti, Rinku Rajguru, Flora Saini, Indraneil Sengupta, Upendra Limaye, Saloni Batra, Vinay Hake, Sahana Vasudevan",Deep Metkar,Abhishek Seth,20 August 2021,India,Hindi
36,218: Behind the wall of silence,"the film is an Emirati thriller drama that follows the stories of three women who go through three different experiences. Although their experiences are interconnected and interwined in reality, between domestic abuse, longing for the past, the desire of revenge and mutual support.[2] 218: Behind the Wall of Silence discusses social conditions that occur in almost every home and explores the issue of domestic abuse and how modern technology intervenes to help resolve this crisis.[1]",Nahla Al Fahad,Rami Yassin,,"Amal Mohammed, Haifa Al Ali, Habib Ghaloum, Abdullah bin Haidar",,,2021,United Arab Emirates,Arabic
37,420 IPC,"420 IPC is a 2021 Indian Hindi-language crime drama film directed and written by Manish Gupta.[1] Produced by Zee Studios and Rajesh Kejriwal and Gurpal Sachar with the production house Kyoorius Digital P.L.[citation needed] It stars Vinay Pathak, Ranvir Shorey, Gul Panag and Rohan Vinod Mehra in pivotal roles.[2] The film premiered on 17 December 2021 on ZEE5.[3]",Manish Gupta,Manish Gupta,"Zee Studios, Rajesh Kejriwal, Gurpal Sachar","Vinay Pathak, Ranvir Shorey, Gul Panag, Rohan Vinod Mehra",Raaj Chakravarti,Archit Rastogi,17 December 2021,India,Hindi
38,616 Wilford Lane,"616 Wilford Lane is a 2021 horror film written and directed by Mark S. Allen and Dante Yore. It stars John Littlefield, Eric Roberts, Alyson Gorske, and Jessica Chancellor. The film is about a widower who relocates his two teen daughters to a charming town, and into their dream home, which quickly becomes a nightmare.[2][3]","Mark S. Allen, Dante Yore","Howard Burd, Dante Yore, Mark S. Allen","Mark S. Allen, Howard Burd, Adam Dalton, Mark Decarlo, Rich Hoffman, Jeffery Alan Jones, Wendy McFarland","John Littlefield, Eric Roberts, Alyson Gorske, Jessica Chancellor",Dante Yore,Dante Yore,"May 18, 2021",United States,English
39,1000 Miles from Christmas,"1000 Miles from Christmas (Spanish: A mil kilómetros de la Navidad) is a 2021 Spanish Christmas romantic comedy film directed by Álvaro Fernández Armero which stars Tamar Novas and Andrea Ros. A Netflix original film, it was released on 24 December 2021.",Álvaro Fernández Armero,"Francisco Arnal, Daniel Monedero",Kiko Martínez,"Tamar Novas, Andrea Ros",,,24 December 2021(Netflix),Spain,Spanish
40,1214: No tememos a los cobardes,"5 true stories are told about characters who were not intimidated by the threats of the terrorists and who continued to defend the message of Pan con Libertad from Haya de la Torre's party. They are dramas that took place in inland places like Ayacucho and Huancavelica or Lima districts like La Victoria, El Agustino or Surco.[3]","Ernesto Carlín, Hernán Hurtado","Ernesto Carlín, Hernán Hurtado",Hernán Garrido Lecca,,,Oliver Gonzalez Leon,"July 24, 2021",Peru,Spanish
41,1232 KMS,1232 KMS is a 2021 Indian Hindi-language documentary film directed by Vinod Kapri.[1] It chronicles the Indian migrant workers during the COVID-19 pandemic and the impact of the lockdown on them.[2][3] The film was released on Disney+ Hotstar on 24 March 2021.[4],Vinod Kapri,Vinod Kapri,"Bhagirathi Joshi, Sakshi Joshi",,Manav Yadav,Hemanti Sarkar,24 March 2021,India,Hindi
42,1921,The film tells the story of the founding of the Chinese Communist Party at the 1st National Congress of the Chinese Communist Party held in Shanghai.[3],"Huang Jianxin, Zheng Dasheng","Yu Xi, Zhao Ningyu, Huang Xin",Ren Ning,"Huang Xuan, Ni Ni, Wang Renjun",Yu Cao,Boyang Yu,1 July 2021(China),China,Mandarin
43,Squid Game,"""$456,000 Squid Game in Real Life!"" is a YouTube video by American YouTuber Jimmy Donaldson, known on the platform as MrBeast. The video, released on November 24, 2021, is a competition based on the games featured in the 2021 South Korean Netflix show Squid Game.",,,Jimmy Donaldson,,,,"November 24, 2021",United States,English
44,A Chiara,"A Chiara (Italian: [a kˈkjaːra]) is a 2021 Italian-language drama film directed and written by Jonas Carpignano, the third film in his film trilogy set in a Calabrian town, following Mediterranea (2015) and A Ciambra (2017). The film stars Swamy Rotolo, Claudio Rotolo, Grecia Rotolo, and Carmela Fumo and had its world premiere at the Cannes Film Festival on July 9, 2021, in the Directors' Fortnight section, to very positive reviews. Following its festival screening, the film was distributed by MK2 Films and Lucky Red in Italy and Neon in the United States.",Jonas Carpignano,,"Jon Coplon, Ryan Zacarias, Paolo Carpignano","Swamy Rotolo, Claudio Rotolo, Grecia Rotolo, Carmela Fumo",Tim Curtin,Affonso Gonçalves,"July 9, 2021(Cannes)","Italy, France, United States, Sweden",Italian
45,A Journal for Jordan,"A Journal for Jordan is a 2021 American romantic drama film directed and co-produced by Denzel Washington from a screenplay written by Virgil Williams, based on the memoir A Journal for Jordan: A Story of Love and Honor by Dana Canedy. The film stars Michael B. Jordan (who also co-produced the film) and Chanté Adams in the lead roles, along with Jalon Christian, Robert Wisdom, and Tamara Tunie in supporting roles.",Denzel Washington,,"Todd Black, Denzel Washington, Michael B. Jordan, Jason Blumenthal, Steve Tisch","Michael B. Jordan, Chanté Adams","Maryse Alberti, [, 1, ]",Hughes Winborne,"December 9, 2021(AMC Lincoln Square)",United States,English
46,A1 Express,"A1 Express is a 2021 Indian Telugu-language sports drama film[2] directed by Dennis Jeevan Kanukolanu. It stars Sundeep Kishan and Lavanya Tripathi while Murali Sharma and Rao Ramesh appear in supporting roles. A remake of the Tamil film Natpe Thunai (2019),[3] the film focuses on corruption and nepotism in sports.[4] It was released on 5 March 2021.[5]",Dennis Jeevan Kanukolanu,"Sreekanth, Devesh Jeyachandran","T. G. Vishwa Prasad, Abhishek Agarwal, Sundeep Kishan, Daya Pannen","Sundeep Kishan, Lavanya Tripathi, Rao Ramesh, Murli Sharma",Kavin Raj,Chota K. Prasad,5 March 2021,India,Telugu
47,Aafat-E-Ishq,"Aafat-e-Ishq (transl. Dark Love) is a 2021 Indian Hindi-language black comedy film directed by Indrajit Nattoji,[2] and produced by Zee Studios. The film is based on the Hungarian film Liza, the Fox-Fairy.[1]  It features  Neha Sharma,[3] Namit Das,[4] Deepak Dobriyal, Amit Sial. The film was released on 29 October 2021 on ZEE5.[5] The film received mixed reviews, criticizing the pace and writing while appreciating the multigenre filmmaking style, unconventional storytelling, unique cinema art, and outstanding performances.",Indrajit Nattoji,,Zee Studios,"Neha Sharma, Deepak Dobriyal, Namit Das",Shreya Gupta,Shan Mohammed,29 October 2021,India,Hindi
48,Aaha,,Bibin Paul Samuel,Tobit Chirayath,Prem Abraham,"Indrajith Sukumaran, Manoj K. Jayan, Amith Chakalakkal, Ashwin Kkumar, Santhy Balachandran",Rahul Balachandran,,19 November 2021,India,Malayalam
49,Aakashavaani,"Aakashavaani (transl. Radio) is a 2021 Indian Telugu-language slice-of-life drama film directed by debutant Ashwin Gangaraju and produced by Padmanabha Reddy. It features Samuthirakani, Vinay Varma, Teja Kakumanu and Prashanth in prominent roles. The film tells the story of tribal people in a remote location of Andhra Pradesh who treat a radio as a talking God. The music is composed by Kaala Bhairava with editing by A. Sreekar Prasad. Initially scheduled for a theatrical release, the film was released on the streaming platform SonyLIV on 24 September 2021 owing to the COVID-19 pandemic.",Ashwin Gangaraju,,Padmanabha Reddy,"Samuthirakani, Vinay Varma, Teja Kakumanu, Prashant",Suresh Ragutu,A. Sreekar Prasad,24 September 2021,India,Telugu
50,Aale Corona,The film depicts a couple living alone during the COVID-19 period and their 42-day period. It also emphasis on experiences that led to the battle of life in the face of social and economic crisis.[6] About 90% of the film's frames are shot in the same room.[7],Sanjaya Nirmal,U. A. Palliyaguru,Cloud Films,"Jehan Appuhamy, Dishni Rajapaksa, Wasantha Wittachchi, Deepani Silva",Mahesh Ruwanpathirana,,7 January 2021,Sri Lanka,Sinhala
51,Aanum Pennum,"Aanum Pennum (transl. Man and Woman) is a 2021 Indian Malayalam-language anthology film featuring three segments directed by Venu, Aashiq Abu and Jay K.","Venu, Aashiq Abu, Jay K.","Venu, Unni R., Santhosh Echikkanam","C. K. Padma Kumar, M. Dileep Kumar","Samyuktha Menon, Joju George, Parvathy Thiruvothu, Asif Ali, Roshan Mathew, Darshana Rajendran","Venu, Shyju Khalid, Suresh Rajan","Beena Paul, Saiju Sreedharan, Bavan Sreekumar",26 March 2021,India,Malayalam
52,Aape Pein Siyaape,"Aape Pein Siyaape[1] is a 2021 Indian Punjabi-language film, written, produced and directed by Sharhaan Singh. The film stars Rajesh Sharma, Sharhaan Singh, Amandeep Singh, Lakha Lakhwinder Singh, Sabby Suri, Aditi Aarya  in lead roles.[2]",Sharhaan Singh,,Sharhaan Singh,"Sharhaan Singh, Rajesh Sharma, Aditi Aarya","Raju Gogna, Gagan Sarao",Rahul Singh,26 February 2021,India,Punjabi
53,Aaradugula Bullet,"Aaradugula Bullet (transl. Six-foot bullet) is a 2021 Indian Telugu-language action comedy film directed by B. Gopal and written by Vakkantham Vamsi.[1] Produced by Thandra Ramesh under the banner of Jaya Balaji Real Media, the film stars Gopichand and Nayanthara, with music composed by Mani Sharma. Originally scheduled to release on 30 June 2016, the film's release was delayed due to financial difficulties. It was released theatrically on 8 October 2021. The title of the film is based on a song from Attarintiki Daredi (2013). This is the last film of noted comedian M. S. Narayana.",B. Gopal,Vakkantham Vamsi,Thandra Ramesh,"Gopichand, Nayanthara",M. Balamurugan,Kotagiri Venkateswara Rao,8 October 2021,India,Telugu
