,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
14,4th Republic,"4th Republic is a 2019 Nigerian political drama film directed by Ishaya Bako and written by Ishaya Bako, Emil Garuba and Zainab Omaki.[1][2] It stars Kate Henshaw-Nuttal, Enyinna Nwigwe, Sani Muazu, Ihuoma Linda Ejiofor, Bimbo Manuel, Yakubu Muhammed, Sifon Oko, Jide Attah, and Preach Bassey.[3] Produced by Amateur Heads and Griot Studios, 4th Republic was funded by grants from the John D. and Catherine T. MacArthur Foundation and the Open Society Initiative for West Africa (OSIWA)[4] centered around a governorship aspirant, Mabel King (Kate Henshaw) in the aftermath of a violent and fraudulent election that results in the death of her campaign manager, Sikiru (Jide Attah). The film was screened in seven universities in Nigeria in collaboration with the Independent National Electoral Commission (INEC) and Enough is Enough (EiE Nigeria) to curb electoral violence. It was also endorsed by the National Orientation Agency (NOA).[5]",Ishaya Bako,,"Ishaya Bako, Bem Pever","Kate Henshaw, Enyinna Nwigwe, Sani Muazu, Linda Ejiofor, Bimbo Manuel, Yakubu Muhammed, Sifon Oko, Preach Bassey",John Njaga Demps,Shittu Taiwo,"April 12, 2019(Nigeria)",Nigeria,English
15,4x4,"4x4 is a 2019 crime thriller film[1][3] directed by Mariano Cohn, who co-wrote it with Gastón Duprat. Its premise is similar to that of the 1998 film Captured.",Mariano Cohn,,Gastón Duprat,"Peter Lanzani, Dady Brieva, Luis Brandoni","Kiko de la Rica, AEC","David Gallart, Elena Ruiz",4 April 2019(Argentina),"Argentina, Spain",Spanish
16,5 Is the Perfect Number,The film was released in Italy on 29 August 2019[2] and presented at the Venice Days of the 76th Venice Film Festival.[3],Igort,,"Elda Ferri, Marina Alessandra Marzotto, Mattia Oddone","Toni Servillo, Valeria Golino, Carlo Buccirosso, Iaia Forte",Nicolaj Brüel,"Esmeralda Calabria, Walter Fasano",29 August 2019,Italy,Neapolitan
17,5Gang: Another Kind of Christmas,"The movie premiered only in Romania on December 27, 2019. A box office success, it became the highest-grossing film in its country in the last thirty years[1] and gained more than $1.5 million during its theatrical run.[2]",5gang,"Matei Dima, Vali Dobrogeanu, Radu Alexandru",,"Andrei Șelaru, Diana Condurache, Andrei Gavril, Luca Bogdan, Mădălin Șerban",,,"December 27, 2019(Romania)",,Romanian
18,6 Underground,"6 Underground is a 2019 American action film directed by Michael Bay and written by Paul Wernick and Rhett Reese. The film stars Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Adria Arjona, Corey Hawkins, Ben Hardy, and Dave Franco.[2] Bay produced the film with his longtime business partner Ian Bryce and Skydance's David Ellison, Dana Goldberg and Don Granger. It follows a group of people who fake their deaths and decide to form a vigilante team in order to stage a coup d'état against a ruthless dictator.",Michael Bay,"Paul Wernick, Rhett Reese","Ian Bryce, Michael Bay, David Ellison, Dana Goldberg, Don Granger","Ryan Reynolds, Mélanie Laurent, Adria Arjona, Corey Hawkins, Manuel Garcia-Rulfo, Ben Hardy, Dave Franco, Payman Maadi",Bojan Bazelli,"Roger Barton, William Goldenberg, Calvin Wimmer","December 10, 2019(The Shed)",United States,English
19,7 Days to Vegas,7 Days to Vegas (also known as Walk to Vegas) is a 2019 American comedy film directed by Eric Balfour.[1][2] Vincent Van Patten is the co-writer along with Steve Alper.[3],Eric Balfour,,"Vince Van Patten, James Van Patten, Adam Weinraub, Kim Waltrip","Vincent Van Patten, Ross McCall, Paul Walter Hauser, Eileen Davidson, James Van Patten, Willie Garson, Lucas Bryant, Don Stark, John O'Hurley, Chad Lowe, Jennifer Tilly",Christopher Gallo,Paul Buhl,"September 20, 2019",United States,English
20,9,"9 (or Nine) is a 2019 Indian Malayalam-language science fiction horror film written and directed by Jenuse Mohamed.[1] It was jointly produced by Prithviraj Productions and SPE Films India (Sony Pictures India), and distributed by Sony Pictures Releasing International. The film stars Prithviraj Sukumaran, Wamiqa Gabbi, Alok Krishna, Mamta Mohandas, and Prakash Raj in lead roles. It marks the first regional Indian film production and distribution of Sony Pictures and the debut of Prithviraj Productions.[2]",Jenuse Mohamed,Jenuse Mohamed,Supriya Menon,"Prithviraj Sukumaran, Wamiqa Gabbi, Alok Krishna, Mamta Mohandas, Prakash Raj",Abinandhan Ramanujam,Shameer Muhammed,7 February 2019(India),India,Malayalam
21,10 Minutes Gone,"10 Minutes Gone is a 2019 crime thriller action film directed by Brian A. Miller.[3][4][5][6] The film stars Bruce Willis and Michael Chiklis, and was released on September 27, 2019.",Brian A. Miller,"Kelvin Mao, Jeff Jingle","Randall Emmett, George Furla, Lydia Hull, Shaun Sanghani, Mark Stewart","Bruce Willis, Michael Chiklis",Peter A. Holland,"Bob Mori, Michael Trent","September 27, 2019(United States)1","United States, Canada",English
22,The 12th Suspect,"Elizabeth Kerr of The Hollywood Reporter wrote that while "" there are points where the story loses focus"", Kim and Heo ""do a lovely job of anchoring the philosophical rift at the heart of the story.""[1]",Kim Myoung-sung,Kim Myoung-sung,Yoon Ming-young,"Kim Sang-kyung, Heo Sung-tae, Park Sun-young, Kim Dong-young, Jeong Ji-sun, [, ko, ], Jang Won-young, [, ko, ], Kim Ji-hoon, [, ko, ], Nam Yeon-woo, Na Do-yul, Kim Hee-sang, [, ko, ], Han Ji-an, Myung Gye-Nam, [, ko, ], Nam Seong-jin, [, ko, ]",Park Jong-chul,,10 October 2019(South Korea),South Korea,Korean
23,"14 Days, 12 Nights",The film premiered at the Abitibi-Témiscamingue International Film Festival in October 2019[4] and had its commercial premiere in February 2020.[5],Jean-Philippe Duval,Marie Vien,Antonello Cozzolino,"Anne Dorval, Leanna Chea, François Papineau",Yves Bélanger,Myriam Poirier,"October 30, 2019(FCIAT)",Canada,"French, Vietnamese"
24,15 August,"15 August  is a 2019 Indian Marathi-language drama film directed by Swapnaneel Jaykar and produced by Madhuri Dixit. The film features Rahul Pethe, Mrinmayee Deshpande and Adinath Kothare in the lead roles.[1][2][3]",Swapnaneel Jaykar,,Madhuri Dixit,"Mrinmayee Deshpande, Adinath Kothare",,,29 March 2019,India,Marathi
25,15 Minutes of War,"In February 1976 in Djibouti, a school bus was taken hostage at the Somali border. The GIGN is sent on the spot, where after 30 hours of tension a rescue operation is organized.",Fred Grivois,"Fred Grivois, Ileana Epsztajn, Jérémie Guez","Henri Debeurme, Raphaël Rocher","Alban Lenoir, Olga Kurylenko, Kevin Layne, Michaël Abiteboul, Sébastien Lalanne, David Murgia, Guillaume Labbé, Vincent Perez, Josiane Balasko",Julien Meurice,Baxter,30 January 2019(France),"France, Belgium","French, English"
26,16 Shots,"16 Shots is an American documentary film about the murder of Laquan McDonald.  Written and directed by Richard Rowley, it is an updated and expanded version of the 2018 movie The Blue Wall.  It had a limited theatrical release on June 7, 2019, and started  streaming on Showtime on June 14, 2019.  It was released on DVD on August 4, 2020.[1]",Richard Rowley,Richard Rowley,"Jacqueline Soohen, Jamie Kalven, Karim Hajj",,"Richard Rowley, Karim Hajj","Jacqueline Soohen, Francisco Bello","June 7, 2019",United States,English
27,17 Blocks,"17 Blocks is a 2019 American documentary film, directed by Davy Rothbart, written by Rothbart and Jennifer Tiexiera. The film revolves around the Sanford family, who spent 20 years filming themselves.",Davy Rothbart,"Davy Rothbart, Jennifer Tiexiera","Michael B. Clark, Alex Turtletaub, Marc Turtletaub, Rachel Dengiz",,Zachary Shields,Jennifer Tiexiera,"April 27, 2019(Tribeca)",United States,English
28,18 to Party,"18 to Party is a 2019 American comedy film written and directed by Jeff Roda. The film premiered at the Woodstock Film Festival on October 4, 2019.[1] Following its premiere, the film was also screened at the Big Apple Film Festival on November 21, 2019[2] and at the Florida Film Festival on August 11, 2020, where it won the Special Jury Prize for Ensemble Cast.[3] The official trailer for the film was released on September 25, 2020, and featured Taylor Richardson and Sam McCarthy among others.[4]",Jeffrey Roda,Jeffrey Roda,"Andrew Cahill, Nikola Duravcevic, Emily Ziff Griffin, Stephanie Marin",,,Kate Williams,"October 4, 2019(Woodstock Film Festival)",United States,English
29,21 Bridges,"21 Bridges is a 2019 American action-thriller film directed by Brian Kirk and written by Adam Mervis and Matthew Michael Carnahan. The film stars Chadwick Boseman as an NYPD Detective who shuts down the 21 river crossings of Manhattan to find two suspected cop killers, portrayed by Stephan James and Taylor Kitsch. Sienna Miller, Keith David and J. K. Simmons appear in supporting roles. The film was produced by brothers Joe Russo and Anthony Russo, Mike Larocca, Robert Simonds, Gigi Pritzker, Boseman (in his only producing credit) and Logan Coles. It was also Boseman's final theatrical film before his death in August 2020. Boseman's last two films Da 5 Bloods and Ma Rainey's Black Bottom were released on Netflix.",Brian Kirk,,"Anthony Russo, Joe Russo, Mike Larocca, Robert Simonds, Gigi Pritzker, Chadwick Boseman, Logan Coles","Chadwick Boseman, Sienna Miller, Stephan James, Keith David, Taylor Kitsch, J. K. Simmons",Paul Cameron,Tim Murrell,"November 22, 2019",United States,English
30,23 People,23 People is an adaptation of the memoirs of the 23 young Iranian prisoners[5][6][7] who were captured by Iraqi forces during the Iran-Iraq war in 1982. This young group was between 13 and 17 years old.,"Mehdi Jafari, [, 1, ], [, 2, ], [, 3, ]",,Mojtaba Faravardeh,,Morteza Gheidi,Meysam Molaei,September 2019(Fajr),Iran,Persian
31,24 Days,"24 Days is a 2019 Indian Malayalam-language film, directed by debutant Sreekanth.E.G and produced by Adith.U.S, who also plays the lead role.[3] The film was an official selection in several film festivals and has won many accolades[4][5][6][7][8] and had the theatrical release on 17 January 2020. The digital release of the film was through OTT service 'Saina Play'.[9]",Sreekanth.E.G,,Adith.U.S,"Adith.U.S, Ranjith Gopal, Binoy Sudhan, K.K. Menon",Nijin Lightroom,Pradeep Shankar,24 January 2019(Jaipur)12,India,Malayalam
32,28,"28 is a 2019 Indian Malayalam language experimental thriller feature film directed by Jayan Naduvathazhath, streaming on MX Player and Spuul. The film gained attention for being entirely shot in 5 days with a budget of less than Rs. 3 lakhs. The film received two awards in the WinterSunTV Viewers Choice Awards for Best actor in a Lead Role and for the Best Actor in Negative Role. The film also Won 'Honourable Mention ' award at 7th Art International Independent Film Festival.[1][2][3]",Jayan Naduvathazhath,Jayan Naduvathazhath,"Praveen Sukumaran, MMN",,Sangeeth Mathews,Rizaal Jainey,"November 8, 2019",India,
33,37 Seconds,"37 Seconds is a 2019 Japanese drama film written and directed by Hikari. The film features actress Mei Kayama, who has cerebral palsy, as 23-year-old Yuma Takada, a talented artist who wants to make her name in manga. A sympathetic magazine editor (Yuka Itaya) tells Takada her art is technically proficient but betrays her lack of worldly experience. Criticizing her depictions of sex as unconvincing, the editor tells the young woman, who uses a wheelchair to get around, to lose her virginity and then return.",Hikari,Hikari,"Hikari, Peter Maez, Shin Yamaguchi",Mei Kayama,"Stephen Blahut, Tomoo Ezaki",Thomas A. Krueger,9 February 2019(Berlin),Japan,Japanese
34,40 Looks Good on You,"Five friends Stacy, Yaaba, Mawusi,  Araaba, and Ruth who met at the university, made a promise to themselves that by age forty they should have achieved everything in life, but things did not seem to go on well for them as the story begins to unfold.[3][4]",Pascal Amanfo,,,"Stephanie Benson, Roselyn Ngissah, Selassie Ibrahim, Uche Jumbo, Shaffy Bello, Frederick Leonard, Eddy Watson, John Dumelo",,,21 June 2019,Ghana,English
35,40+,"40+ is a 2019 Maldivian horror comedy film written and directed by Yoosuf Shafeeu and the sequel to his previous comedy film Naughty 40 (2017). Produced by Ismail Shafeeq under Eupe Productions, the film stars Yoosuf Shafeeu, Mohamed Manik, Ahmed Saeed and Ali Seezan reprising their role as Ashwanee, Ahsan, Ajwad and Zahid respectively. Fathimath Azifa and Ali Azim were also retained their in the sequel, while Sheela Najeeb, Mohamed Faisal, Ahmed Easa, Mariyam Shakeela, and Mariyam Shifa were added to the cast. The film is scheduled to release on 5 March 2019.",Yoosuf Shafeeu,,Ismail Shafeeq,"Yoosuf Shafeeu, Ali Seezan, Mohamed Manik, Ahmed Saeed, Sheela Najeeb, Fathimath Azifa",Ibrahim Moosa,Yoosuf Shafeeu,"March 5, 2019",Maldives,Dhivehi
36,47 Dhansukh Bhawan,"47 Dhansukh Bhawan is a 2019 one shot Gujarati thriller film written, directed and edited by Naiteek Ravval, produced by Naiteek Ravval himself and Rishi Vyas under banner of Gallops Tallkies. The film starring Shyam Nair, Rishi Vyas, Gaurav Paswala, Jay Bhatt and Hemang Vyas, revolves around an old house where mysterious things are happening.[1][2]  The film was released nationwide by Rupam Entertainment Pvt Ltd, on 26 July 2019.",Naiteek Ravval,Naiteek Ravval,"Naiteek Ravval, Rishi Vyas","Gaurav Paswala, Rishi Vyas, Shyam Nair, Hemang Vyas, Jay Bhatt",Jignesh Pandya,Naiteek Ravval,26 July 2019,India,Gujarati
37,47 Meters Down: Uncaged,"47 Meters Down: Uncaged is a 2019 survival horror film directed by Johannes Roberts,[3] and written by Roberts and Ernest Riera.[4] A standalone sequel to 47 Meters Down (2017), none of the cast from the previous film returns. The new cast consists of Sophie Nélisse, Corinne Foxx, Brianne Tju, Sistine Stallone, Davi Santos, Khylin Rhambo, Brec Bassinger, Nia Long and John Corbett. The film also marked the film debuts for Foxx and Stallone. The plot follows a group of teenage girls who scuba dive to a sunken Mayan city, only to be trapped by a group of sharks that are swimming in it.",Johannes Roberts,,"James Harris, Mark Lane, Robert Jones","Sophie Nélisse, Corinne Foxx, Brianne Tju, Sistine Stallone, Davi Santos, Khylin Rhambo, Brec Bassinger, Nia Long, John Corbett",Mark Silk,Martin Brinkler,"August 16, 2019","United States, United Kingdom",English
38,50/50,"50/50 is a 2019 Indian Tamil-language horror comedy film directed by Krishna Sai, who previously directed the Kannada film Traya (2019). The film stars Yogi Babu, Sethu, Shruthi Ramakrishnan, Bavithra, and Shreya Gupta. This film marks Ramakrishna's return to Tamil cinema after a sabbatical and Bavithra's lead film debut.[1] This was Sethu's final film as actor.",Krishna Sai,,V.N. Ranjith Kumar,"Yogi Babu, Sethu, Shruthi Ramakrishnan, Bavithra, Shreya Gupta",R K Prathap,Raja Sethupathi,27 December 2019,India,Tamil
39,72 Hoorain,"72 Hoorain is a 2019 Indian Hindi-language drama film[1] written and directed by Sanjay Puran Singh Chauhan. The film had a delayed theatrical release in India on July 7, 2023. It received mixed reviews and underwhelmed at the box office.",Sanjay Puran Singh Chauhan,Anil Pandey,"Gulab Singh Tanwar, Ashoke Pandit, Kiran Dagar, Anirudh Tanwar","Saru Maini, Aamir Bashir, Pavan Malhotra, Rasheed Naz, Ashok Pathak, Namrata Dixit, Mukesh Agrohari, Bhavani Bashir Yasir, Narottam Bain, Vijay Sanap",Chirantan Das,"Sanjay Puran Singh Chauhan, Sandeep Singh Bajeli Sandeep Beera",November 2019(IFFI),India,Hindi
40,72 Hours: Martyr Who Never Died,"72 Hours: Martyr Who Never Died is a 2019 Indian biographical drama film directed by Avinash Dhyani. The story is based on the life and times of rifleman Jaswant Singh Rawat,[2] who fought against the encroaching Chinese army during the 1962 Sino-Indian War. The film got positive reviews from both audience and critics.[3]",Avinash Dhyani,Avinash Dhyani,"JS Rawat, Tarun Singh Rawat, Prashil Rawat","Avinash Dhyani, Mukesh Tiwari, Virendra Saxena, Alka Amin, Shishir Sharma, Gireesh Sahdev, Prashil Rawat",Harish Negi,Ajay Verma,"January 18, 2019",India,Hindi
41,77 Bullets,"77 Bullets is a 2019 Nigerian action film produced by Mercy Aigbe and directed by Adebayo Tijani.[1][2][3][4] It stars Temitope Solaja, Ibrahim Yekini and Eniola Ajao.[1][4]",Adebayo Tijani,,Mercy Aigbe,"Temitope Solaja, Ibrahim Yekini and Eniola Ajao",,,2019,Nigeria,Yoruba
42,90 ML,"90 ML is a 2019 Indian Tamil-language adult comedy film written and directed by Anita Udeep. The film stars Oviya in the lead role, while Anson Paul, Masoom Shankar, Monisha Ram, Shree Gopika, and Bommu Lakshmi play supporting roles. The film is produced by Udeep under Nviz Entertainment.[1] The film's soundtrack was composed by Silambarasan with editing done by Anthony and cinematography by Aravind Krishna. 90 ML features the first lesbian romance in Tamil cinema.[2][3] The film was released on 1 March 2019.[4]",Anita Udeep,Anita Udeep,Anita Udeep,"Oviya, Anson Paul, Masoom Shankar, Monisha Ram, Shree Gopika, Bommu Lakshmi",Arvind Krishna,Anthony,1 March 2019,India,Tamil
43,90ML,"90ML is a 2019 Indian Telugu-language romantic action comedy drama film directed by Sekhar Reddy Yerra and starring Kartikeya and newcomer Neha Solanki in the lead roles.[1] The film is produced by Ashok Reddy Gummakonda, who previously produced RX 100 (2018).[2]",Sekhar Reddy Yerra,Sekhar Reddy Yerra,Ashok Reddy Gummakonda,"Kartikeya, Neha Solanki, Ravi Kishan",J. Yuvaraj,M. S. Rajashekhara Reddy (S. R. Shekhar),6 December 2019,India,Telugu
44,99,"99 is a 2019 Indian Kannada-language romantic drama film directed by Preetham Gubbi and produced by Ramu. The film stars Ganesh and Bhavana. It was released on 1 May 2019. In spite of being a remake of the 2018 Tamil film 96,[1][2] the film was dubbed in Tamil as 99.[3]",Preetham Gubbi,,Ramu,"Ganesh, Bhavana",Santhosh Rai Pathaje,K. M. Prakash,1 May 2019,India,Kannada
45,99 Songs,"99 Songs is a 2021 Indian Hindi-language musical romance film directed by Vishwesh Krishnamoorthy, and co-written and produced by A. R. Rahman (in his maiden production banner YM Movies), who thus makes his debut in both roles, apart from composing the original score and songs. The film co-produced by Ideal Entertainment and distributed by Jio Studios, stars debutants Ehan Bhat and Edilsy Vargas in lead roles, alongside Aditya Seal, Lisa Ray and Manisha Koirala among others in supporting roles.[2] The film is a sensual story about the art and self-discovery of a struggling singer who wants to be a successful music composer.",Vishwesh Krishnamoorthy,,A. R. Rahman,"Ehan Bhat, Edilsy Vargas","Tanay Satam, James Cowley","Akshay Mehta, Shreyas Beltangdy",9 October 2019(Busan),India,Hindi
46,100,"100 is a 2019 Indian Tamil-language action thriller film written and directed by Sam Anton and produced by Kaviya Mahesh. The film stars Atharvaa and Hansika Motwani, while Radha Ravi and Yogi Babu play supporting roles. The music was composed by Sam C. S., with editing done by Ruben and cinematography by Krishnan Vasant. The film began production during December 2017 and completed its shoot by August 2018.[1] 100 was released on 9 May 2019.[2]",Sam Anton,Sam Anton,Kaviya Mahesh,"Atharvaa, Hansika Motwani",Krishnan Vasant,Ruben,9 May 2019,India,Tamil
47,100 Days to Live,"100 Days to Live is a 2019 American crime thriller film written and directed by Ravin Gandhi.[2] Heidi Johanningmeier stars as Dr. Rebecca Church, whose fiancé Gabriel Weeks (Colin Egglesfield) is kidnapped by a serial killer (Gideon Emery). It premiered at the 2019 San Diego International Film Festival and was released on digital platforms and DVD on February 2, 2021.[3] 100 Days to Live was later acquired by Amazon Prime for a May 3, 2021 release.[4]",Ravin Gandhi,Ravin Gandhi,"Ravin Gandhi, Christopher Jennings, Rhyan LaMarr","Colin Egglesfield, Gideon Emery, Heidi Johanningmeier, Yancey Arias, Chris J. Johnson",Nicholas M. Puetz,Ethan Maniquis,"October 17, 2019(San Diego International Film Festival)1",United States,English
48,100% Kadhal,"100% Kadhal (transl. 100% Love) is a 2019 Indian romantic comedy film directed by Chandramouli and starring G. V. Prakash Kumar and Shalini Pandey in the leading roles. A remake of the Telugu film 100% Love (2011), the film began production in October 2017.[2] The film was released on 4 October 2019.[3][4]",M. M. Chandramouli,,Bhuvana Chandramouli,"G. V. Prakash Kumar, Shalini Pandey",Ganesh Rajavelu,Mu. Kasi Viswanathan,4 October 20191,India,Tamil
