,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
10,500 Miles,"500 Miles is a drama film directed by Morgan Matthews and starring Bill Nighy, Dexter Sol Ansell and Roman Griffin Davis. The script is adapted by Malcolm Campbell from the novel Charlie and Me by Mark Lowery.",Morgan Matthews,,"David M. Thompson, Martina Niland, Alex Gordon, Keren Misgav Ristvedt","Bill Nighy, Roman Griffin Davis, Dexter Sol Ansell, Maisie Williams",,,27 February 2026(DIFF),"United Kingdom, Ireland",English
11,11817,11817 is an upcoming American science fiction horror film directed by Louis Leterrier and written by Matthew Robinson. It stars Greta Lee and Wagner Moura. The film will be released on Netflix in 2026.,Louis Leterrier,Matthew Robinson,"Louis Leterrier, Peter Chernin, Jenno Topping, Kori Adelson, Oly Obst","Greta Lee, Wagner Moura",Pål Ulvik Rokseth,,2026,United States,English
12,A fuego,"A fuego is an upcoming Spanish teen dance drama film directed by Estel Díaz (in her debut feature) from a screenplay co-written by Núria Dunjó. It stars Zoe Bonafonte alongside Omar Banana, Marc Soler, Miquel Melero, and Ruslana.",Estel Díaz,,"Jaime Ortiz de Artiñano, Toni Carrizosa, Ana Eiras, Alberto Aranda, Manuel Monzón","Zoe Bonafonte, Omar Banana, Marc Soler, Miquel Melero, Ruslana",Beatriz Sastre,,21 August 2026,Spain,Spanish
13,Aa Bata Aama,,Chandra Pant,,,"Paul Shah, Bipana Thapa, Pradeep Rawat",,,2026,Nepal,Nepali
14,Aadu 3,"Aadu 3: One Last Ride – Part 1, or Aadu 3, is a 2026 Indian Malayalam-language fantasy action comedy film written and directed by Midhun Manuel Thomas.[5] It is the sequel to Aadu 2 (2017) and the third installment of Aadu series and the first of a two-part film.[6][7] The film was jointly produced by Vijay Babu and Venu Kunnappilly for Friday Film House and Kavya Film Company, respectively.[8][9] It stars an ensemble cast led by Jayasurya, Saiju Kurup, Vinayakan, Renji Panicker, Vijay Babu, Sunny Wayne, Dharmajan Bolgatty, Bhagath Manuel, Indrans, Bijukuttan, Sudhi Koppa, Harikrishnan, reprising their roles, with Alleya Bourne and Krishna Jeev joining the cast.[10]",Midhun Manuel Thomas,Midhun Manuel Thomas,"Vijay Babu, Venu Kunnappilly","Jayasurya, Saiju Kurup, Vinayakan, Sunny Wayne, Dharmajan Bolgatty, Vijay Babu, Bhagath Manuel, Harikrishnan",Akhil George,Lijo Paul,19 March 2026,India,Malayalam
15,Aag Lagay Basti Mein,"Aag Lagay Basti Mein is a 2026 Pakistani crime comedy film written and directed by Bilal Atif Khan, starring Fahad Mustafa and Mahira Khan in the lead roles. It was released theatrically in Pakistan on Eid al-Fitr 2026.[2]",Bilal Atif Khan,"Naeem Ali, Bilal Atif Khan",,"Fahad Mustafa, Mahira Khan",,,21 March 2026,Pakistan,Urdu
16,Aakhri Sawal,"Aakhri Sawal (transl. The Final Question) is an upcoming Indian Hindi-language film directed by Abhijeet Mohan Warang and written by Utkarsh Naithani.[1] It is produced by Nikhil Nanda and Sanjay Dutt.[2][3] The film stars Sanjay Dutt, Namashi Chakraborty, Amit Sadh, and Sameera Reddy.[4]",Abhijeet Mohan Warang,Utkarsh Naithani,"Nikhil Nanda, Sanjay Dutt","Sanjay Dutt, Namashi Chakraborty, Amit Sadh, Sameera Reddy",Stanley Mudda,Sanjay Sankla,8 May 2026,India,Hindi
17,Aashaan,"Aashaan is a 2026 Indian Malayalam-language comedy drama film written and directed by Johnpaul George.[1] The film is produced by Johnpaul George, Annam Johnpaul and Suraj Philip Jacob under the banner of Guppy Cinemas. It stars veteran actor Indrans in the titular role alongside Joemon Jyothir, Shobi Thilakan, Madan Gowri, Bibin Perumpally, Abin Bino and Kudassanad Kanakam.[2]",Johnpaul George,Johnpaul George,"Johnpaul George, Annam Johnpaul, Suraj Philip Jacob","Indrans, Joemon Jyothir, Shobi Thilakan, Madan Gowri, Bibin Perumpally, Abin Bino, Kudassanad Kanakam",Vimal Jose Thachil,Kiran Das,5 February 2026,India,Malayalam
18,Aazhi,"Aazhi is a 2026 Indian Tamil-language thriller film written and directed by Madhav Ramadasan.[1] It stars R. Sarathkumar, Indrajith Jagajith, and Devika Satheesh in the lead roles[2]. The film was released in theatres on 27 February 2026.[3]",Madhav Ramadasan,Madhav Ramadasan,Sajith Krishna,"R. Sarathkumar, Indrajith Jagajith, Devika Satheesh",Aanand N. Nair,K. Sreenivas,27 February 2026,India,Tamil
19,Aba Blues,"Aba Blues is a 2026 Nigerian drama film, produced by Barbara Babarinsa, written and directed by Jack'enneth Opukeme. The film stars Angel Anosike, Jide Kene Achufusi, and Nelson Enwerem. It is distributed by FilmOne Distributions.[1]",Jack'enneth Opukeme,Jack'enneth Opukeme,Barbara Babarinsa,"Angel Anosike, Jide Kene Achufusi, Nelson Enwerem",,,2026,Nigeria,English
20,Abheetha,"Abheetha (Sinhala: අභීත) is a 2026 Sri Lankan Sinhala action drama film directed by Sruthiy Prabha and produced by Abhitha Prakashkaran.[1][2] The film stars Hemal Ranasinghe and Udari Warnakulasooriya in lead roles along with Veena Jayakody, Lakshman Mendis, Nethalie Nanayakkara and Priyantha Seneviratne in supportive roles.[3] The film is a remake of the 2016 Kollywood film Pichaikkaran directed by Sasi.[4] The story is about Abhitha Vimukthi, a billionaire businessman who leads a 48-day long secret life as a beggar as part of a religious offering to save his comatose mother who seems destined to die.",Sruthiy Prabha,Sruthiy Prabha,Abhitha Prakashkaran,"Abhitha Prakashkaran, Sriyani Amarasena, Paboda Sandeepani, Mahendra Perera, Rodney Warnakula, Sriyantha Mendis, Isuru Lokuhettiarachchi, Mihira Sirithilaka","Kathir Rajasekram, V.M. Thilojan",Thanushka Kahandawala,"February 6, 2026",Sri Lanka,Sinhala
21,Accused,"Accused is a 2026 Indian Hindi-language psychological thriller film directed by Anubhuti Kashyap and produced by Karan Johar, Apoorva Mehta, Somen Mishra, and Adar Poonawalla under Dharmatic Entertainment. The film stars Konkona Sen Sharma and Pratibha Ranta in the lead roles. It was released on 27 February 2026 on Netflix.[3]",Anubhuti Kashyap,"Sima Agarwal, Yash Keswani","Karan Johar, Apoorva Mehta, Somen Mishra, Adar Poonawalla","Konkona Sen Sharma, Pratibha Ranta",Linesh Desai,Prerna Saigal,27 February 2026,India,Hindi
22,Act One,"Act One is an upcoming American psychological thriller film written, produced and directed by Sophia Takal. It stars Ella Beatty, Ari Graynor, Nate Mann, Elizabeth Reaser, Sinclair Daniel, Robert Sean Leonard and Tavi Gevinson.",Sophia Takal,Sophia Takal,"Allison Rose Carter, Julie Christeas, Jon Read, Stephanie Roush, Sophia Takal, Julie Waters","Ella Beatty, Ari Graynor, Nate Mann, Elizabeth Reaser, Sinclair Daniel, Robert Sean Leonard, Tavi Gevinson",Robert Leitzell,"Zach Clark, Matthew L. Weiss","June 10, 2026(Tribeca Festival)",United States,English
23,The Adventures of Cliff Booth,"The Adventures of Cliff Booth is an upcoming period comedy-drama film directed by David Fincher and written by Quentin Tarantino. It is a standalone sequel to Once Upon a Time in Hollywood (2019), with Brad Pitt and Timothy Olyphant reprising their respective roles as Cliff Booth and James Stacy. The ensemble cast also features Scott Caan, Elizabeth Debicki, Yahya Abdul-Mateen II, Carla Gugino, Holt McCallany, Corey Fogelmanis, and JB Tadena.",David Fincher,Quentin Tarantino,"David Heyman, Ceán Chaffin, Brad Pitt, Stacey Sher, Quentin Tarantino","Brad Pitt, Scott Caan, Elizabeth Debicki, Yahya Abdul-Mateen II, Carla Gugino, Holt McCallany, Corey Fogelmanis, JB Tadena",Erik Messerschmidt,,2026,"United States, United Kingdom",English
24,After Operation London Cafe,"After Operation London Cafe or After O.L.C is a 2026 Indian action drama film directed by Sadagara Raghavendra. The film stars Kaveesh Shetty, Megha Shetty, Shivani Surve, Virat Madake in the leading roles.",Sadagara Raghavendra,,"Vijay Kumar Shetty Havara, Deepak Pandurang Rane, Ramesh Kotari, Vijay Prakash","Kaveesh Shetty, Megha Shetty, Shivani Surve, Virat Madake",R. D. Nagarjun,K. M. Prakash,6 February 2026,India,"Marathi, Kannada, [, 3, ], [, 4, ]"
25,Agent Zeta,"Agent Zeta[2] (Spanish: Zeta) is a 2026 Spanish action spy film directed by Dani de la Torre and written by De la Torre, Oriol Paulo and Jordi Vallejo. Led by Mario Casas, the cast also features Mariela Garriga, Nora Navas, and Luis Zahera.",Dani de la Torre,,Pablo Isla,"Mario Casas, Mariela Garriga, Nora Navas, Luis Zahera",Josu Inchaustegui,,20 March 2026,Spain,Spanish
26,The AI Doc: Or How I Became an Apocaloptimist,The AI Doc: Or How I Became an Apocaloptimist is a 2026 American documentary film directed by Daniel Roher and Charlie Tyrell.,"Daniel Roher, Charlie Tyrell",,"Daniel Kwan, Jonathan Wang, Shane Boris, Diane Becker, Ted Tremper",Daniel Roher,"Jenni Morello, Lowell A. Meyer","Davis Coombe, Daysha Broadway","January 27, 2026(Sundance)",United States,English
27,"Aida, the Movie","Aida, the Movie (Spanish: Aída y vuelta) is a 2026 Spanish comedy film directed by Paco León serving as a meta-sequel to the sitcom Aída.",Paco León,"Paco León, Fer Pérez","Laura Fdez. Espeso, Javier Méndez, Ghislain Barrois, Álvaro Augustin","Carmen Machi, Paco León, Mariano Peña, Miren Ibarguren, Marisol Ayuso, Pepe Viyuela, Eduardo Casanova, Melani Olivares, David Castillo, Canco Rodríguez, Secun de la Rosa, Pepa Rus, Oscar Reyes, Emilio Gavira",Kiko de la Rica,Ana Álvarez-Ossorio,27 January 2026(Cines Callao),Spain,Spanish
28,Airport BLVD,Airport BLVD is an upcoming American musical comedy-drama film written and directed by Alejandro Hendricks.,Alejandro Hendricks,Alejandro Hendricks,"Jamal Gamble, Brannin Webber, Trai Wade","Jamal Gamble, Toluwani, Kenny Duet, Mor Cohen, Matthew Wagner","Brannin Webber, Spencer Greene, Alejandro Hendricks, Andy Patch","Alejandro Hendricks, Brannin Webber","June 5, 2026(Tribeca Festival)",United States,English
29,Aisha,Aisha (stylized in all caps) is a 2026 documentary released by Adhadhu. Aisha talks about a woman who had an alleged affair between a woman—whose real name is unknown and referred to as Aisha—and President Mohamed Muizzu.,,,,,,,,,
30,Alive,Alive (Catalan: Viva) is an upcoming Spanish drama film directed by Aina Clotet (in her directorial debut feature) and co-written with Valentina Viso [fr]. Clotet also stars along with Marc Soler and Naby Dakhli.,Aina Clotet,"Aina Clotet, Valentina Viso","Edmon Roch, Jan Andreu, Marc Clotet, Aina Clotet, Marta Baldó","Aina Clotet, Marc Soler, Naby Dakhli, Lloll Bertran, Zaida Pérez, Guillermo Toledo, Josh Zuckerman",Nilo Zimmermann,,May 2026(Cannes),Spain,"Catalan, Spanish"
31,All About the Money,"All About the Money is a 2026 Irish documentary film directed, written, and produced by Sinéad O'Shea, with producers Claire McCabe, Harry Vaughn, Katie Holly, and Sigrid Dyekjær.[1] It made its world premiere in the World Cinema Documentary Competition at the 2026 Sundance Film Festival.[2]",Sinéad O'Shea,Sinéad O'Shea,"Sinéad O'Shea, Claire McCabe, Harry Vaughn, Katie Holly, Sigrid Dyekjær",,Enda O'Dowd,Enda O'Dowd,"January 28, 2026(Sundance)",Ireland,English
32,All My Friends Are Back in Brisbane,"The film will have its world premiere at the 2026 Gold Coast Film Festival, and will receive a limited theatrical run in Brisbane soon afterwards.[4][1]",Louise Alston,Stephen Vagg,"Louise Alston, Stephen Vagg, Andrew Steel","Nelle Lee, Andrew Steel, Kym Jackson, Dan Ewing",Chase Brockett,Emma McKenna,"May 1, 2026(Gold Coast Film Festival)",Australia,English
33,All of a Sudden,"All of a Sudden (French: Soudain, lit. 'Suddenly'; Japanese: 急に具合が悪くなる, romanized: Kyū ni guai ga waruku naru, lit. 'Suddenly Feeling Unwell') is an upcoming 2026 drama film directed by Ryusuke Hamaguchi, in his French-language debut. Co-written by Hamaguchi and Léa Le Dimna, it is loosely based on the non-fiction book You and I – The Illness Suddenly Get Worse by Makiko Miyano and Maho Isono. It stars Virginie Efira and Tao Okamoto. It is a co-production between France, Japan, Germany and Belgium.",Ryusuke Hamaguchi,,,"Virginie Efira, Tao Okamoto, Kyōzō Nagatsuka",Alan Guichaoua,,May 2026(Cannes),"France, Japan, Germany, Belgium","French, Japanese"
34,Allegro Pastell,"Allegro Pastell is a 2026 German drama film directed by Anna Roller, written by Leif Randt and based on the 2020 novel of the same name by Randt. Starring Jannis Niewöhner and Sylvaine Faligant, it follows novelist Tanja Arnheim and web designer Jerome Daimler, who are maintaining a seemingly ideal long-distance relationship.[1]",Anna Roller,Leif Randt,"Tobias Walker, Philipp Worm","Jannis Niewöhner, Luna Wedler, Martina Gedeck",Felix Pflieger,,14 February 2026(Berlinale),Germany,German
35,American Doctor,,Poh Si Teng,,"Poh Si Teng, Kirstine Barfod, Reem Haddad",,"Ibrahim Al Otla, Chris Renteria","Christopher White, Ema Ryan Yamazaki","January 23, 2026(Sundance Film Festival)1","United States, State of Palestine, Malaysia, Qatar","English, Arabic"
36,American Dollhouse,"The film had its world premiere on March 14, 2026, in the Midnighters section of the SXSW 2026 Film Festival.[7][8]",John Valley,John Valley,"David Axe, Samuel Butler, Shane Greb, Christian Sosa, Jon Wroblewski","Richard C. Jones, Hailley Lauren, Danielle Evon Ploeger, Kelsey Pribilski, Tinus Seaux",Taylor Camarot,,"March 14, 2026(SXSW)",United States,English
37,American Pachuco: The Legend of Luis Valdez,"American Pachuco: The Legend of Luis Valdez is a 2026 American documentary film directed by David Alvarado. It chronicles the life and career of Luis Valdez, the playwright and director known as the father of Chicano theater.",David Alvarado,David Alvarado,"David Alvarado, Lauren DeFilippo, Everett Katigbak, Amanda Pollak",,Zachary Fink,Daniel Chávez-Ontiveros,"January 22, 2026(Sundance)1",United States,"English, Spanish"
38,Anaganaga Oka Raju,"Anaganaga Oka Raju (transl. Once upon a time, a king) is a 2026 Indian Telugu-language comedy drama film directed by Maari. Produced by Suryadevara Naga Vamsi and Sai Soujanya, under Sithara Entertainments and Fortune Four Cinemas, the film stars Naveen Polishetty and Meenakshi Chaudhary. It was released on 14 January 2026, coinciding with Sankranthi. The film received positive reviews from critics, praising the humor and performances.",Maari,"Naveen Polishetty, Chinmay Gatrazu","Suryadevara Naga Vamsi, Sai Soujanya","Naveen Polishetty, Meenakshi Chaudhary",J. Yuvaraj,Vamsi Atluri,14 January 2026,India,Telugu
39,Anantha,"Anantha is a 2026 Indian Tamil-language anthology drama film directed by Suresh Krissna and starring Jagapathi Babu, Suhasini Maniratnam, and Y. G. Mahendran. The film is based on the lives of followers of Sathya Sai Baba. The film was released on JioHotstar on 13 January 2026 to mixed reviews.",Suresh Krissna,"Pa. Vijay, (dialogue)",,"Jagapathi Babu, Suhasini Maniratnam, Y. G. Mahendran",Sanjay B L,S Richard,13 January 2026,India,Tamil
40,The Angry Birds Movie 3,"The Angry Birds Movie 3 is an upcoming animated comedy film directed by John Rice from a screenplay by Thurop Van Orman. It is the third film based on the Angry Birds franchise by Rovio Entertainment, following The Angry Birds Movie (2016) and The Angry Birds Movie 2 (2019). Jason Sudeikis, Josh Gad, Rachel Bloom, Danny McBride, Anthony Padilla, and Ian Hecox reprise their roles from the previous Angry Birds films. Emma Myers, Keke Palmer, Lily James, Tim Robinson, Walker Scobell, Sam Richardson, Maitreyi Ramakrishnan, Nikki Glaser, Marcello Hernández, Psalm West, James Austin Johnson, Anna Cathcart, MrBeast, and Salish Matter all join the voice cast in new roles.",John Rice,,"John Cohen, Dan Chuba, Carla Connor, Namit Malhotra","Jason Sudeikis, Josh Gad, Emma Myers, Rachel Bloom, Marcello Hernández, Keke Palmer, Tim Robinson, Walker Scobell, Anna Cathcart, Nikki Glaser, MrBeast, Salish Matter, Danny McBride, Lily James, Maitreyi Ramakrishnan, Sam Richardson, Psalm West, James Austin Johnson, Anthony Padilla, Ian Hecox",,"Sarah K. Reimers, [, 1, ]","December 23, 2026","Finland, United States",English
41,Anima,"Anima is a 2026 American science fiction road comedy film written, directed, and co-produced by Brian Tetsuro Ivie, from a story by Ivie and Brev Moss. It stars Sydney Chandler, Takehiro Hira, Marin Ireland, Lili Taylor, Maria Dizzia, Tom McCarthy, Emil Wakim, and Maximilian Lee Piazza.",Brian Tetsuro Ivie,Brian Tetsuro Ivie,"Harrison Allen, Brian Tetsuro Ivie, Chloe Rahal, Alexander Lycette, Jason Pamer, Brev Moss","Sydney Chandler, Takehiro Hira, Marin Ireland, Lili Taylor, Maria Dizzia, Tom McCarthy, Emil Wakim, Maximilian Lee Piazza",Matheus Bastos,"Brian Tetsuro Ivie, Sam Kuhn","March 12, 2026(SXSW)",United States,"English, Japanese"
42,Animals,"Animals is an upcoming American crime thriller film directed by Ben Affleck and written by Affleck, Connor O. McIntyre and Billy Ray. It stars Affleck, Kerry Washington, Gillian Anderson, Adriana Paz, Ray Fisher, Matt Gerald, Luis Gerardo Méndez, and Steven Yeun.",Ben Affleck,"Connor O. McIntyre, Billy Ray, Ben Affleck, [, 1, ]","Matt Damon, Ben Affleck, Brad Weston, Dani Bernfeld, Collin Creighton","Ben Affleck, Kerry Washington, Gillian Anderson, Adriana Paz, Ray Fisher, Matt Gerald, Luis Gerardo Méndez, Steven Yeun",Robert Elswit,,2026,United States,English
43,Animol,"Animol is a 2026 British drama film directed by Ashley Walters in his feature length debut, and written by Nick Love. It stars Tut Nyuot, Vladyslav Baliuk, Stephen Graham and Sharon Duncan-Brewster.",Ashley Walters,Nick Love,"Joy Gharoro-Akpojotor, Tom Hawkins, Nick Love, Ashley Walters","Tut Nyuot, Vladyslav Baliuk, Stephen Graham, Sharon Duncan-Brewster",Tasha Back,Danielle Palmer,14 February 2026(Berlinale),United Kingdom,English
44,Anomie,"Anomie is a 2026 Indian Malayalam crime thriller film written and directed by Riyas Marath in his directorial debut. The film stars Rahman and Bhavana in the lead roles, alongside Shebin Benson, Binu Pappu, Arjun Lal, Vishnu Agasthya and Drishya Raghunath.It is produced by Bhavana, Roy C J, Adit Prasanna Kumar, Ram Mirchandani, Rajesh Menon, and Masood TP under the banners of Bhavana Film Productions, Blitzkrieg Films, Panorama Studios, and APK Cinemas.[2][3]",Riyas Marath,Riyas Marath,"Bhavana, Dr Roy CJ, Aadith Prassana Kumar","Rahman, Bhavana, Shebin Benson, Binu Pappu, Arjun Lal, Vishnu Agasthya, Drishya Raghunath",Sujith Sarang,Kiran Das,6 February 2026,India,Malayalam
45,Another Day,"Another Day (French: Garance) is an upcoming French drama film written and directed by Jeanne Herry. It stars Adèle Exarchopoulos, Sara Giraudeau, and Rudgy Pajany.",Jeanne Herry,,"Alain Attal, [, fr, ], Nicolas Dumont, Hugo Sélignac, [, fr, ]","Adèle Exarchopoulos, Sara Giraudeau, Rudgy Pajany",Antoine Cormier,,May 2026(Cannes),"France, Belgium",French
46,Another League,"Another League[1] (Spanish: Pioneras: solo querían jugar) is a 2026 sports drama film directed by Marta Díaz de Lope Díaz [es]. It stars Daniel Ibáñez, Sofía de Iznájar, Bruna Lucadamo, Aixa Villagrán, and Elena Irureta. It is a Spanish-Portuguese co-production.",Marta Díaz de Lope Díaz,"Zebina Guerra, Marta Díaz de Lope Díaz","Jesús Ulled Nadal, Rodrigo Areias, Kiko Martínez, Francisco Sánchez Ortiz","Daniel Ibáñez, Sofía de Iznájar, Bruna Lucadamo, Aixa Villagrán, Elena Irureta, Carmen Ruiz, Albano Jerónimo, Jordi Sánchez",Maria Codina,Alberto Gutiérrez,8 March 2026(Málaga),"Spain, Portugal",Spanish
47,Anthony,"Anthony is a 2026 Sri Lankan Tamil-language family drama film directed by Sukirthan Christhuraja and Jenosan Rajeswar.[1][2] It stars Kayal Vincent, TJ Bhanu, and Sudharshan Raveendran.[3][4][5]","Sukirthan Christhuraja, Jenosan Rajeswar",,"Kalaivalari Saga Ramanathas, Suganthini","Kayal Vincent, TJ Bhanu, Sudharshan Raveendran",Rishi Selvam,Suresh A Prasad,13 March 2026,Sri Lanka,Tamil
48,Antidiva: The Carole Pope Confessions,"In addition to Pope herself, figures appearing in the film to discuss her legacy include k.d. lang, Peaches, Jann Arden and Rufus Wainwright.[3] Peaches also signed on as an executive producer of the film.[4]",Michelle Mama,"Sarah Bachinski, Allen Booth, Michelle Mama","Bill Taylor, Allison Grace",Carole Pope,"Stephen Chung, Lulu Wei",Sarah Bachinski,"April 23, 2026(Hot Docs)",Canada,English
49,Antiheroine,"Metacritic, which uses a weighted average, assigned the film a score of 71 out of 100, based on four critics, indicating ""generally favorable"" reviews.[3]","James Hall, Edward Lovelace",,"Melanie Archer, Jon Lullo, Julia Nottingham, Hattie Bridges Webb",,Magda Kowalczyk,"Jinx Godfrey, Daniel Lapira, Dan Setford","January 27, 2026(Sundance)","United States, United Kingdom",English
50,Apex,,Baltasar Kormákur,Jeremy Robbins,"Ian Bryce, Peter Chernin, Jenno Topping, David Ready, Charlize Theron, Beth Kono, AJ Dix, Baltasar Kormákur, Will McCance","Charlize Theron, Taron Egerton, Eric Bana",Lawrence Sher,Sigurdur Eythorsson,"April 24, 2026","United States, United Kingdom, Iceland",English
51,Aquí,"Aquí is an upcoming dystopian drama film directed by Tiago Guedes, co-written by Guedes and Luís Araújo, it's based on the Jesús trilogy by J. M. Coetzee. Starring Álex Peláez, Manolo Solo, and Patricia López Arnaiz.[1]",Tiago Guedes,,Paulo Branco,"Manolo Solo, Patricia López Arnaiz, Daniel Elías, Lambert Wilson, Sergi López, Álex Peláez, Hugo Encuentra, Ángela Molina, Fernando Trueba",Daniela Cajías,"Jackie Bastide, Tiago Augusto",May 2026(Cannes),"France, Portugal",Spanish
52,Archangel,"Archangel is an upcoming American action film directed by William Eubank and written by Chris Papasadero. It stars Jim Caviezel, Olivia Thirlby, Garret Dillahunt, and Shea Whigham.",William Eubank,Chris Papasadero,"David Zelon, William Sherak","Jim Caviezel, Olivia Thirlby, Garret Dillahunt, Shea Whigham, Beau Knapp",,,"November 6, 2026",United States,English
53,Árru,The film had its world premiere at the Panorama section of the 76th Berlin International Film Festival on 16 February 2026.,Elle Sofe Sara,"Johan Fasting, Elle Sofe Sara","Elisa Fernanda Pirir, Ragna N. Midtgard","Sara Marielle Gaup Beaska, Ayla Nutti, Simon Issát Marainen",Cecilie Semec,Michal Leszczylowski,16 February 2026(Berlinale),"Norway, Sweden, Finland",Sámi
